ANumber,Triangle,Trait,Sequence
A011971,Bell,Triangle ,[1 1 2 2 3 5 5 7 10 15 15 20 27 37 52 52 67 87 114 151 203 203 255 ]
A123346,Bell,Reverse  ,[1 2 1 5 3 2 15 10 7 5 52 37 27 20 15 203 151 114 87 67 52 877 674 ]
nothing,Bell,DiagTri  ,[1 1 2 2 5 3 15 7 5 52 20 10 203 67 27 15 877 255 87 37 4140 1080 322 ]
nothing,Bell,ConvTri  ,[1 1 4 4 12 29 25 70 149 290 225 600 1210 2190 3769 2704 6968 13537 ]
nothing,Bell,PolyTri  ,[1 1 1 2 3 1 5 10 5 1 15 37 28 7 1 52 151 179 56 9 1 203 674 1291 521 ]
A005493,Bell,Sum      ,[1 3 10 37 151 674 3263 17007 94828 562595 3535027 23430840 163254885 ]
nothing,Bell,EvenSum  ,[1 1 7 15 94 290 1925 7541 54217 254189 1979704 10725568 90086877 ]
nothing,Bell,OddSum   ,[0 2 3 22 57 384 1338 9466 40611 308406 1555323 12705272 73168008 ]
nothing,Bell,AltSum   ,[1 -1 4 -7 37 -94 587 -1925 13606 -54217 424381 -1979704 16918869 ]
nothing,Bell,CumSum   ,[1 1 3 2 5 10 5 12 22 37 15 35 62 99 151 52 119 206 320 471 674 203 ]
nothing,Bell,RevCumSum,[1 2 3 5 8 10 15 25 32 37 52 89 116 136 151 203 354 468 555 622 674 ]
nothing,Bell,DiagSum  ,[1 1 4 8 27 82 312 1256 5708 28059 149742 856168 5219507 33719235 ]
A216078,Bell,Middle   ,[1 1 3 7 27 87 409 1657 9089 43833 272947 1515903 10515147 65766991 ]
A094577,Bell,Central  ,[1 3 27 409 9089 272947 10515147 501178937 28773452321 1949230218691 ]
A000110,Bell,LeftSide ,[1 1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
A000110,Bell,RightSide,[1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
nothing,Bell,PosHalf  ,[1 4 19 103 634 4393 33893 288158 2674849 26888251 290614732 ]
nothing,Bell,NegHalf  ,[1 0 7 -17 166 -931 8333 -67902 668341 -6733957 74909152 -875130273 ]
A126390,Bell,BinConv  ,[1 3 13 71 457 3355 27509 248127 2434129 25741939 291397789 ]
A000012,Bell,IBinConv ,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
nothing,Bell,TransSqrs,[0 2 23 182 1293 8932 62014 439442 3202127 24081458 187213595 ]
nothing,Bell,TransNat0,[0 2 13 72 393 2202 12850 78488 502327 3366648 23597297 172691956 ]
A278677,Bell,TransNat1,[1 5 23 109 544 2876 16113 95495 597155 3929243 27132324 196122796 ]
A000110,Bell,PolyVal0 ,[1 1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
A005493,Bell,PolyVal1 ,[1 3 10 37 151 674 3263 17007 94828 562595 3535027 23430840 163254885 ]
A095676,Bell,PolyVal2 ,[1 5 28 179 1291 10358 91337 876289 9070546 100596161 1188403063 ]
nothing,Bell,PolyVal3 ,[1 7 56 521 5529 65674 860387 12290251 189680754 3139572183 ]
nothing,Bell,PolyValn ,[1 3 28 521 16207 745562 46937813 3842472699 394463953204 ]
A000012,Bell,PolySeq0 ,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A005408,Bell,PolySeq1 ,[1 3 5 7 9 11 13 15 17 19 21 23 25 27 29 31 33 35 37 ]
nothing,Bell,PolySeq2 ,[2 10 28 56 94 142 200 268 346 434 532 640 758 886 1024 1172 1330 ]
nothing,Bell,PolySeq3 ,[5 37 179 521 1153 2165 3647 5689 8381 11813 16075 21257 27449 34741 ]
A000110,Bell,Diag0    ,[1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
A005493,Bell,Diag1    ,[1 3 10 37 151 674 3263 17007 94828 562595 3535027 23430840 163254885 ]
A011965,Bell,Diag2    ,[2 7 27 114 523 2589 13744 77821 467767 2972432 19895813 139824045 ]
A011966,Bell,Diag3    ,[5 20 87 409 2066 11155 64077 389946 2504665 16923381 119928232 ]
A000110,Bell,AntiDiag0,[1 1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
A011968,Bell,AntiDiag1,[2 3 7 20 67 255 1080 5017 25287 137122 794545 4892167 31858034 ]
nothing,Bell,AntiDiag2,[5 10 27 87 322 1335 6097 30304 162409 931667 5686712 36750201 ]
nothing,Bell,AntiDiag3,[15 37 114 409 1657 7432 36401 192713 1094076 6618379 42436913 ]
