Trait,ANumber,Sequence
Triangle,A122850,[1 0 1 0 -1 1 0 3 -3 1 ]
Reverse,A104548,[1 1 0 1 -1 0 1 -3 3 0 ]
Inverse,A122848,[1 0 1 0 1 1 0 0 3 1 ]
RevInv,A144299,[1 1 0 1 1 0 1 3 0 0 ]
DiagTri,nothing,[1 0 0 1 0 -1 0 3 1 0 ]
PolyTri,nothing,[1 0 1 0 1 1 0 0 2 1 ]
Sum,A000806,[1 1 0 1 -5 36 -329 3655 -47844 721315 ]
EvenSum,nothing,[1 0 1 -3 16 -115 1051 -11676 152839 -2304261 ]
OddSum,A025164,[0 1 -1 4 -21 151 -1380 15331 -200683 3025576 ]
AltSum,A144301,[1 -1 2 -7 37 -266 2431 -27007 353522 -5329837 ]
DiagSum,nothing,[1 0 1 -1 4 -18 121 -1056 11386 -145960 ]
Middle,nothing,[1 0 -1 3 15 -105 -420 4725 17325 -270270 ]
Central,nothing,[1 -1 15 -420 17325 -945945 64324260 -5237832600 496939367925 -53835098191875 ]
LeftSide,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A002119,[1 1 -1 7 -71 1001 -18089 398959 -10391023 312129649 ]
NegHalf,A080893,[1 1 3 19 193 2721 49171 1084483 28245729 848456353 ]
PolyVal2,nothing,[1 2 2 2 -2 22 -206 2354 -31426 480806 ]
PolyVal3,nothing,[1 3 6 9 9 18 -81 1053 -14418 225747 ]
BinConv,nothing,[1 1 -1 1 7 -124 1591 -19991 256691 -3335228 ]
IBinConv,nothing,[1 1 3 19 175 2076 29911 505093 9757539 211883500 ]
TransSqrs,nothing,[0 1 3 0 7 -45 396 -4277 54825 -813348 ]
TransNat0,nothing,[0 1 1 0 1 -5 36 -329 3655 -47844 ]
TransNat1,A231622,[1 2 1 1 -4 31 -293 3326 -44189 673471 ]
