Triangle,Trait,ANumber,Sequence
BINOMIALCOEF,Triangle ,A007318,[1 1 2 1 1 3 3 1 1 4 6 4 1 1 5 10 10 5 1 1 6 15 20 15 6 1 1 7 21 35]
BINOMIALCOEF,Reverse  ,A007318,[1 1 2 1 1 3 3 1 1 4 6 4 1 1 5 10 10 5 1 1 6 15 20 15 6 1 1 7 21 35]
BINOMIALCOEF,Inverse  ,A007318,[1 1 -2 1 -1 3 -3 1 1 -4 6 -4 1 -1 5 -10 10 -5 1 1 -6 15 -20 15 -6 1]
BINOMIALCOEF,RevInv   ,A007318,[-1 1 -2 1 1 -3 3 -1 1 -4 6 -4 1 1 -5 10 -10 5 -1 1 -6 15 -20 15 -6 1]
BINOMIALCOEF,InvRev   ,A007318,[1 1 -2 1 -1 3 -3 1 1 -4 6 -4 1 -1 5 -10 10 -5 1 1 -6 15 -20 15 -6 1]
BINOMIALCOEF,Sum      ,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
BINOMIALCOEF,EvenSum  ,A000079,[2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
BINOMIALCOEF,OddSum   ,A000079,[2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
BINOMIALCOEF,AltSum   ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
BINOMIALCOEF,AccSum   ,A001792,[8 20 48 112 256 576 1280 2816 6144 13312 28672 61440 131072 278528]
BINOMIALCOEF,AccRevSum,A001792,[8 20 48 112 256 576 1280 2816 6144 13312 28672 61440 131072 278528]
BINOMIALCOEF,RevAccSum,A001792,[8 20 48 112 256 576 1280 2816 6144 13312 28672 61440 131072 278528]
BINOMIALCOEF,DiagSum  ,A000045,[2 3 5 8 13 21 34 55 89 144 233 377 610 987 1597 2584 4181]
BINOMIALCOEF,RowGcd   ,A014963,[2 3 2 5 1 7 2 3 1 11 1 13 1 1 2 17 1 19]
BINOMIALCOEF,RowMax   ,A001405,[2 3 6 10 20 35 70 126 252 462 924 1716 3432 6435 12870 24310 48620]
BINOMIALCOEF,Middle   ,A001405,[2 3 6 10 20 35 70 126 252 462 924 1716 3432 6435 12870 24310 48620]
BINOMIALCOEF,Central  ,A000984,[6 20 70 252 924 3432 12870 48620]
BINOMIALCOEF,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
BINOMIALCOEF,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
BINOMIALCOEF,PosHalf  ,A000244,[9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 4782969]
BINOMIALCOEF,NegHalf  ,A000012,[1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1]
BINOMIALCOEF,BinConV  ,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
BINOMIALCOEF,IBinConV ,A126869,[-2 0 6 0 -20 0 70 0 -252 0 924 0 -3432 0 12870 0 -48620 0 184756 0]
BINOMIALCOEF,TransNat0,A001787,[4 12 32 80 192 448 1024 2304 5120 11264 24576 53248 114688 245760]
