Trait,ANumber,Sequence
Triangle,A008288,[1 1 1 1 3 1 1 5 5 1 ]
Reverse,A008288,[1 1 1 1 3 1 1 5 5 1 ]
Inverse,A103136,[1 -1 1 2 -3 1 -6 10 -5 1 ]
RevInv,A033878,[1 1 -1 1 -3 2 1 -5 10 -6 ]
InvRev,A103136,[1 -1 1 2 -3 1 -6 10 -5 1 ]
DiagTri,nothing,[1 1 1 1 1 3 1 5 1 1 ]
PolyTri,nothing,[1 1 1 1 2 1 1 5 3 1 ]
Sum,A077985,[1 2 5 12 29 70 169 408 985 2378 ]
EvenSum,A116404,[1 1 2 6 15 35 84 204 493 1189 ]
OddSum,nothing,[0 1 3 6 14 35 85 204 492 1189 ]
AltSum,A014581,[1 0 -1 0 1 0 -1 0 1 0 ]
DiagSum,nothing,[1 1 2 4 7 13 24 44 81 149 ]
Middle,A026003,[1 1 3 5 13 25 63 129 321 681 ]
Central,A001850,[1 3 13 63 321 1683 8989 48639 265729 1462563 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A007482,[1 3 11 39 139 495 1763 6279 22363 79647 ]
NegHalf,A077020,[1 -1 -1 3 -1 -5 7 3 -17 11 ]
PolyVal2,A007482,[1 3 11 39 139 495 1763 6279 22363 79647 ]
PolyVal3,A015530,[1 4 19 88 409 1900 8827 41008 190513 885076 ]
BinConv,A006139,[1 2 8 32 136 592 2624 11776 53344 243392 ]
IBinConv,nothing,[1 0 -4 0 24 0 -160 0 1120 0 ]
TransSqrs,nothing,[0 1 7 34 138 503 1709 5524 17204 52061 ]
TransNat0,nothing,[0 1 5 18 58 175 507 1428 3940 10701 ]
TransNat1,A026937,[1 3 10 30 87 245 676 1836 4925 13079 ]
