Trait,ANumber,Sequence
Triangle,A109449,[1 1 1 1 2 1 2 3 3 1 ]
Reverse,nothing,[1 1 1 1 2 1 1 3 3 2 ]
Inverse,A109449,[1 -1 1 1 -2 1 -2 3 -3 1 ]
RevInv,nothing,[1 1 -1 1 -2 1 1 -3 3 -2 ]
DiagTri,nothing,[1 1 1 1 2 2 5 3 1 16 ]
PolyTri,nothing,[1 1 1 1 2 1 2 4 3 1 ]
Sum,A000667,[1 2 4 9 24 77 294 1309 6664 38177 ]
EvenSum,A062272,[1 1 2 5 12 41 152 685 3472 19921 ]
OddSum,A062161,[0 1 2 4 12 36 142 624 3192 18256 ]
AltSum,A062162,[1 0 0 1 0 5 10 61 280 1665 ]
DiagSum,A343845,[1 1 2 4 9 27 93 392 1898 10493 ]
Middle,nothing,[1 1 2 3 6 20 40 175 350 2016 ]
Central,A343846,[1 2 6 40 350 4032 56364 933504 17824950 385848320 ]
LeftSide,A000111,[1 1 1 2 5 16 61 272 1385 7936 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A000834,[1 3 9 35 177 1123 8569 76355 777697 8911683 ]
NegHalf,A343843,[1 -1 1 -9 33 -241 1761 -15929 161473 -1853281 ]
PolyVal2,A000752,[1 3 9 28 93 338 1369 6238 31993 183618 ]
PolyVal3,A307878,[1 4 16 65 272 1189 5506 27365 147512 868129 ]
BinConv,nothing,[1 2 6 21 90 467 2824 19383 148414 1251935 ]
IBinConv,nothing,[1 0 -2 -1 -6 -15 0 -271 574 -5379 ]
TransSqrs,nothing,[0 1 6 24 84 300 1182 5292 26936 154224 ]
TransNat0,A231179,[0 1 4 12 36 120 462 2058 10472 59976 ]
TransNat1,A000737,[1 3 8 21 60 197 756 3367 17136 98153 ]
