ANumber,Triangle,Trait,Sequence
A119879,EulerSec,Triangle ,[1 0 1 -1 0 1 0 -3 0 1 5 0 -6 0 1 0 25 0 -10 0 1 -61 0 75 0 -15 0 1 0 ]
nothing,EulerSec,Reverse  ,[1 1 0 1 0 -1 1 0 -3 0 1 0 -6 0 5 1 0 -10 0 25 0 1 0 -15 0 75 0 -61 1 ]
A119467,EulerSec,Inverse  ,[1 0 1 1 0 1 0 3 0 1 1 0 6 0 1 0 5 0 10 0 1 1 0 15 0 15 0 1 0 7 0 35 ]
A141665,EulerSec,RevInv   ,[1 1 0 1 0 1 1 0 3 0 1 0 6 0 1 1 0 10 0 5 0 1 0 15 0 15 0 1 1 0 21 0 ]
nothing,EulerSec,DiagTri  ,[1 0 -1 1 0 0 5 -3 1 0 0 0 -61 25 -6 1 0 0 0 0 1385 -427 75 -10 1 0 0 ]
nothing,EulerSec,ConvTri  ,[1 0 0 1 0 -2 0 0 9 0 25 0 -60 0 46 0 0 625 0 -500 0 3721 0 -9150 0 ]
A247498,EulerSec,PolyTri  ,[1 0 1 -1 1 1 0 0 2 1 5 -2 3 3 1 0 0 2 8 4 1 -61 16 -3 18 15 5 1 0 0 ]
A009006,EulerSec,Sum      ,[1 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
A000007,EulerSec,EvenSum  ,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
A009006,EulerSec,OddSum   ,[0 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
A009006,EulerSec,AltSum   ,[1 -1 0 2 0 -16 0 272 0 -7936 0 353792 0 -22368256 0 1903757312 0 ]
nothing,EulerSec,CumSum   ,[1 0 1 -1 -1 0 0 -3 -3 -2 5 5 -1 -1 0 0 25 25 15 15 16 -61 -61 14 14 ]
nothing,EulerSec,RevCumSum,[1 1 1 1 1 0 1 1 -2 -2 1 1 -5 -5 0 1 1 -9 -9 16 16 1 1 -14 -14 61 61 ]
nothing,EulerSec,DiagSum  ,[1 0 0 0 3 0 -41 0 1024 0 -39603 0 2204565 0 -167343104 0 16633258447 ]
nothing,EulerSec,Middle   ,[1 0 0 -3 -6 0 0 175 350 0 0 -28182 -56364 0 0 8912475 17824950 0 0 ]
nothing,EulerSec,Central  ,[1 0 -6 0 350 0 -56364 0 17824950 0 ]
A122045,EulerSec,LeftSide ,[1 0 -1 0 5 0 -61 0 1385 0 -50521 0 2702765 0 -199360981 0 ]
A000012,EulerSec,RightSide,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A001586,EulerSec,PosHalf  ,[1 1 -3 -11 57 361 -2763 -24611 250737 2873041 -36581523 -512343611 ]   
A001586,EulerSec,NegHalf  ,[1 1 -3 -11 57 361 -2763 -24611 250737 2873041 -36581523 -512343611 ]
nothing,EulerSec,BinConv  ,[1 1 0 -8 -30 26 840 2696 -22722 -240146 282480 19114976 71133348 ]
nothing,EulerSec,IBinConv ,[1 1 0 -8 -30 26 840 2696 -22722 -240146 282480 19114976 71133348 ]
nothing,EulerSec,TransSqrs,[0 1 4 6 -8 -40 96 672 -2176 -19584 79360 872960 -4245504 -55191552 ]
