Trait,ANumber,Sequence
Triangle,A162660,[0 1 0 0 2 0 -2 0 3 0 ]
Reverse,nothing,[0 0 1 0 2 0 0 3 0 -2 ]
DiagTri,nothing,[0 1 0 0 -2 2 0 0 0 16 ]
PolyTri,nothing,[0 1 0 0 1 0 -2 2 1 0 ]
Sum,A009832,[0 1 2 1 -4 1 62 1 -1384 1 ]
EvenSum,A000035,[0 1 0 1 0 1 0 1 0 1 ]
OddSum,nothing,[0 0 2 0 -4 0 62 0 -1384 0 ]
AltSum,A009832,[0 1 -2 1 4 1 -62 1 1384 1 ]
DiagSum,nothing,[0 1 0 0 0 11 0 -192 0 6061 ]
Middle,nothing,[0 1 2 0 0 -20 -40 0 0 2016 ]
Central,A214447,[0 2 0 -40 0 4032 0 -933504 0 385848320 ]
LeftSide,A009006,[0 1 0 -2 0 16 0 -272 0 7936 ]
RightSide,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
PosHalf,nothing,[0 1 2 -5 -28 181 1382 -12305 -125368 1436521 ]
NegHalf,nothing,[0 1 2 -5 -28 181 1382 -12305 -125368 1436521 ]
PolyVal2,nothing,[0 1 4 10 16 16 64 400 256 -7424 ]
PolyVal3,nothing,[0 1 6 25 84 241 666 2185 7944 19681 ]
BinConv,nothing,[0 1 4 7 -16 -159 -188 4383 26560 -104591 ]
IBinConv,nothing,[0 -1 -4 -7 16 159 188 -4383 -26560 104591 ]
TransSqrs,nothing,[0 0 2 12 28 0 -114 476 3480 -12384 ]
TransNat0,nothing,[0 0 2 6 4 -20 6 434 8 -12456 ]
TransNat1,nothing,[0 1 4 7 0 -19 68 435 -1376 -12455 ]
