Trait,ANumber,Sequence
Triangle,A340556,[1 0 1 0 1 2 0 1 8 6 ]
Reverse,A163936,[1 1 0 2 1 0 6 8 1 0 ]
DiagTri,nothing,[1 0 0 1 0 1 0 1 2 0 ]
PolyTri,nothing,[1 0 1 0 1 1 0 3 2 1 ]
Sum,A001147,[1 1 3 15 105 945 10395 135135 2027025 34459425 ]
EvenSum,nothing,[1 0 2 8 46 496 5234 66344 1021918 17237488 ]
OddSum,nothing,[0 1 1 7 59 449 5161 68791 1005107 17221937 ]
AltSum,A001662,[1 -1 1 1 -13 47 73 -2447 16811 15551 ]
DiagSum,nothing,[1 0 1 1 3 9 29 111 467 2137 ]
Middle,nothing,[1 0 1 1 22 52 1452 5610 195800 1062500 ]
Central,nothing,[1 1 22 1452 195800 44765000 15548960784 7634832149392 5036317938475648 4297211671488276816 ]
LeftSide,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
RightSide,A000142,[1 1 2 6 24 120 720 5040 40320 362880 ]
PosHalf,A000311,[1 1 4 26 236 2752 39208 660032 12818912 282137824 ]
NegHalf,A341106,[1 1 0 -6 -12 144 1080 -5184 -127008 -95904 ]
PolyVal2,A112487,[1 2 10 82 938 13778 247210 5240338 128149802 3551246162 ]
PolyVal3,nothing,[1 3 21 237 3711 74451 1822557 52680189 1755990327 66313036227 ]
BinConv,nothing,[1 1 4 33 392 6145 119724 2789465 75660080 2341894185 ]
IBinConv,nothing,[1 1 0 -15 -80 665 17136 55209 -4162752 -83069415 ]
TransSqrs,nothing,[0 1 9 87 995 13265 202545 3489255 66981915 1418241825 ]
TransNat0,A051577,[0 1 5 35 315 3465 45045 675675 11486475 218243025 ]
TransNat1,nothing,[1 2 8 50 420 4410 55440 810810 13513500 252702450 ]
