Trait,ANumber,Sequence
Triangle,A008279,[1 1 1 1 2 2 1 3 6 6 1 4 12 24 24 1 5 20 60 120 120 1 6 30 120 360 ]
Reverse,A094587,[1 1 1 2 2 1 6 6 3 1 24 24 12 4 1 120 120 60 20 5 1 720 720 360 120 ]
InvRev,A128229,[1 -1 1 0 -2 1 0 0 -3 1 0 0 0 -4 1 0 0 0 0 -5 1 0 0 0 0 0 -6 1 0 0 0 ]
DiagTri,A344391,[1 1 1 1 1 2 1 3 2 1 4 6 1 5 12 6 1 6 20 24 1 7 30 60 24 1 8 42 120 ]
PolyTri,A320031,[1 1 1 1 2 1 1 5 3 1 1 16 13 4 1 1 65 79 25 5 1 1 326 633 226 41 6 1 ]
Sum,A000522,[1 2 5 16 65 326 1957 13700 109601 986410 9864101 108505112 ]
EvenSum,A087208,[1 1 3 7 37 141 1111 5923 62217 426457 5599531 46910271 739138093 ]
OddSum,A002747,[0 1 2 9 28 185 846 7777 47384 559953 4264570 61594841 562923252 ]
AltSum,A000166,[1 0 1 -2 9 -44 265 -1854 14833 -133496 1334961 -14684570 176214841 ]
DiagSum,A122852,[1 1 2 3 6 11 24 51 122 291 756 1979 5526 15627 46496 140451 442194 ]
Middle,A205825,[1 1 2 3 12 20 120 210 1680 3024 30240 55440 665280 1235520 17297280 ]
Central,A001813,[1 2 12 120 1680 30240 665280 17297280 518918400 17643225600 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
RightSide,A000142,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
PosHalf,A010842,[1 3 10 38 168 872 5296 37200 297856 2681216 26813184 294947072 ]
NegHalf,A000023,[1 -1 2 -2 8 8 112 656 5504 49024 491264 5401856 64826368 842734592 ]
PolyVal2,A010844,[1 3 13 79 633 6331 75973 1063623 17017969 306323443 6126468861 ]
PolyVal3,A010845,[1 4 25 226 2713 40696 732529 15383110 369194641 9968255308 ]
PolyValn,A277452,[1 2 13 226 7889 458026 39684637 4788052298 766526598721 ]
BinConv,A002720,[1 2 7 34 209 1546 13327 130922 1441729 17572114 234662231 3405357682 ]
IBinConv,A009940,[1 0 -1 -4 -15 -56 -185 -204 6209 112400 1520271 19165420 237686449 ]
TransSqrs,A343276,[0 1 10 81 652 5545 50886 506905 5480056 64116657 808856290 ]
TransNat0,A093964,[0 1 6 33 196 1305 9786 82201 767208 7891281 88776910 1085051121 ]
TransNat1,A001339,[1 3 11 49 261 1631 11743 95901 876809 8877691 98641011 1193556233 ]
