Trait,ANumber,Sequence
Triangle,A193737,[1 1 1 1 2 1 2 4 3 1 ]
Reverse,A193736,[1 1 1 1 2 1 1 3 4 2 ]
Inverse,nothing,[1 -1 1 1 -2 1 -1 2 -3 1 ]
RevInv,nothing,[1 1 -1 1 -2 1 1 -3 2 -1 ]
DiagTri,A119473,[1 1 1 1 2 2 3 4 1 5 ]
PolyTri,nothing,[1 1 1 1 2 1 2 4 3 1 ]
Sum,A052542,[1 2 4 10 24 58 140 338 816 1970 ]
EvenSum,A215928,[1 1 2 5 12 29 70 169 408 985 ]
OddSum,A000129,[0 1 2 5 12 29 70 169 408 985 ]
AltSum,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
DiagSum,A011782,[1 1 2 4 8 16 32 64 128 256 ]
Middle,nothing,[1 1 2 4 8 19 36 91 170 446 ]
Central,A330793,[1 2 8 36 170 826 4088 20496 103752 529100 ]
LeftSide,A274163,[1 1 1 2 3 5 8 13 21 34 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A330795,[1 3 9 39 153 615 2457 9831 39321 157287 ]
NegHalf,A006131,[1 -1 1 -5 9 -29 65 -181 441 -1165 ]
PolyVal2,A052906,[1 3 9 30 99 327 1080 3567 11781 38910 ]
PolyVal3,nothing,[1 4 16 68 288 1220 5168 21892 92736 392836 ]
BinConv,nothing,[1 2 6 24 100 426 1848 8120 36018 160940 ]
IBinConv,nothing,[1 0 -2 2 4 -14 0 58 -78 -162 ]
TransSqrs,nothing,[0 1 6 25 92 313 1010 3137 9464 27905 ]
TransNat0,A119915,[0 1 4 13 40 117 332 921 2512 6761 ]
TransNat1,A331321,[1 3 8 23 64 175 472 1259 3328 8731 ]
