ANumber,Triangle,Trait,Sequence
A321622,Fine,Triangle ,[1 1 1 0 1 1 1 1 1 1 2 4 2 1 1 6 10 7 3 1 1 18 31 19 10 4 1 1 57 97 ]
nothing,Fine,Reverse  ,[1 1 1 1 1 0 1 1 1 1 1 1 2 4 2 1 1 3 7 10 6 1 1 4 10 19 31 18 1 1 5 ]
nothing,Fine,Inverse  ,[1 -1 1 1 -1 1 -1 0 -1 1 1 -2 -1 -1 1 -1 -1 -3 -2 -1 1 1 -3 -2 -4 -3 ]
nothing,Fine,RevInv   ,[1 1 -1 1 -1 1 1 -1 0 -1 1 -1 -1 -2 1 1 -1 -2 -3 -1 -1 1 -1 -3 -4 -2 ]
nothing,Fine,DiagTri  ,[1 1 0 1 1 1 2 1 1 6 4 1 18 10 2 1 57 31 7 1 186 97 19 3 1 622 316 61 ]
nothing,Fine,ConvTri  ,[1 1 2 0 0 1 1 2 3 4 4 16 24 20 16 36 120 184 176 121 74 324 1116 ]
nothing,Fine,PolyTri  ,[1 1 1 0 2 1 1 2 3 1 2 4 6 4 1 6 10 15 12 5 1 18 28 42 40 20 6 1 57 ]
A002420,Fine,Sum      ,[1 2 2 4 10 28 84 264 858 2860 9724 33592 117572 416024 1485800 ]
A115140,Fine,EvenSum  ,[1 1 1 2 5 14 42 132 429 1430 4862 16796 58786 208012 742900 2674440 ]
A000108,Fine,OddSum   ,[0 1 1 2 5 14 42 132 429 1430 4862 16796 58786 208012 742900 2674440 ]
A000007,Fine,AltSum   ,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
nothing,Fine,CumSum   ,[1 1 2 0 1 2 1 2 3 4 2 6 8 9 10 6 16 23 26 27 28 18 49 68 78 82 83 84 ]
nothing,Fine,RevCumSum,[1 1 2 1 2 2 1 2 3 4 1 2 4 8 10 1 2 5 12 22 28 1 2 6 16 35 66 84 1 2 ]
nothing,Fine,DiagSum  ,[1 1 1 2 4 11 31 96 306 1010 3404 11686 40690 143383 510303 1831708 ]
nothing,Fine,Middle   ,[1 1 1 1 2 7 10 29 40 136 181 623 812 2906 3732 13605 17280 64108 ]
nothing,Fine,Central  ,[1 1 2 10 40 181 812 3732 17280 80740 ]
A064310,Fine,LeftSide ,[1 1 0 1 2 6 18 57 186 622 2120 7338 25724 91144 325878 1174281 ]
A000012,Fine,RightSide,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
nothing,Fine,PosHalf  ,[1 3 3 15 75 423 2547 16047 104475 697335 4746243 32816127 229848747 ]
nothing,Fine,NegHalf  ,[1 -1 -1 -5 7 -77 399 -2661 17175 -115517 787807 -5461589 38326631 ]
nothing,Fine,BinConv  ,[1 2 3 8 35 162 756 3600 17451 85670 424523 2119152 10641332 53696216 ]
nothing,Fine,IBinConv ,[1 0 -1 0 -5 0 -28 0 -165 0 -1001 0 -6188 0 -38760 0 -245157 0 ]
nothing,Fine,TransSqrs,[0 1 5 14 37 106 322 1020 3333 11154 38038 131716 461890 1636964 ]
nothing,Fine,TransNat0,[0 1 3 6 15 42 126 396 1287 4290 14586 50388 176358 624036 2228700 ]
nothing,Fine,TransNat1,[1 3 5 10 25 70 210 660 2145 7150 24310 83980 293930 1040060 3714500 ]
A064310,Fine,PolyVal0 ,[1 1 0 1 2 6 18 57 186 622 2120 7338 25724 91144 325878 1174281 ]
A002420,Fine,PolyVal1 ,[1 2 2 4 10 28 84 264 858 2860 9724 33592 117572 416024 1485800 ]
nothing,Fine,PolyVal2 ,[1 3 6 15 42 126 396 1287 4290 14586 50388 176358 624036 2228700 ]
A100320,Fine,PolyVal3 ,[1 4 12 40 140 504 1848 6864 25740 97240 369512 1410864 5408312 ]
nothing,Fine,PolyValn ,[1 2 6 40 370 4356 62664 1070112 21199770 478301500 12109010980 ]
A000012,Fine,PolySeq0 ,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A000027,Fine,PolySeq1 ,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
A002378,Fine,PolySeq2 ,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 ]
A053698,Fine,PolySeq3 ,[1 4 15 40 85 156 259 400 585 820 1111 1464 1885 2380 2955 3616 4369 ]
