Triangle,Trait,ANumber,Sequence
FUBINITRIANG,Triangle ,A131689,[1 0 1 2 0 1 6 6 0 1 14 36 24 0 1 30 150 240 120 0 1 62 540 1560 1800]
FUBINITRIANG,Reverse  ,A.....?,[0 2 1 0 6 6 1 0 24 36 14 1 0 120 240 150 30 1 0 720 1800 1560 540 62]
FUBINITRIANG,Sum      ,A000670,[3 13 75 541 4683 47293 545835 7087261 102247563 1622632573]
FUBINITRIANG,EvenSum  ,A052841,[2 6 38 270 2342 23646 272918 3543630 51123782 811316286 14045783798]
FUBINITRIANG,OddSum   ,A089677,[1 7 37 271 2341 23647 272917 3543631 51123781 811316287 14045783797]
FUBINITRIANG,AltSum   ,A000012,[1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1]
FUBINITRIANG,AccSum   ,A120368,[4 21 142 1175 11476 129073 1641802 23292459 364530688 6237123365]
FUBINITRIANG,AccRevSum,A120368,[4 21 142 1175 11476 129073 1641802 23292459 364530688 6237123365]
FUBINITRIANG,RevAccSum,A005649,[8 44 308 2612 25988 296564 3816548 54667412 862440068 14857100084]
FUBINITRIANG,DiagSum  ,A105795,[1 1 3 7 21 67 237 907 3741 16507 77517 385627 2024301 11174587]
FUBINITRIANG,RowGcd   ,A027760,[2 6 2 30 2 42 2 30 2 66 2 2730 2 6 2 510 2 798]
FUBINITRIANG,RowMax   ,A002869,[2 6 36 240 1800 16800 191520 2328480 30240000 479001600 8083152000]
FUBINITRIANG,Middle   ,A344397,[1 1 14 30 540 1806 40824 186480 5103000 29607600 953029440]
FUBINITRIANG,Central  ,A210029,[14 540 40824 5103000 953029440 248619571200 86355926616960]
FUBINITRIANG,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
FUBINITRIANG,RightSide,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
FUBINITRIANG,PosHalf  ,A122704,[4 22 160 1456 15904 202672 2951680 48361216 880405504 17630351872]
FUBINITRIANG,NegHalf  ,A009006,[0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0]
FUBINITRIANG,BinConV  ,A000312,[4 27 256 3125 46656 823543 16777216 387420489 10000000000]
FUBINITRIANG,IBinConV ,A344053,[0 -9 -40 125 3444 18571 -241872 -5796711 -24387220 1132278191]
FUBINITRIANG,TransNat0,A069321,[5 31 233 2071 21305 249271 3270713 47580151 760192505 13234467511]
FUBINITRIANG,TransNat1,A005649,[8 44 308 2612 25988 296564 3816548 54667412 862440068 14857100084]
FUBINITRIANG,DiagRow0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
FUBINITRIANG,DiagRow1 ,A001286,[6 36 240 1800 15120 141120 1451520 16329600 199584000 2634508800]
FUBINITRIANG,DiagRow2 ,A037960,[14 150 1560 16800 191520 2328480 30240000 419126400 6187104000]
FUBINITRIANG,DiagRow3 ,A037961,[30 540 8400 126000 1905120 29635200 479001600 8083152000]
FUBINITRIANG,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
FUBINITRIANG,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
FUBINITRIANG,DiagCol2 ,A000918,[14 30 62 126 254 510 1022 2046 4094 8190 16382 32766 65534 131070]
FUBINITRIANG,DiagCol3 ,A001117,[150 540 1806 5796 18150 55980 171006 519156 1569750 4733820 14250606]
FUBINITRIANG,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
FUBINITRIANG,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
FUBINITRIANG,PolyRow2 ,A014105,[10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 741]
FUBINITRIANG,PolyRow3 ,A094421,[74 219 484 905 1518 2359 3464 4869 6610 8723 11244 14209 17654 21615]
FUBINITRIANG,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
FUBINITRIANG,PolyCol1 ,A000670,[3 13 75 541 4683 47293 545835 7087261 102247563 1622632573]
FUBINITRIANG,PolyCol2 ,A004123,[10 74 730 9002 133210 2299754 45375130 1007179562 24840104410]
FUBINITRIANG,PolyCol3 ,A032033,[21 219 3045 52923 1103781 26857659 746870565 23365498683]
FUBINITRIANG,PolyDiag ,A094420,[10 219 8676 544505 49729758 6232661239 1026912225160 215270320769109]
fubini, 39 traits, 38 A-numbers, 97%
