Trait,ANumber,Sequence
Triangle,A099174,[1 0 1 1 0 1 0 3 0 1 ]
Reverse,A073278,[1 1 0 1 0 1 1 0 3 0 ]
Inverse,A066325,[1 0 1 -1 0 1 0 -3 0 1 ]
RevInv,A073278,[1 1 0 1 0 -1 1 0 -3 0 ]
DiagTri,nothing,[1 0 1 1 0 0 3 3 1 0 ]
PolyTri,nothing,[1 0 1 1 1 1 0 2 2 1 ]
Sum,A000085,[1 1 2 4 10 26 76 232 764 2620 ]
EvenSum,nothing,[1 0 2 0 10 0 76 0 764 0 ]
OddSum,nothing,[0 1 0 4 0 26 0 232 0 2620 ]
AltSum,A000085,[1 -1 2 -4 10 -26 76 -232 764 -2620 ]
DiagSum,nothing,[1 0 2 0 7 0 37 0 266 0 ]
Middle,nothing,[1 0 0 3 6 0 0 105 210 0 ]
Central,nothing,[1 0 6 0 210 0 13860 0 1351350 0 ]
LeftSide,A123023,[1 0 1 0 3 0 15 0 105 0 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A115329,[1 1 5 13 73 281 1741 8485 57233 328753 ]
NegHalf,A115329,[1 1 5 13 73 281 1741 8485 57233 328753 ]
PolyVal2,A005425,[1 2 5 14 43 142 499 1850 7193 29186 ]
PolyVal3,A202834,[1 3 10 36 138 558 2364 10440 47868 227124 ]
BinConv,A344501,[1 1 2 10 40 176 916 4852 27350 163270 ]
IBinConv,A344501,[1 1 2 10 40 176 916 4852 27350 163270 ]
TransSqrs,nothing,[0 1 4 12 40 130 456 1624 6112 23580 ]
TransNat0,A013989,[0 1 2 6 16 50 156 532 1856 6876 ]
TransNat1,A000085,[1 2 4 10 26 76 232 764 2620 9496 ]
