Trait,ANumber,Sequence
Triangle,A021009,[1 1 1 2 4 1 6 18 9 1 24 96 72 16 1 120 600 600 200 25 1 720 4320 ]
Reverse,A021010,[1 1 1 1 4 2 1 9 18 6 1 16 72 96 24 1 25 200 600 600 120 1 36 450 ]
Inverse,A021009,[1 -1 1 2 -4 1 -6 18 -9 1 24 -96 72 -16 1 -120 600 -600 200 -25 1 720 ]
RevInv,A021010,[1 1 -1 1 -4 2 1 -9 18 -6 1 -16 72 -96 24 1 -25 200 -600 600 -120 1 ]
DiagTri,A084950,[1 1 2 1 6 4 24 18 1 120 96 9 720 600 72 1 5040 4320 600 16 40320 ]
PolyTri,A343847,[1 1 1 2 2 1 6 7 3 1 24 34 14 4 1 120 209 86 23 5 1 720 1546 648 168 ]
Sum,A002720,[1 2 7 34 209 1546 13327 130922 1441729 17572114 234662231 3405357682 ]
EvenSum,A331325,[1 1 3 15 97 745 6571 65359 723969 8842257 118091251 1712261551 ]
OddSum,A331326,[0 1 4 19 112 801 6756 65563 717760 8729857 116570980 1693096131 ]
AltSum,A009940,[1 0 -1 -4 -15 -56 -185 -204 6209 112400 1520271 19165420 237686449 ]
DiagSum,A001040,[1 1 3 10 43 225 1393 9976 81201 740785 7489051 83120346 1004933203 ]
Middle,A343580,[1 1 4 18 72 600 2400 29400 117600 1905120 7620480 153679680 ]
Central,A295383,[1 4 72 2400 117600 7620480 614718720 59364264960 6678479808000 ]
LeftSide,A000142,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A025167,[1 3 17 139 1473 19091 291793 5129307 101817089 2250495523 ]
NegHalf,A025166,[1 -1 1 7 -127 1711 -23231 334391 -5144063 84149983 -1446872959 ]
PolyVal2,A087912,[1 3 14 86 648 5752 58576 671568 8546432 119401856 1815177984 ]
PolyVal3,A277382,[1 4 23 168 1473 14988 173007 2228544 31636449 490102164 8219695239 ]
PolyCent,A277373,[1 2 14 168 2840 61870 1649232 51988748 1891712384 78031713690 ]
BinConv,A216831,[1 2 11 88 905 11246 162607 2668436 48830273 983353690 21570885011 ]
IBinConv,A343840,[1 0 -5 22 9 -1244 14335 -79470 -586943 25131304 -434574909 ]
TransSqrs,A105219,[0 1 8 63 544 5225 55656 653023 8379008 116780049 1757211400 ]
TransNat0,A103194,[0 1 6 39 292 2505 24306 263431 3154824 41368977 589410910 9064804551 ]
TransNat1,A000262,[1 3 13 73 501 4051 37633 394353 4596553 58941091 824073141 ]
