Trait,ANumber,Sequence
Triangle,A271703,[1 0 1 0 2 1 0 6 6 1 0 24 36 12 1 0 120 240 120 20 1 0 720 1800 1200 ]
Reverse,A089231,[1 1 0 1 2 0 1 6 6 0 1 12 36 24 0 1 20 120 240 120 0 1 30 300 1200 ]
Inverse,A111596,[1 0 1 0 -2 1 0 6 -6 1 0 -24 36 -12 1 0 120 -240 120 -20 1 0 -720 ]
RevInv,A089231,[1 1 0 1 -2 0 1 -6 6 0 1 -12 36 -24 0 1 -20 120 -240 120 0 1 -30 300 ]
DiagTri,A330609,[1 0 0 1 0 2 0 6 1 0 24 6 0 120 36 1 0 720 240 12 0 5040 1800 120 1 0 ]
PolyTri,A253286,[1 0 1 0 1 1 0 3 2 1 0 13 8 3 1 0 73 44 15 4 1 0 501 304 99 24 5 1 0 ]
Sum,A000262,[1 1 3 13 73 501 4051 37633 394353 4596553 58941091 824073141 ]
EvenSum,A088312,[1 0 1 6 37 260 2101 19362 201097 2326536 29668681 413257790 ]
OddSum,A088313,[0 1 2 7 36 241 1950 18271 193256 2270017 29272410 410815351 ]
AltSum,A111884,[1 -1 -1 -1 1 19 151 1091 7841 56519 396271 2442439 7701409 ]
DiagSum,A001053,[1 0 1 2 7 30 157 972 6961 56660 516901 5225670 57999271 701216922 ]
Middle,A343581,[1 0 2 6 36 240 1200 12600 58800 846720 3810240 69854400 307359360 ]
Central,A187535,[1 2 36 1200 58800 3810240 307359360 29682132480 3339239904000 ]
LeftSide,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A025168,[1 1 5 37 361 4361 62701 1044205 19748177 417787921 9770678101 ]
NegHalf,A318223,[1 1 -3 13 -71 441 -2699 9157 206193 -8443151 236126701 -6169406979 ]
PolyVal2,A052897,[1 2 8 44 304 2512 24064 261536 3173888 42483968 621159424 9841950208 ]
PolyVal3,A255806,[1 3 15 99 801 7623 83079 1017495 13808097 205374123 3318673599 ]
PolyValn,A293145,[1 1 8 99 1696 37225 997056 31535371 1150303232 47538819729 ]
BinConv,A344051,[1 1 5 37 361 4301 60001 954325 16984577 333572041 7151967181 ]
IBinConv,A344050,[1 1 -3 1 73 -699 3001 24697 -783999 10946233 -80958779 -656003919 ]
TransSqrs,A103194,[0 1 6 39 292 2505 24306 263431 3154824 41368977 589410910 9064804551 ]
TransNat0,A052852,[0 1 4 21 136 1045 9276 93289 1047376 12975561 175721140 2581284541 ]  
TransNat1,A002720,[1 2 7 34 209 1546 13327 130922 1441729 17572114 234662231 3405357682 ]
