Triangle,Trait,ANumber,Sequence
MOTZKINTRIAN,Triangle ,A064189,[1 2 2 1 4 5 3 1 9 12 9 4 1 21 30 25 14 5 1 51 76 69 44 20 6 1 127]
MOTZKINTRIAN,Reverse  ,A026300,[1 1 2 2 1 3 5 4 1 4 9 12 9 1 5 14 25 30 21 1 6 20 44 69 76 51 1 7 27]
MOTZKINTRIAN,Inverse  ,A101950,[1 0 -2 1 1 1 -3 1 -1 2 3 -4 1 0 -4 2 6 -5 1 1 2 -9 0 10 -6 1 -1 3 9]
MOTZKINTRIAN,RevInv   ,A.....?,[-1 1 -2 0 1 -3 1 1 1 -4 3 2 -1 1 -5 6 2 -4 0 1 -6 10 0 -9 2 1 1 -7]
MOTZKINTRIAN,Sum      ,A005773,[5 13 35 96 267 750 2123 6046 17303 49721 143365 414584 1201917]
MOTZKINTRIAN,EvenSum  ,A002426,[3 7 19 51 141 393 1107 3139 8953 25653 73789 212941 616227 1787607]
MOTZKINTRIAN,OddSum   ,A005717,[2 6 16 45 126 357 1016 2907 8350 24068 69576 201643 585690 1704510]
MOTZKINTRIAN,AltSum   ,A005043,[1 1 3 6 15 36 91 232 603 1585 4213 11298 30537 83097 227475 625992]
MOTZKINTRIAN,AccSum   ,A026943,[11 38 129 429 1407 4563 14669 46823 148587 469226 1475669 4624437]
MOTZKINTRIAN,AccRevSum,A026943,[11 38 129 429 1407 4563 14669 46823 148587 469226 1475669 4624437]
MOTZKINTRIAN,RevAccSum,A000244,[9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 4782969]
MOTZKINTRIAN,DiagSum  ,A005043,[3 6 15 36 91 232 603 1585 4213 11298 30537 83097 227475 625992]
MOTZKINTRIAN,RowGcd   ,A000319,[2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
MOTZKINTRIAN,RowMax   ,A026938,[2 5 12 30 76 196 518 1422 3915 10813 29964 83304 232323 649845]
MOTZKINTRIAN,Middle   ,A344394,[2 5 9 25 44 133 230 726 1242 4037 6853 22737 38376 129285 217242]
MOTZKINTRIAN,Central  ,A026302,[9 44 230 1242 6853 38376 217242 1239980]
MOTZKINTRIAN,LeftSide ,A001006,[2 4 9 21 51 127 323 835 2188 5798 15511 41835 113634 310572 853467]
MOTZKINTRIAN,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
MOTZKINTRIAN,PosHalf  ,A330799,[13 59 285 1419 7245 37659 198589 1059371 5705517 30976571 169338781]
MOTZKINTRIAN,NegHalf  ,A330800,[5 -17 77 -345 1653 -8097 40733 -208553 1084421 -5708785 30370861]
MOTZKINTRIAN,BinConV  ,A344502,[7 29 128 587 2759 13190 63844 311948 1535488 7602971 37829455]
MOTZKINTRIAN,IBinConV ,A344503,[-1 3 0 -5 15 0 -28 84 0 -165 495 0 -1001 3003 0 -6188 18564 0 -38760]
MOTZKINTRIAN,TransNat0,A330796,[4 14 46 147 462 1437 4438 13637 41746 127426 388076 1179739 3581052]
MOTZKINTRIAN,TransNat1,A000244,[9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 4782969]
MOTZKINTRIAN,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
MOTZKINTRIAN,DiagRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
MOTZKINTRIAN,DiagRow2 ,A000096,[9 14 20 27 35 44 54 65 77 90 104 119 135 152 170 189 209 230 252 275]
MOTZKINTRIAN,DiagRow3 ,A000297,[25 44 70 104 147 200 264 340 429 532 650 784 935 1104 1292 1500 1729]
MOTZKINTRIAN,DiagCol0 ,A001006,[2 4 9 21 51 127 323 835 2188 5798 15511 41835 113634 310572 853467]
MOTZKINTRIAN,DiagCol1 ,A002026,[5 12 30 76 196 512 1353 3610 9713 26324 71799 196938 542895 1503312]
MOTZKINTRIAN,DiagCol2 ,A005322,[9 25 69 189 518 1422 3915 10813 29964 83304 232323 649845 1822824]
MOTZKINTRIAN,DiagCol3 ,A005323,[14 44 133 392 1140 3288 9438 27016 77220 220584 630084 1800384]
MOTZKINTRIAN,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
MOTZKINTRIAN,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
MOTZKINTRIAN,PolyRow2 ,A002522,[10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362 401 442]
MOTZKINTRIAN,PolyRow3 ,A135859,[34 73 136 229 358 529 748 1021 1354 1753 2224 2773 3406 4129 4948]
MOTZKINTRIAN,PolyCol0 ,A001006,[2 4 9 21 51 127 323 835 2188 5798 15511 41835 113634 310572 853467]
MOTZKINTRIAN,PolyCol1 ,A005773,[5 13 35 96 267 750 2123 6046 17303 49721 143365 414584 1201917]
MOTZKINTRIAN,PolyCol2 ,A059738,[10 34 117 405 1407 4899 17083 59629 208284 727900 2544751 8898873]
MOTZKINTRIAN,PolyCol3 ,A344506,[17 73 315 1362 5895 25528 110579 479068 2075683 8993897 38971621]
MOTZKINTRIAN,PolyDiag ,A.....?,[10 73 713 8796 131727 2325324 47317699 1090925062 28110267788]
motzkin, 41 traits, 39 A-numbers, 95%
