Triangle,Trait,ANumber,Sequence
NARAYANATRIA,Triangle ,A090181,[1 0 1 1 0 1 3 1 0 1 6 6 1 0 1 10 20 10 1 0 1 15 50 50 15 1 0 1 21]
NARAYANATRIA,Reverse  ,A090181,[0 1 1 0 1 3 1 0 1 6 6 1 0 1 10 20 10 1 0 1 15 50 50 15 1 0 1 21 105]
NARAYANATRIA,Inverse  ,A.....?,[1 0 -1 1 0 2 -3 1 0 -7 12 -6 1 0 39 -70 40 -10 1 0 -321 585 -350 100]
NARAYANATRIA,RevInv   ,A.....?,[0 1 -1 0 1 -3 2 0 1 -6 12 -7 0 1 -10 40 -70 39 0 1 -15 100 -350 585]
NARAYANATRIA,Sum      ,A000108,[2 5 14 42 132 429 1430 4862 16796 58786 208012 742900 2674440]
NARAYANATRIA,EvenSum  ,A071688,[1 3 7 20 66 217 715 2424 8398 29414 104006 371384 1337220 4847637]
NARAYANATRIA,OddSum   ,A071684,[1 2 7 22 66 212 715 2438 8398 29372 104006 371516 1337220 4847208]
NARAYANATRIA,AltSum   ,A090192,[0 1 0 -2 0 5 0 -14 0 42 0 -132 0 429 0 -1430 0 4862]
NARAYANATRIA,AccSum   ,A001700,[3 10 35 126 462 1716 6435 24310 92378 352716 1352078 5200300]
NARAYANATRIA,AccRevSum,A001700,[3 10 35 126 462 1716 6435 24310 92378 352716 1352078 5200300]
NARAYANATRIA,RevAccSum,A189176,[5 15 49 168 594 2145 7865 29172 109174 411502 1560090 5943200]
NARAYANATRIA,DiagSum  ,A004148,[1 1 2 4 8 17 37 82 185 423 978 2283 5373 12735 30372 72832 175502]
NARAYANATRIA,RowGcd   ,A.....?,[1 3 6 10 5 7 14 12 9 11 11 13 13 1 2 68 17 19]
NARAYANATRIA,RowMax   ,A005558,[1 3 6 20 50 175 490 1764 5292 19404 60984 226512 736164 2760615]
NARAYANATRIA,Middle   ,A.....?,[1 1 6 10 50 105 490 1176 5292 13860 60984 169884 736164 2147145]
NARAYANATRIA,Central  ,A125558,[6 50 490 5292 60984 736164 9202050 118195220]
NARAYANATRIA,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
NARAYANATRIA,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
NARAYANATRIA,PosHalf  ,A001003,[3 11 45 197 903 4279 20793 103049 518859 2646723 13648869 71039373]
NARAYANATRIA,NegHalf  ,A091593,[-1 -1 5 -3 -21 51 41 -391 407 1927 -6227 -2507 49347 -71109 -236079]
NARAYANATRIA,BinConV  ,A.....?,[3 13 65 356 2072 12601 79221 511174 3368090 22577160 153534680]
NARAYANATRIA,IBinConV ,A.....?,[-1 -5 9 56 -120 -825 1925 14014 -34398 -259896 659736 5116320]
NARAYANATRIA,TransNat0,A001700,[3 10 35 126 462 1716 6435 24310 92378 352716 1352078 5200300]
NARAYANATRIA,TransNat1,A189176,[5 15 49 168 594 2145 7865 29172 109174 411502 1560090 5943200]
NARAYANATRIA,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
NARAYANATRIA,DiagRow1 ,A000217,[3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231]
NARAYANATRIA,DiagRow2 ,A002415,[6 20 50 105 196 336 540 825 1210 1716 2366 3185 4200 5440 6936 8721]
NARAYANATRIA,DiagRow3 ,A006542,[10 50 175 490 1176 2520 4950 9075 15730 26026 41405 63700 95200]
NARAYANATRIA,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
NARAYANATRIA,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
NARAYANATRIA,DiagCol2 ,A000217,[6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231 253]
NARAYANATRIA,DiagCol3 ,A002415,[20 50 105 196 336 540 825 1210 1716 2366 3185 4200 5440 6936 8721]
NARAYANATRIA,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
NARAYANATRIA,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
NARAYANATRIA,PolyRow2 ,A002378,[6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420]
NARAYANATRIA,PolyRow3 ,A033445,[22 57 116 205 330 497 712 981 1310 1705 2172 2717 3346 4065 4880]
NARAYANATRIA,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
NARAYANATRIA,PolyCol1 ,A000108,[2 5 14 42 132 429 1430 4862 16796 58786 208012 742900 2674440]
NARAYANATRIA,PolyCol2 ,A006318,[6 22 90 394 1806 8558 41586 206098 1037718 5293446 27297738]
NARAYANATRIA,PolyCol3 ,A025231,[12 57 300 1686 9912 60213 374988 2381322 15361896 100389306]
NARAYANATRIA,PolyDiag ,A.....?,[6 57 740 12130 239442 5516133 145043208 4281280686 140046944510]
narayana, 41 traits, 34 A-numbers, 82%
