Triangle,Trait,ANumber,Sequence
RENCONTRESTR,Triangle ,A008290,[1 1 0 1 2 3 0 1 9 8 6 0 1 44 45 20 10 0 1 265 264 135 40 15 0 1 1854]
RENCONTRESTR,Reverse  ,A098825,[0 1 0 1 1 0 3 2 1 0 6 8 9 1 0 10 20 45 44 1 0 15 40 135 264 265 1 0]
RENCONTRESTR,Inverse  ,A055137,[1 -1 0 1 -2 -3 0 1 -3 -8 -6 0 1 -4 -15 -20 -10 0 1 -5 -24 -45 -40]
RENCONTRESTR,RevInv   ,A.....?,[0 1 0 -1 1 0 -3 -2 1 0 -6 -8 -3 1 0 -10 -20 -15 -4 1 0 -15 -40 -45]
RENCONTRESTR,Sum      ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
RENCONTRESTR,EvenSum  ,A062282,[2 2 16 64 416 2848 22912 205952 2060032 22659328 271913984]
RENCONTRESTR,OddSum   ,A063083,[0 4 8 56 304 2192 17408 156928 1568768 17257472 207087616 2692143104]
RENCONTRESTR,AltSum   ,A000023,[2 -2 8 8 112 656 5504 49024 491264 5401856 64826368 842734592]
RENCONTRESTR,AccSum   ,A001563,[4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200]
RENCONTRESTR,AccRevSum,A001563,[4 18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200]
RENCONTRESTR,RevAccSum,A052849,[4 12 48 240 1440 10080 80640 725760 7257600 79833600 958003200]
RENCONTRESTR,DiagSum  ,A.....?,[2 2 13 52 317 2138 16834 149292 1476209 16088808 191589809]
RENCONTRESTR,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
RENCONTRESTR,RowMax   ,A174318,[1 3 9 45 265 1855 14833 133497 1334961 14684571 176214841 2290792933]
RENCONTRESTR,Middle   ,A.....?,[0 3 6 20 40 315 630 5544 11088 122430 244860 3181464 6362928]
RENCONTRESTR,Central  ,A281262,[6 40 630 11088 244860 6362928 190900710 6490575520]
RENCONTRESTR,LeftSide ,A000166,[1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 2290792932]
RENCONTRESTR,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
RENCONTRESTR,PosHalf  ,A000354,[5 29 233 2329 27949 391285 6260561 112690097 2253801941 49583642701]
RENCONTRESTR,NegHalf  ,A343582,[5 -3 105 -807 10413 -143595 2304081 -41453775 829134549 -18240782931]
RENCONTRESTR,BinConV  ,A.....?,[2 12 78 570 4900 48160 530390 6464430 86327388 1252761048]
RENCONTRESTR,IBinConV ,A.....?,[2 8 14 82 132 744 4566 -33442 587036 -6952064 87792652 -1082005052]
RENCONTRESTR,TransNat0,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
RENCONTRESTR,TransNat1,A052849,[4 12 48 240 1440 10080 80640 725760 7257600 79833600 958003200]
RENCONTRESTR,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
RENCONTRESTR,DiagRow1 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
RENCONTRESTR,DiagRow2 ,A000217,[6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231 253]
RENCONTRESTR,DiagRow3 ,A007290,[20 40 70 112 168 240 330 440 572 728 910 1120 1360 1632 1938 2280]
RENCONTRESTR,DiagCol0 ,A000166,[1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 2290792932]
RENCONTRESTR,DiagCol1 ,A000240,[3 8 45 264 1855 14832 133497 1334960 14684571 176214840 2290792933]
RENCONTRESTR,DiagCol2 ,A000387,[6 20 135 924 7420 66744 667485 7342280 88107426 1145396460]
RENCONTRESTR,DiagCol3 ,A000449,[10 40 315 2464 22260 222480 2447445 29369120 381798846 5345183480]
RENCONTRESTR,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
RENCONTRESTR,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
RENCONTRESTR,PolyRow2 ,A002522,[5 10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362 401]
RENCONTRESTR,PolyRow3 ,A.....?,[16 38 78 142 236 366 538 758 1032 1366 1766 2238 2788 3422 4146 4966]
RENCONTRESTR,PolyCol0 ,A000166,[1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 2290792932]
RENCONTRESTR,PolyCol1 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
RENCONTRESTR,PolyCol2 ,A000522,[5 16 65 326 1957 13700 109601 986410 9864101 108505112 1302061345]
RENCONTRESTR,PolyCol3 ,A010842,[10 38 168 872 5296 37200 297856 2681216 26813184 294947072]
RENCONTRESTR,PolyDiag ,A217701,[5 38 393 5144 81445 1512720 32237681 775193984 20759213061]
rencontres, 41 traits, 35 A-numbers, 85%
