Trait,ANumber,Sequence
Triangle,A122538,[1 0 1 0 2 1 0 6 4 1 ]
Reverse,nothing,[1 1 0 1 2 0 1 4 6 0 ]
Inverse,A122542,[1 0 1 0 -2 1 0 2 -4 1 ]
RevInv,A266213,[1 1 0 1 -2 0 1 -4 2 0 ]
DiagTri,nothing,[1 0 0 1 0 2 0 6 1 0 ]
PolyTri,nothing,[1 0 1 0 1 1 0 3 2 1 ]
Sum,A001003,[1 1 3 11 45 197 903 4279 20793 103049 ]
EvenSum,nothing,[1 0 1 4 17 76 353 1688 8257 41128 ]
OddSum,A010683,[0 1 2 7 28 121 550 2591 12536 61921 ]
AltSum,A001003,[1 -1 -1 -3 -11 -45 -197 -903 -4279 -20793 ]
DiagSum,nothing,[1 0 1 2 7 26 107 468 2141 10124 ]
Middle,nothing,[1 0 2 6 16 68 146 714 1408 7432 ]
Central,A103885,[1 2 16 146 1408 14002 142000 1459810 15158272 158611106 ]
LeftSide,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A330802,[1 1 5 33 253 2121 18853 174609 1667021 16290969 ]
NegHalf,A330803,[1 1 -3 17 -123 1001 -8739 79969 -756939 7349657 ]
PolyVal2,A109980,[1 2 8 36 172 852 4324 22332 116876 618084 ]
PolyVal3,nothing,[1 3 15 81 453 2583 14907 86733 507561 2982987 ]
BinConv,A178792,[1 1 5 31 209 1471 10625 78079 580865 4361215 ]
IBinConv,A255047,[1 1 -3 7 -15 31 -63 127 -255 511 ]
TransSqrs,A065096,[0 1 6 31 156 785 3978 20335 104856 545073 ]
TransNat0,A239204,[0 1 4 17 76 353 1688 8257 41128 207905 ]
TransNat1,A010683,[1 2 7 28 121 550 2591 12536 61921 310954 ]
