Trait,ANumber,Sequence
Triangle,A172094,[1 1 1 3 4 1 11 17 7 1 ]
Reverse,nothing,[1 1 1 1 4 3 1 7 17 11 ]
Inverse,A331969,[1 -1 1 1 -4 1 -1 11 -7 1 ]
RevInv,nothing,[1 1 -1 1 -4 1 1 -7 11 -1 ]
DiagTri,nothing,[1 1 3 1 11 4 45 17 1 197 ]
PolyTri,nothing,[1 1 1 3 2 1 11 8 3 1 ]
Sum,A109980,[1 2 8 36 172 852 4324 22332 116876 618084 ]
EvenSum,A225887,[1 1 4 18 86 426 2162 11166 58438 309042 ]
OddSum,A225887,[0 1 4 18 86 426 2162 11166 58438 309042 ]
AltSum,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
DiagSum,nothing,[1 1 4 15 63 280 1297 6193 30268 150687 ]
Middle,nothing,[1 1 4 17 40 216 458 2745 5558 35318 ]
Central,nothing,[1 4 40 458 5558 69660 891154 11563214 151605142 2003523032 ]
LeftSide,A001003,[1 1 3 11 45 197 903 4279 20793 103049 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A331328,[1 3 21 171 1509 13995 134277 1320651 13237221 134682219 ]
NegHalf,A330802,[1 -1 5 -33 253 -2121 18853 -174609 1667021 -16290969 ]
PolyVal2,nothing,[1 3 15 81 453 2583 14907 86733 507561 2982987 ]
PolyVal3,nothing,[1 4 24 152 984 6440 42408 280312 1857336 12326792 ]
BinConv,nothing,[1 2 12 84 630 4908 39158 317544 2605590 21571500 ]
IBinConv,nothing,[1 0 -4 20 -58 64 390 -2948 10934 -20320 ]
TransSqrs,nothing,[0 1 8 54 342 2098 12634 75190 443934 2606330 ]
TransNat0,nothing,[0 1 6 34 190 1058 5890 32822 183158 1023658 ]
TransNat1,nothing,[1 3 14 70 362 1910 10214 55154 300034 1641742 ]
