ANumber,Triangle,Trait,Sequence
A048994,StirlingCycle,Triangle ,[1 0 1 0 1 1 0 2 3 1 0 6 11 6 1 0 24 50 35 10 1 0 120 274 225 85 15 1 ]
A054654,StirlingCycle,Reverse  ,[1 1 0 1 1 0 1 3 2 0 1 6 11 6 0 1 10 35 50 24 0 1 15 85 225 274 120 0 ]
A048993,StirlingCycle,Inverse  ,[1 0 1 0 -1 1 0 1 -3 1 0 -1 7 -6 1 0 1 -15 25 -10 1 0 -1 31 -90 65 ]
A106800,StirlingCycle,RevInv   ,[1 1 0 1 -1 0 1 -3 1 0 1 -6 7 -1 0 1 -10 25 -15 1 0 1 -15 65 -90 31 ]
A331327,StirlingCycle,DiagTri  ,[1 0 0 1 0 1 0 2 1 0 6 3 0 24 11 1 0 120 50 6 0 720 274 35 1 0 5040 ]
nothing,StirlingCycle,ConvTri  ,[1 0 0 0 0 1 0 0 4 12 0 0 36 132 193 0 0 576 2400 4180 3980 0 0 14400 ]
nothing,StirlingCycle,PolyTri  ,[1 0 1 0 1 1 0 2 2 1 0 6 6 3 1 0 24 24 12 4 1 0 120 120 60 20 5 1 0 ]
A000142,StirlingCycle,Sum      ,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ] 
A105752,StirlingCycle,EvenSum  ,[1 0 1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
A001710,StirlingCycle,OddSum   ,[0 1 1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
A014028,StirlingCycle,AltSum   ,[1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
nothing,StirlingCycle,CumSum   ,[1 0 1 0 1 2 0 2 5 6 0 6 17 23 24 0 24 74 109 119 120 0 120 394 619 ]
A096747,StirlingCycle,RevCumSum,[1 1 1 1 2 2 1 4 6 6 1 7 18 24 24 1 11 46 96 120 120 1 16 101 326 600 ]
A343579,StirlingCycle,DiagSum  ,[1 0 1 1 3 9 36 176 1030 7039 55098 486346 4780445 51787405 613045468 ]
A154415,StirlingCycle,Middle   ,[1 0 1 2 11 50 225 1624 6769 67284 269325 3416930 13339535 206070150 ]
A187646,StirlingCycle,Central  ,[1 1 11 225 6769 269325 13339535 790943153 54631129553 4308105301929 ]
A000007,StirlingCycle,LeftSide ,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
A000012,StirlingCycle,RightSide,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A001147,StirlingCycle,PosHalf  ,[1 1 3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575 ]
A330797,StirlingCycle,NegHalf  ,[1 1 -1 3 -15 105 -945 10395 -135135 2027025 -34459425 654729075 ]
A211210,StirlingCycle,BinConv  ,[1 1 3 16 115 1021 10696 128472 1734447 25937683 424852351 7554471156 ]
A317274,StirlingCycle,IBinConv ,[1 1 -1 -2 19 -79 76 2640 -36945 329371 -1861949 -4438774 355714228 ]
A151881,StirlingCycle,TransSqrs,[0 1 5 23 120 724 5012 39332 345832 3371976 36135792 422379792 ]
A000254,StirlingCycle,TransNat0,[0 1 3 11 50 274 1764 13068 109584 1026576 10628640 120543840 ]    
A000774,StirlingCycle,TransNat1,[1 2 5 17 74 394 2484 18108 149904 1389456 14257440 160460640 ]    
A000007,StirlingCycle,PolyVal0 ,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
A000142,StirlingCycle,PolyVal1 ,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ] 
A000142,StirlingCycle,PolyVal2 ,[1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
nothing,StirlingCycle,PolyVal3 ,[1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800 ]
A000407,StirlingCycle,PolyValn ,[1 1 6 60 840 15120 332640 8648640 259459200 8821612800 335221286400 ]
A000012,StirlingCycle,PolySeq0 ,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A001477,StirlingCycle,PolySeq1 ,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ]
A002378,StirlingCycle,PolySeq2 ,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 ]
A331433,StirlingCycle,PolySeq3 ,[0 6 24 60 120 210 336 504 720 990 1320 1716 2184 2730 3360 4080 4896 ]
A000012,StirlingCycle,Diag0    ,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A000217,StirlingCycle,Diag1    ,[0 1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 ]
A000914,StirlingCycle,Diag2    ,[0 2 11 35 85 175 322 546 870 1320 1925 2717 3731 5005 6580 8500 ]
A001303,StirlingCycle,Diag3    ,[0 6 50 225 735 1960 4536 9450 18150 32670 55770 91091 143325 218400 ]
A000007,StirlingCycle,AntiDiag0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
A000142,StirlingCycle,AntiDiag1,[1 1 2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600 ]
A000254,StirlingCycle,AntiDiag2,[1 3 11 50 274 1764 13068 109584 1026576 10628640 120543840 ]
A000399,StirlingCycle,AntiDiag3,[1 6 35 225 1624 13132 118124 1172700 12753576 150917976 1931559552 ]
