ANumber,Triangle,Trait,Sequence
A048993,StirlingSet,Triangle ,[1 0 1 0 1 1 0 1 3 1 0 1 7 6 1 0 1 15 25 10 1 0 1 31 90 65 15 1 0 1 ]
A106800,StirlingSet,Reverse  ,[1 1 0 1 1 0 1 3 1 0 1 6 7 1 0 1 10 25 15 1 0 1 15 65 90 31 1 0 1 21 ]
A048994,StirlingSet,Inverse  ,[1 0 1 0 -1 1 0 2 -3 1 0 -6 11 -6 1 0 24 -50 35 -10 1 0 -120 274 -225 ]
A054654,StirlingSet,RevInv   ,[1 1 0 1 -1 0 1 -3 2 0 1 -6 11 -6 0 1 -10 35 -50 24 0 1 -15 85 -225 ]
nothing,StirlingSet,DiagTri  ,[1 0 0 1 0 1 0 1 1 0 1 3 0 1 7 1 0 1 15 6 0 1 31 25 1 0 1 63 90 10 0 ]
nothing,StirlingSet,ConvTri  ,[1 0 0 0 0 1 0 0 1 6 0 0 1 14 61 0 0 1 30 275 770 0 0 1 62 1141 5710 ]
A189233,StirlingSet,PolyTri  ,[1 0 1 0 1 1 0 2 2 1 0 5 6 3 1 0 15 22 12 4 1 0 52 94 57 20 5 1 0 203 ]
A000110,StirlingSet,Sum      ,[1 1 2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 ]
A024430,StirlingSet,EvenSum  ,[1 0 1 3 8 25 97 434 2095 10707 58194 338195 2097933 13796952 ]
A024429,StirlingSet,OddSum   ,[0 1 1 2 7 27 106 443 2045 10440 57781 340375 2115664 13847485 ]
A000587,StirlingSet,AltSum   ,[1 -1 0 1 1 -2 -9 -9 50 267 413 -2180 -17731 -50533 110176 1966797 ]
nothing,StirlingSet,CumSum   ,[1 0 1 0 1 2 0 1 4 5 0 1 8 14 15 0 1 16 41 51 52 0 1 32 122 187 202 ]
nothing,StirlingSet,RevCumSum,[1 1 1 1 2 2 1 4 5 5 1 7 14 15 15 1 11 36 51 52 52 1 16 81 171 202 ]
A171367,StirlingSet,DiagSum  ,[1 0 1 1 2 4 9 22 58 164 495 1587 5379 19195 71872 281571 1151338 ]
