ANumber,Triangle,Trait,Sequence
A109956,TTree,Triangle ,[1 1 1 3 4 1 12 18 7 1 55 88 42 10 1 273 455 245 75 13 1 1428 2448 ]
nothing,TTree,Reverse  ,[1 1 1 1 4 3 1 7 18 12 1 10 42 88 55 1 13 75 245 455 273 1 16 117 510 ]
A109955,TTree,Inverse  ,[1 -1 1 1 -4 1 -1 10 -7 1 1 -20 28 -10 1 -1 35 -84 55 -13 1 1 -56 210 ]
A193636,TTree,RevInv   ,[1 1 -1 1 -4 1 1 -7 10 -1 1 -10 28 -20 1 1 -13 55 -84 35 -1 1 -16 91 ]
nothing,TTree,DiagTri  ,[1 1 3 1 12 4 55 18 1 273 88 7 1428 455 42 1 7752 2448 245 10 43263 ]
nothing,TTree,ConvTri  ,[1 1 2 9 24 22 144 432 492 276 3025 9680 12364 8492 3634 74529 248430 ]
nothing,TTree,PolyTri  ,[1 1 1 3 2 1 12 8 3 1 55 38 15 4 1 273 196 84 24 5 1 1428 1062 495 ]
A047098,TTree,Sum      ,[1 2 8 38 196 1062 5948 34120 199316 1181126 7080928 42860534 ]
A047099,TTree,EvenSum  ,[1 1 4 19 98 531 2974 17060 99658 590563 3540464 21430267 130771376 ]
A047099,TTree,OddSum   ,[0 1 4 19 98 531 2974 17060 99658 590563 3540464 21430267 130771376 ]
A000007,TTree,AltSum   ,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
nothing,TTree,CumSum   ,[1 1 2 3 7 8 12 30 37 38 55 143 185 195 196 273 728 973 1048 1061 ]
nothing,TTree,RevCumSum,[1 1 2 1 5 8 1 8 26 38 1 11 53 141 196 1 14 89 334 789 1062 1 17 134 ]
A109957,TTree,DiagSum  ,[1 1 4 16 74 368 1926 10455 58333 332489 1927761 11334128 67416570 ]
nothing,TTree,Middle   ,[1 1 4 18 42 245 510 3325 6578 45630 87696 632896 1193808 8855691 ]
nothing,TTree,Central  ,[1 4 42 510 6578 87696 1193808 16486756 230090850 3237004680 ]
A001764,TTree,LeftSide ,[1 1 3 12 55 273 1428 7752 43263 246675 1430715 8414640 50067108 ]
A000012,TTree,RightSide,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
nothing,TTree,PosHalf  ,[1 3 21 183 1773 18303 197157 2189799 24891741 288132303 3384415701 ]
nothing,TTree,NegHalf  ,[1 -1 5 -37 325 -3141 32261 -345605 3818501 -43197445 497868805 ]
nothing,TTree,BinConv  ,[1 2 12 88 700 5814 49588 430560 3786588 33622600 300782768 ]
nothing,TTree,IBinConv ,[1 0 -4 22 -84 238 -380 -828 10556 -56144 211824 -563290 579348 ]
nothing,TTree,TransSqrs,[0 1 8 55 362 2343 15058 96500 617930 3957847 25370396 162806015 ]
nothing,TTree,TransNat0,[0 1 6 35 206 1227 7388 44900 275046 1696331 10523534 65619435 ]
nothing,TTree,TransNat1,[1 3 14 73 402 2289 13336 79020 474362 2877457 17604462 108479969 ]
A001764,TTree,PolyVal0 ,[1 1 3 12 55 273 1428 7752 43263 246675 1430715 8414640 50067108 ]
A047098,TTree,PolyVal1 ,[1 2 8 38 196 1062 5948 34120 199316 1181126 7080928 42860534 ]
A005809,TTree,PolyVal2 ,[1 3 15 84 495 3003 18564 116280 735471 4686825 30045015 193536720 ]
nothing,TTree,PolyVal3 ,[1 4 24 156 1048 7164 49488 344208 2405496 16868604 118595064 ]
nothing,TTree,PolyValn ,[1 2 15 156 1975 29298 500388 9721120 212574591 5182081950 ]
A000012,TTree,PolySeq0 ,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A000027,TTree,PolySeq1 ,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
A005563,TTree,PolySeq2 ,[3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 ]
nothing,TTree,PolySeq3 ,[12 38 84 156 260 402 588 824 1116 1470 1892 2388 2964 3626 4380 5232 ]
A000012,TTree,Diag0    ,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A016777,TTree,Diag1    ,[1 4 7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55 58 61 64 67 70 ]
A000338,TTree,Diag2    ,[3 18 42 75 117 168 228 297 375 462 558 663 777 900 1032 1173 1323 ]
nothing,TTree,Diag3    ,[12 88 245 510 910 1472 2223 3190 4400 5880 7657 9758 12210 15040 ]
A001764,TTree,AntiDiag0,[1 1 3 12 55 273 1428 7752 43263 246675 1430715 8414640 50067108 ]
A006629,TTree,AntiDiag1,[1 4 18 88 455 2448 13566 76912 444015 2601300 15426840 92431584 ]
nothing,TTree,AntiDiag2,[1 7 42 245 1428 8379 49588 296010 1781325 10798788 65900296 ]
A233657,TTree,AntiDiag3,[1 10 75 510 3325 21252 134550 848250 5340060 33622600 211915132 ]
