Trait,ANumber,Sequence
Triangle,A111808,[1 1 1 1 2 3 1 3 6 7 ]
Reverse,A094531,[1 1 1 3 2 1 7 6 3 1 ]
InvRev,A102587,[1 -1 1 -1 -2 1 2 0 -3 1 ]
DiagTri,nothing,[1 1 1 1 1 2 1 3 3 1 ]
PolyTri,nothing,[1 1 1 1 2 1 1 6 3 1 ]
Sum,A027914,[1 2 6 17 50 147 435 1290 3834 11411 ]
EvenSum,nothing,[1 1 4 7 30 61 253 547 2194 4921 ]
OddSum,nothing,[0 1 2 10 20 86 182 743 1640 6490 ]
AltSum,A246437,[1 0 2 -3 10 -25 71 -196 554 -1569 ]
DiagSum,nothing,[1 1 2 3 7 11 23 38 78 132 ]
Middle,A027913,[1 1 2 3 10 15 50 77 266 414 ]
Central,A027908,[1 2 10 50 266 1452 8074 45474 258570 1481108 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
RightSide,A002426,[1 1 3 7 19 51 141 393 1107 3139 ]
PosHalf,nothing,[1 3 11 39 139 493 1745 6163 21731 76521 ]
NegHalf,nothing,[1 -1 3 -1 11 9 57 111 387 989 ]
PolyVal2,nothing,[1 3 17 87 481 2663 14993 84983 485057 2782023 ]
PolyVal3,nothing,[1 4 34 253 2074 16999 142255 1199776 10203946 87281983 ]
BinConv,A082759,[1 2 8 35 160 752 3599 17446 85376 420884 ]
IBinConv,nothing,[1 0 0 -3 0 0 15 0 0 -84 ]
TransSqrs,nothing,[0 1 14 90 492 2330 10206 42147 166872 639414 ]
TransNat0,nothing,[0 1 8 36 148 560 2034 7161 24672 83592 ]
TransNat1,nothing,[1 3 14 53 198 707 2469 8451 28506 95003 ]
