Trait,ANumber,Sequence
Triangle,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Reverse,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Inverse,A097806,[1 -1 1 0 -1 1 0 0 -1 1 0 0 0 -1 1 0 0 0 0 -1 1 0 0 0 0 0 -1 1 0 0 0 ]
RevInv,A103451,[1 1 -1 1 -1 0 1 -1 0 0 1 -1 0 0 0 1 -1 0 0 0 0 1 -1 0 0 0 0 0 1 -1 0 ]
InvRev,A097806,[1 -1 1 0 -1 1 0 0 -1 1 0 0 0 -1 1 0 0 0 0 -1 1 0 0 0 0 0 -1 1 0 0 0 ]
DiagTri,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PolyTri,A104878,[1 1 1 1 2 1 1 3 3 1 1 4 7 4 1 1 5 15 13 5 1 1 6 31 40 21 6 1 1 7 63 ]
Sum,A000027,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 ]
EvenSum,A008619,[1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 ]
OddSum,A001057,[0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 ]
AltSum,A014581, [1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 ]
DiagSum,A008619,[1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 ]
Middle,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
Central,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
LeftSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
PosHalf,A126646,[1 3 7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 ]
NegHalf,A077925,[1 -1 3 -5 11 -21 43 -85 171 -341 683 -1365 2731 -5461 10923 -21845 ]
PolyVal2,A126646,[1 3 7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 ]
PolyVal3,A003462,[1 4 13 40 121 364 1093 3280 9841 29524 88573 265720 797161 2391484 ]
PolyValn,A031973,[1 2 7 40 341 3906 55987 960800 19173961 435848050 11111111111 ]
BinConv,A000079,[1 2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536 ]
IBinConv,A000007,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]                
TransSqrs,A000330,[0 1 5 14 30 55 91 140 204 285 385 506 650 819 1015 1240 1496 1785 ]
TransNat0,A000217,[0 1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 ]
TransNat1,A000217,[1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 ]
