Triangle,Trait,ANumber,Sequence
WORPITZKYNUM,Triangle ,A028246,[1 1 3 2 1 7 12 6 1 15 50 60 24 1 31 180 390 360 120 1 63 602 2100]
WORPITZKYNUM,Reverse  ,A075263,[1 2 3 1 6 12 7 1 24 60 50 15 1 120 360 390 180 31 1 720 2520 3360]
WORPITZKYNUM,InvRev   ,A106340,[1 1 -3 1 -1 9 -7 1 1 -45 55 -15 1 -1 585 -835 285 -31 1 1 -21105]
WORPITZKYNUM,Sum      ,A000629,[6 26 150 1082 9366 94586 1091670 14174522 204495126 3245265146]
WORPITZKYNUM,EvenSum  ,A000670,[3 13 75 541 4683 47293 545835 7087261 102247563 1622632573]
WORPITZKYNUM,OddSum   ,A000670,[3 13 75 541 4683 47293 545835 7087261 102247563 1622632573]
WORPITZKYNUM,AltSum   ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
WORPITZKYNUM,AccSum   ,A.....?,[11 55 359 2891 27635 305439 3829439 53672179 831308939 14096879303]
WORPITZKYNUM,AccRevSum,A.....?,[11 55 359 2891 27635 305439 3829439 53672179 831308939 14096879303]
WORPITZKYNUM,RevAccSum,A000670,[13 75 541 4683 47293 545835 7087261 102247563 1622632573 28091567595]
WORPITZKYNUM,DiagSum  ,A229046,[2 4 10 28 88 304 1144 4648 20248 94024 463144 2409928 13198888]
WORPITZKYNUM,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
WORPITZKYNUM,RowMax   ,A.....?,[3 12 60 390 3360 31920 332640 4233600 59875200 898128000 14495120640]
WORPITZKYNUM,Middle   ,A.....?,[3 7 50 180 2100 10206 166824 1020600 21538440 158838240 4115105280]
WORPITZKYNUM,Central  ,A185157,[50 2100 166824 21538440 4115105280 1091804313600 384202115256960]
WORPITZKYNUM,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
WORPITZKYNUM,RightSide,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
WORPITZKYNUM,PosHalf  ,A009362,[12 66 480 4368 47712 608016 8855040 145083648 2641216512 52891055616]
WORPITZKYNUM,NegHalf  ,A009006,[0 2 0 -16 0 272 0 -7936 0 353792 0 -22368256 0 1903757312 0]
WORPITZKYNUM,BinConV  ,A000169,[9 64 625 7776 117649 2097152 43046721 1000000000 25937424601]
WORPITZKYNUM,IBinConV ,A343584,[-3 -10 25 574 2653 -30234 -644079 -2438722 102934381 2094370486]
WORPITZKYNUM,TransNat0,A343583,[7 49 391 3601 37927 451249 5995591 88073041 1418137447 24846302449]
WORPITZKYNUM,TransNat1,A000670,[13 75 541 4683 47293 545835 7087261 102247563 1622632573 28091567595]
WORPITZKYNUM,DiagRow0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
WORPITZKYNUM,DiagRow1 ,A001710,[12 60 360 2520 20160 181440 1814400 19958400 239500800 3113510400]
WORPITZKYNUM,DiagRow2 ,A005460,[50 390 3360 31920 332640 3780000 46569600 618710400 8821612800]
WORPITZKYNUM,DiagRow3 ,A005461,[180 2100 25200 317520 4233600 59875200 898128000 14270256000]
WORPITZKYNUM,DiagCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
WORPITZKYNUM,DiagCol1 ,A000225,[7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 131071]
WORPITZKYNUM,DiagCol2 ,A028243,[50 180 602 1932 6050 18660 57002 173052 523250 1577940 4750202]
WORPITZKYNUM,DiagCol3 ,A028244,[390 2100 10206 46620 204630 874500 3669006 15195180 62350470]
WORPITZKYNUM,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
WORPITZKYNUM,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
WORPITZKYNUM,PolyRow2 ,A000384,[15 28 45 66 91 120 153 190 231 276 325 378 435 496 561 630 703 780]
WORPITZKYNUM,PolyRow3 ,A.....?,[111 292 605 1086 1771 2696 3897 5410 7271 9516 12181 15302 18915]
WORPITZKYNUM,PolyCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
WORPITZKYNUM,PolyCol1 ,A000629,[6 26 150 1082 9366 94586 1091670 14174522 204495126 3245265146]
WORPITZKYNUM,PolyCol2 ,A201339,[15 111 1095 13503 199815 3449631 68062695 1510769343 37260156615]
WORPITZKYNUM,PolyCol3 ,A201354,[28 292 4060 70564 1471708 35810212 995827420 31153998244]
WORPITZKYNUM,PolyDiag ,A.....?,[15 292 10845 653406 58018051 7123041416 1155276253305]
worpitzky, 40 traits, 34 A-numbers, 85%
