Triangle,Trait,ANumber,Sequence
ABELPOLYNOMS,Triangle ,A137452,[1 0 2 1 0 9 6 1 0 64 48 12 1 0 625 500 150 20 1 0 7776 6480 2160 360]
ABELPOLYNOMS,Reverse  ,A.....?,[0 1 2 0 1 6 9 0 1 12 48 64 0 1 20 150 500 625 0 1 30 360 2160 6480]
ABELPOLYNOMS,Inverse  ,A059297,[1 0 -2 1 0 3 -6 1 0 -4 24 -12 1 0 5 -80 90 -20 1 0 -6 240 -540 240]
ABELPOLYNOMS,RevInv   ,A059299,[0 1 -2 0 1 -6 3 0 1 -12 24 -4 0 1 -20 90 -80 5 0 1 -30 240 -540 240]
ABELPOLYNOMS,Sum      ,A000272,[3 16 125 1296 16807 262144 4782969 100000000 2357947691 61917364224]
ABELPOLYNOMS,EvenSum  ,A274278,[1 6 49 520 6841 107744 1979713 41611392 985263601 25958682112]
ABELPOLYNOMS,OddSum   ,A195136,[2 10 76 776 9966 154400 2803256 58388608 1372684090 35958682112]
ABELPOLYNOMS,AltSum   ,A000312,[-1 -4 -27 -256 -3125 -46656 -823543 -16777216 -387420489]
ABELPOLYNOMS,AccSum   ,A.....?,[5 40 425 5616 88837 1638400 34543665 820000000 21650246981]
ABELPOLYNOMS,AccRevSum,A.....?,[5 40 425 5616 88837 1638400 34543665 820000000 21650246981]
ABELPOLYNOMS,RevAccSum,A.....?,[7 40 325 3456 45619 720896 13286025 280000000 6645125311]
ABELPOLYNOMS,DiagSum  ,A.....?,[1 2 10 70 674 8288 124280 2200174 44918105 1038958770 26852449045]
ABELPOLYNOMS,RowGcd   ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19]
ABELPOLYNOMS,RowMax   ,A000169,[2 9 64 625 7776 117649 2097152 43046721 1000000000 25937424601]
ABELPOLYNOMS,Middle   ,A.....?,[2 9 48 500 2160 36015 143360 3306744 12600000 372027810 1379524608]
ABELPOLYNOMS,Central  ,A.....?,[48 2160 143360 12600000 1379524608 180889572864 27638114549760]
ABELPOLYNOMS,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ABELPOLYNOMS,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ABELPOLYNOMS,PosHalf  ,A052750,[5 49 729 14641 371293 11390625 410338673 16983563041 794280046581]
ABELPOLYNOMS,NegHalf  ,A085527,[-3 25 -343 6561 -161051 4826809 -170859375 6975757441 -322687697779]
ABELPOLYNOMS,BinConV  ,A.....?,[5 46 593 9726 192637 4457580 117769409 3492894070 114790042901]
ABELPOLYNOMS,IBinConV ,A.....?,[-3 10 -15 -474 12565 -258572 5136705 -102255290 2019481101]
ABELPOLYNOMS,TransNat0,A089946,[4 24 200 2160 28812 458752 8503056 180000000 4287177620 113515167744]
ABELPOLYNOMS,TransNat1,A.....?,[7 40 325 3456 45619 720896 13286025 280000000 6645125311]
ABELPOLYNOMS,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ABELPOLYNOMS,DiagRow1 ,A002378,[6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420]
ABELPOLYNOMS,DiagRow2 ,A.....?,[48 150 360 735 1344 2268 3600 5445 7920 11154 15288 20475 26880]
ABELPOLYNOMS,DiagRow3 ,A.....?,[500 2160 6860 17920 40824 84000 159720 285120 483340 784784 1228500]
ABELPOLYNOMS,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ABELPOLYNOMS,DiagCol1 ,A000169,[9 64 625 7776 117649 2097152 43046721 1000000000 25937424601]
ABELPOLYNOMS,DiagCol2 ,A053506,[48 500 6480 100842 1835008 38263752 900000000 23579476910]
ABELPOLYNOMS,DiagCol3 ,A053507,[150 2160 36015 688128 14880348 360000000 9646149645 283787919360]
ABELPOLYNOMS,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ABELPOLYNOMS,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
ABELPOLYNOMS,PolyRow2 ,A005563,[8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 440]
ABELPOLYNOMS,PolyRow3 ,A.....?,[50 108 196 320 486 700 968 1296 1690 2156 2700 3328 4046 4860 5776]
ABELPOLYNOMS,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ABELPOLYNOMS,PolyCol1 ,A000272,[3 16 125 1296 16807 262144 4782969 100000000 2357947691 61917364224]
ABELPOLYNOMS,PolyCol2 ,A007334,[8 50 432 4802 65536 1062882 20000000 428717762 10319560704]
ABELPOLYNOMS,PolyCol3 ,A.....?,[15 108 1029 12288 177147 3000000 58461513 1289945088 31813498119]
ABELPOLYNOMS,PolyDiag ,A193678,[8 108 2048 50000 1492992 52706752 2147483648 99179645184]
abel, 41 traits, 27 A-numbers, 65%
