Triangle,Trait,ANumber,Sequence
BESSELPOLYNO,Triangle ,A122850,[1 0 1 1 0 3 3 1 0 15 15 6 1 0 105 105 45 10 1 0 945 945 420 105 15 1]
BESSELPOLYNO,Reverse  ,A104548,[0 1 1 0 1 3 3 0 1 6 15 15 0 1 10 45 105 105 0 1 15 105 420 945 945 0]
BESSELPOLYNO,Inverse  ,A122848,[1 0 -1 1 0 0 -3 1 0 0 3 -6 1 0 0 0 15 -10 1 0 0 0 -15 45 -15 1 0 0 0]
BESSELPOLYNO,RevInv   ,A144299,[0 1 -1 0 1 -3 0 0 1 -6 3 0 0 1 -10 15 0 0 0 1 -15 45 -15 0 0 0 1 -21]
BESSELPOLYNO,Sum      ,A001515,[2 7 37 266 2431 27007 353522 5329837 90960751 1733584106 36496226977]
BESSELPOLYNO,EvenSum  ,A036244,[1 3 16 115 1051 11676 152839 2304261 39325276 749484505 15778499881]
BESSELPOLYNO,OddSum   ,A025164,[1 4 21 151 1380 15331 200683 3025576 51635475 984099601 20717727096]
BESSELPOLYNO,AltSum   ,A000806,[0 -1 -5 -36 -329 -3655 -47844 -721315 -12310199 -234615096]
BESSELPOLYNO,AccSum   ,A.....?,[3 16 118 1101 12421 164473 2501661 42992218 823976596 17426801811]
BESSELPOLYNO,AccRevSum,A.....?,[3 16 118 1101 12421 164473 2501661 42992218 823976596 17426801811]
BESSELPOLYNO,RevAccSum,A.....?,[5 19 104 761 7027 78590 1033559 15635989 267552416 5109791567]
BESSELPOLYNO,DiagSum  ,A.....?,[1 1 4 18 121 1056 11386 145960 2166991 36550095 690151981]
BESSELPOLYNO,RowGcd   ,A069834,[1 3 3 5 15 21 7 9 45 55 33 39 91 105 15 17 153 171]
BESSELPOLYNO,RowMax   ,A001147,[1 3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
BESSELPOLYNO,Middle   ,A.....?,[1 3 15 105 420 4725 17325 270270 945945 18918900 64324260 1571349780]
BESSELPOLYNO,Central  ,A.....?,[15 420 17325 945945 64324260 5237832600 496939367925 53835098191875]
BESSELPOLYNO,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
BESSELPOLYNO,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
BESSELPOLYNO,PosHalf  ,A001517,[3 19 193 2721 49171 1084483 28245729 848456353 28875761731]
BESSELPOLYNO,NegHalf  ,A002119,[-1 7 -71 1001 -18089 398959 -10391023 312129649 -10622799089]
BESSELPOLYNO,BinConV  ,A.....?,[3 19 175 2076 29911 505093 9757539 211883500 5102919316 134868653976]
BESSELPOLYNO,IBinConV ,A.....?,[-1 1 7 -124 1591 -19991 256691 -3335228 41759236 -430787224]
BESSELPOLYNO,TransNat0,A107103,[3 12 67 495 4596 51583 680037 10306152 176591665 3376207461]
BESSELPOLYNO,TransNat1,A.....?,[5 19 104 761 7027 78590 1033559 15635989 267552416 5109791567]
BESSELPOLYNO,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
BESSELPOLYNO,DiagRow1 ,A000217,[3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231]
BESSELPOLYNO,DiagRow2 ,A050534,[15 45 105 210 378 630 990 1485 2145 3003 4095 5460 7140 9180 11628]
BESSELPOLYNO,DiagRow3 ,A240440,[105 420 1260 3150 6930 13860 25740 45045 75075 120120 185640 278460]
BESSELPOLYNO,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
BESSELPOLYNO,DiagCol1 ,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
BESSELPOLYNO,DiagCol2 ,A001147,[15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
BESSELPOLYNO,DiagCol3 ,A001879,[45 420 4725 62370 945945 16216200 310134825 6547290750 151242416325]
BESSELPOLYNO,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
BESSELPOLYNO,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
BESSELPOLYNO,PolyRow2 ,A002378,[6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420]
BESSELPOLYNO,PolyRow3 ,A024001,[26 63 124 215 342 511 728 999 1330 1727 2196 2743 3374 4095 4912]
BESSELPOLYNO,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
BESSELPOLYNO,PolyCol1 ,A001515,[2 7 37 266 2431 27007 353522 5329837 90960751 1733584106 36496226977]
BESSELPOLYNO,PolyCol2 ,A107104,[6 26 154 1182 11254 128522 1715802 26251118 453132214 8714516538]
BESSELPOLYNO,PolyCol3 ,A.....?,[12 63 423 3528 35559 422901 5817744 91072269 1600588269 31230827532]
BESSELPOLYNO,PolyDiag ,A.....?,[6 63 940 18150 429786 12051697 390433464 14347598445 589633486750]
bessel, 41 traits, 30 A-numbers, 73%
