Triangle,Trait,ANumber,Sequence
CATALANAERAT,Triangle ,A053121,[1 1 0 1 0 2 0 1 2 0 3 0 1 0 5 0 4 0 1 5 0 9 0 5 0 1 0 14 0 14 0 6 0]
CATALANAERAT,Reverse  ,A052173,[0 1 0 1 1 0 2 0 1 0 3 0 2 1 0 4 0 5 0 1 0 5 0 9 0 5 1 0 6 0 14 0 14]
CATALANAERAT,Inverse  ,A049310,[1 -1 0 1 0 -2 0 1 1 0 -3 0 1 0 3 0 -4 0 1 -1 0 6 0 -5 0 1 0 -4 0 10]
CATALANAERAT,RevInv   ,A053119,[0 1 0 -1 1 0 -2 0 1 0 -3 0 1 1 0 -4 0 3 0 1 0 -5 0 6 0 -1 1 0 -6 0]
CATALANAERAT,Sum      ,A001405,[2 3 6 10 20 35 70 126 252 462 924 1716 3432 6435 12870 24310 48620]
CATALANAERAT,EvenSum  ,A126869,[2 0 6 0 20 0 70 0 252 0 924 0 3432 0 12870 0 48620 0]
CATALANAERAT,OddSum   ,A138364,[0 3 0 10 0 35 0 126 0 462 0 1716 0 6435 0 24310 0 92378]
CATALANAERAT,AltSum   ,A001405,[2 -3 6 -10 20 -35 70 -126 252 -462 924 -1716 3432 -6435 12870 -24310]
CATALANAERAT,AccSum   ,A296663,[4 7 20 38 96 187 444 874 2000 3958 8840 17548 38528 76627 166124]
CATALANAERAT,AccRevSum,A296663,[4 7 20 38 96 187 444 874 2000 3958 8840 17548 38528 76627 166124]
CATALANAERAT,RevAccSum,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
CATALANAERAT,DiagSum  ,A090192,[2 0 5 0 14 0 42 0 132 0 429 0 1430 0 4862 0 16796]
CATALANAERAT,RowGcd   ,A059233,[1 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1]
CATALANAERAT,RowMax   ,A101461,[1 2 3 5 9 14 28 48 90 165 297 572 1001 2002 3640 7072 13260 25194]
CATALANAERAT,Middle   ,A.....?,[0 2 3 0 0 14 20 0 0 110 154 0 0 910 1260 0 0 7752]
CATALANAERAT,Central  ,A.....?,[3 0 20 0 154 0 1260 0]
CATALANAERAT,LeftSide ,A090192,[1 0 2 0 5 0 14 0 42 0 132 0 429 0 1430 0 4862 0]
