Triangle,Trait,ANumber,Sequence
CENTRCYCFACT,Triangle ,A269940,[1 0 2 3 0 6 20 15 0 24 130 210 105 0 120 924 2380 2520 945 0 720]
CENTRCYCFACT,Reverse  ,A.....?,[0 3 2 0 15 20 6 0 105 210 130 24 0 945 2520 2380 924 120 0 10395]
CENTRCYCFACT,Sum      ,A032188,[5 41 469 6889 123605 2620169 64074901 1775623081 54989743445]
CENTRCYCFACT,EvenSum  ,A.....?,[3 20 235 3444 61803 1310084 32037451 887811540 27494871723]
CENTRCYCFACT,OddSum   ,A.....?,[2 21 234 3445 61802 1310085 32037450 887811541 27494871722]
CENTRCYCFACT,AltSum   ,A000012,[1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1]
CENTRCYCFACT,AccSum   ,A.....?,[7 73 1011 17421 358583 8575169 233499227 7129778357 241209015807]
CENTRCYCFACT,AccRevSum,A.....?,[7 73 1011 17421 358583 8575169 233499227 7129778357 241209015807]
CENTRCYCFACT,RevAccSum,A.....?,[13 132 1803 30802 630257 15006352 407249783 12402075534 418667905533]
CENTRCYCFACT,DiagSum  ,A000166,[1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 2290792932]
CENTRCYCFACT,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CENTRCYCFACT,RowMax   ,A.....?,[3 20 210 2520 44100 866250 18858840 520059540 14980405440]
CENTRCYCFACT,Middle   ,A.....?,[2 6 130 924 26432 303660 11098780 177331440 7934927000 162831789120]
CENTRCYCFACT,Central  ,A.....?,[130 26432 11098780 7934927000 8637235647040 13306928148113600]
CENTRCYCFACT,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CENTRCYCFACT,RightSide,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
CENTRCYCFACT,PosHalf  ,A.....?,[7 79 1237 24817 607519 17560063 585330109 22104345409 932722154743]
CENTRCYCFACT,NegHalf  ,A001662,[-1 -1 13 -47 -73 2447 -16811 -15551 1726511 -18994849 10979677]
CENTRCYCFACT,BinConV  ,A.....?,[7 93 1821 47185 1522375 58808449 2646575953 135989069049]
CENTRCYCFACT,IBinConV ,A.....?,[-1 -27 -51 3505 40655 -828919 -29640527 145577529 27107045415]
CENTRCYCFACT,TransNat0,A.....?,[8 91 1334 23913 506652 12386183 343174882 10626452453 363678162088]
CENTRCYCFACT,TransNat1,A.....?,[13 132 1803 30802 630257 15006352 407249783 12402075534 418667905533]
CENTRCYCFACT,DiagRow0 ,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
CENTRCYCFACT,DiagRow1 ,A000906,[20 210 2520 34650 540540 9459450 183783600 3928374450 91662070500]
CENTRCYCFACT,DiagRow2 ,A000907,[130 2380 44100 866250 18288270 416215800 10199989800 268438920750]
CENTRCYCFACT,DiagRow3 ,A001784,[924 26432 705320 18858840 520059540 14980405440 453247114320]
CENTRCYCFACT,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CENTRCYCFACT,DiagCol1 ,A000142,[6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800]
CENTRCYCFACT,DiagCol2 ,A000276,[130 924 7308 64224 623376 6636960 76998240 967524480 13096736640]
CENTRCYCFACT,DiagCol3 ,A000483,[2380 26432 303660 3678840 47324376 647536032 9418945536 145410580224]
CENTRCYCFACT,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CENTRCYCFACT,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
CENTRCYCFACT,PolyRow2 ,A045944,[16 33 56 85 120 161 208 261 320 385 456 533 616 705 800 901 1008]
CENTRCYCFACT,PolyRow3 ,A.....?,[212 603 1304 2405 3996 6167 9008 12609 17060 22451 28872 36413 45164]
CENTRCYCFACT,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CENTRCYCFACT,PolyCol1 ,A032188,[5 41 469 6889 123605 2620169 64074901 1775623081 54989743445]
CENTRCYCFACT,PolyCol2 ,A.....?,[16 212 3928 93536 2721808 93593216 3713245504 166956801728]
CENTRCYCFACT,PolyCol3 ,A.....?,[33 603 15417 506691 20351601 966015531 52906036329 3283794968787]
CENTRCYCFACT,PolyDiag ,A.....?,[16 603 42496 4849325 817557840 191243348471 59305251856384]
central_cycle, 39 traits, 21 A-numbers, 53%
