Triangle,Trait,ANumber,Sequence
CENTRSETFACT,Triangle ,A269945,[1 0 1 1 0 1 5 1 0 1 21 14 1 0 1 85 147 30 1 0 1 341 1408 627 55 1 0]
CENTRSETFACT,Reverse  ,A.....?,[0 1 1 0 1 5 1 0 1 14 21 1 0 1 30 147 85 1 0 1 55 627 1408 341 1 0 1]
CENTRSETFACT,Inverse  ,A269944,[1 0 -1 1 0 4 -5 1 0 -36 49 -14 1 0 576 -820 273 -30 1 0 -14400 21076]
CENTRSETFACT,RevInv   ,A.....?,[0 1 -1 0 1 -5 4 0 1 -14 49 -36 0 1 -30 273 -820 576 0 1 -55 1023]
CENTRSETFACT,Sum      ,A135920,[2 7 37 264 2433 27913 386906 6346119 121159373 2655174768]
CENTRSETFACT,EvenSum  ,A.....?,[1 5 22 115 969 12896 206793 3528877 64056886 1297918107 30936365281]
CENTRSETFACT,OddSum   ,A.....?,[1 2 15 149 1464 15017 180113 2817242 57102487 1357256661 35092538352]
CENTRSETFACT,AltSum   ,A.....?,[0 3 7 -34 -495 -2121 26680 711635 6954399 -59338554 -4156173071]
CENTRSETFACT,AccSum   ,A.....?,[3 14 96 847 9335 125211 1991467 36918672 787155058 19074645427]
CENTRSETFACT,AccRevSum,A.....?,[3 14 96 847 9335 125211 1991467 36918672 787155058 19074645427]
CENTRSETFACT,RevAccSum,A.....?,[5 21 126 1001 10129 126006 1877593 32888637 666757418 15442626557]
CENTRSETFACT,DiagSum  ,A.....?,[1 1 2 6 23 100 490 2804 19103 151823 1357237 13334473 143393468]
CENTRSETFACT,RowGcd   ,A145737,[1 5 7 1 11 13 1 17 19 1 23 1 1 29 31 1 1 37]
CENTRSETFACT,RowMax   ,A.....?,[1 5 21 147 1408 13013 196053 3255330 53157079 1217854704 31306548900]
CENTRSETFACT,Middle   ,A.....?,[1 1 21 85 1408 13013 196053 3255330 46587905 1217854704 16875270660]
CENTRSETFACT,Central  ,A298851,[21 1408 196053 46587905 16875270660 8657594647800 5974284925007685]
CENTRSETFACT,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CENTRSETFACT,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CENTRSETFACT,PosHalf  ,A.....?,[3 15 121 1345 19371 351663 7791217 205355905 6332211795 225296019663]
CENTRSETFACT,NegHalf  ,A.....?,[-1 -5 49 -135 -3441 80899 -776287 -12602319 862026335 -23143053237]
CENTRSETFACT,BinConV  ,A.....?,[3 19 187 2476 43017 927207 24103963 740949940 26435241416]
CENTRSETFACT,IBinConV ,A.....?,[-1 -11 67 476 -13975 67803 3944843 -123221396 431500536 109045213608]
CENTRSETFACT,TransNat0,A.....?,[3 14 89 737 7696 98093 1490687 26542518 545598045 12787451789]
CENTRSETFACT,TransNat1,A.....?,[5 21 126 1001 10129 126006 1877593 32888637 666757418 15442626557]
CENTRSETFACT,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CENTRSETFACT,DiagRow1 ,A000330,[5 14 30 55 91 140 204 285 385 506 650 819 1015 1240 1496 1785 2109]
CENTRSETFACT,DiagRow2 ,A060493,[21 147 627 2002 5278 12138 25194 48279 86779 148005 241605 380016]
CENTRSETFACT,DiagRow3 ,A351105,[85 1408 11440 61490 251498 846260 2458676 6369275 15047175 32955780]
CENTRSETFACT,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CENTRSETFACT,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CENTRSETFACT,DiagCol2 ,A002450,[21 85 341 1365 5461 21845 87381 349525 1398101 5592405 22369621]
CENTRSETFACT,DiagCol3 ,A002451,[147 1408 13013 118482 1071799 9668036 87099705 784246870 7059619931]
CENTRSETFACT,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CENTRSETFACT,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
CENTRSETFACT,PolyRow2 ,A002378,[6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420]
CENTRSETFACT,PolyRow3 ,A.....?,[30 75 148 255 402 595 840 1143 1510 1947 2460 3055 3738 4515 5392]
CENTRSETFACT,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CENTRSETFACT,PolyCol1 ,A135920,[2 7 37 264 2433 27913 386906 6346119 121159373 2655174768]
CENTRSETFACT,PolyCol2 ,A.....?,[6 30 214 2030 24486 362622 6430198 133915022 3224320710 88610897694]
CENTRSETFACT,PolyCol3 ,A.....?,[12 75 651 7410 105969 1845291 38230932 925255515 25774036275]
CENTRSETFACT,PolyDiag ,A.....?,[6 75 1492 42380 1603338 77175007 4572924232 325372117815]
central_set, 41 traits, 20 A-numbers, 48%
