Triangle,Trait,ANumber,Sequence
CHEBYSHEVTPO,Triangle ,A053120,[1 -1 0 2 0 -3 0 4 1 0 -8 0 8 0 5 0 -20 0 16 -1 0 18 0 -48 0 32 0 -7]
CHEBYSHEVTPO,Reverse  ,A039991,[0 2 0 -1 4 0 -3 0 8 0 -8 0 1 16 0 -20 0 5 0 32 0 -48 0 18 0 -1 64 0]
CHEBYSHEVTPO,Sum      ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHEBYSHEVTPO,EvenSum  ,A000035,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
CHEBYSHEVTPO,OddSum   ,A000035,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
CHEBYSHEVTPO,AltSum   ,A000012,[1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1]
CHEBYSHEVTPO,AccSum   ,A028387,[-1 -5 -11 -19 -29 -41 -55 -71 -89 -109 -131 -155 -181 -209 -239 -271]
CHEBYSHEVTPO,AccRevSum,A028387,[-1 -5 -11 -19 -29 -41 -55 -71 -89 -109 -131 -155 -181 -209 -239 -271]
CHEBYSHEVTPO,RevAccSum,A002522,[5 10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362]
CHEBYSHEVTPO,DiagSum  ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CHEBYSHEVTPO,RowGcd   ,A.....?,[2 1 8 1 2 1 32 1 2 1 8 1 2 1 128 1 2 1]
CHEBYSHEVTPO,RowMax   ,A.....?,[2 4 8 16 32 64 160 432 1120 2816 6912 16640 39424 92160 212992]
CHEBYSHEVTPO,Middle   ,A.....?,[0 -3 -8 0 0 56 160 0 0 -1232 -3584 0 0 28800 84480 0 0 -695552]
CHEBYSHEVTPO,Central  ,A.....?,[-8 0 160 0 -3584 0 84480 0]
CHEBYSHEVTPO,LeftSide ,A000035,[-1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0]
CHEBYSHEVTPO,RightSide,A000079,[2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
CHEBYSHEVTPO,PosHalf  ,A104537,[-2 -8 -8 16 64 64 -128 -512 -512 1024 4096 4096 -8192 -32768 -32768]
CHEBYSHEVTPO,NegHalf  ,A104537,[-2 -8 -8 16 64 64 -128 -512 -512 1024 4096 4096 -8192 -32768 -32768]
CHEBYSHEVTPO,BinConV  ,A.....?,[1 -5 -39 -159 -419 -377 3265 23953 96361 242419 117417 -2625375]
CHEBYSHEVTPO,IBinConV ,A.....?,[1 -5 -39 -159 -419 -377 3265 23953 96361 242419 117417 -2625375]
CHEBYSHEVTPO,TransNat0,A000290,[4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 400]
CHEBYSHEVTPO,TransNat1,A002522,[5 10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362 401]
CHEBYSHEVTPO,DiagRow0 ,A000079,[2 4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
CHEBYSHEVTPO,DiagRow1 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CHEBYSHEVTPO,DiagRow2 ,A001792,[-8 -20 -48 -112 -256 -576 -1280 -2816 -6144 -13312 -28672 -61440]
CHEBYSHEVTPO,DiagRow3 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CHEBYSHEVTPO,DiagCol0 ,A000035,[-1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0]
CHEBYSHEVTPO,DiagCol1 ,A193356,[-3 0 5 0 -7 0 9 0 -11 0 13 0 -15 0 17 0 -19 0 21 0 -23 0 25 0 -27 0]
CHEBYSHEVTPO,DiagCol2 ,A.....?,[-8 0 18 0 -32 0 50 0 -72 0 98 0 -128 0 162 0 -200 0 242 0 -288 0 338]
CHEBYSHEVTPO,DiagCol3 ,A.....?,[-20 0 56 0 -120 0 220 0 -364 0 560 0 -816 0 1140 0 -1540 0 2024 0]
CHEBYSHEVTPO,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHEBYSHEVTPO,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
CHEBYSHEVTPO,PolyRow2 ,A056220,[7 17 31 49 71 97 127 161 199 241 287 337 391 449 511 577 647 721 799]
CHEBYSHEVTPO,PolyRow3 ,A144129,[26 99 244 485 846 1351 2024 2889 3970 5291 6876 8749 10934 13455]
CHEBYSHEVTPO,PolyCol0 ,A000035,[-1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0]
CHEBYSHEVTPO,PolyCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHEBYSHEVTPO,PolyCol2 ,A001075,[7 26 97 362 1351 5042 18817 70226 262087 978122 3650401 13623482]
CHEBYSHEVTPO,PolyCol3 ,A001541,[17 99 577 3363 19601 114243 665857 3880899 22619537 131836323]
CHEBYSHEVTPO,PolyDiag ,A115066,[7 99 1921 47525 1431431 50843527 2081028097 96450076809]
chebyshevT, 39 traits, 31 A-numbers, 79%
