Triangle,Trait,ANumber,Sequence
CHEBYSHEVUPO,Triangle ,A053117,[2 -1 0 4 0 -4 0 8 1 0 -12 0 16 0 6 0 -32 0 32 -1 0 24 0 -80 0 64 0]
CHEBYSHEVUPO,Reverse  ,A053118,[0 4 0 -1 8 0 -4 0 16 0 -12 0 1 32 0 -32 0 6 0 64 0 -80 0 24 0 -1 128]
CHEBYSHEVUPO,Sum      ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20]
CHEBYSHEVUPO,EvenSum  ,A193356,[3 0 5 0 7 0 9 0 11 0 13 0 15 0 17 0 19 0]
CHEBYSHEVUPO,OddSum   ,A237420,[0 4 0 6 0 8 0 10 0 12 0 14 0 16 0 18 0 20]
CHEBYSHEVUPO,AltSum   ,A000027,[3 -4 5 -6 7 -8 9 -10 11 -12 13 -14 15 -16 17 -18 19 -20]
CHEBYSHEVUPO,AccSum   ,A.....?,[1 -4 -15 -34 -63 -104 -159 -230 -319 -428 -559 -714 -895 -1104 -1343]
CHEBYSHEVUPO,AccRevSum,A.....?,[1 -4 -15 -34 -63 -104 -159 -230 -319 -428 -559 -714 -895 -1104 -1343]
CHEBYSHEVUPO,RevAccSum,A006527,[11 24 45 76 119 176 249 340 451 584 741 924 1135 1376 1649 1956 2299]
CHEBYSHEVUPO,DiagSum  ,A000035,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
CHEBYSHEVUPO,RowGcd   ,A.....?,[4 4 4 2 8 8 8 2 4 4 4 2 16 16 16 2 4 4]
CHEBYSHEVUPO,RowMax   ,A.....?,[4 8 16 32 64 128 256 672 1792 4608 11520 28160 67584 159744 372736]
CHEBYSHEVUPO,Middle   ,A.....?,[0 -4 -12 0 0 80 240 0 0 -1792 -5376 0 0 42240 126720 0 0 -1025024]
CHEBYSHEVUPO,Central  ,A.....?,[-12 0 240 0 -5376 0 126720 0]
CHEBYSHEVUPO,LeftSide ,A000035,[-1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0]
CHEBYSHEVUPO,RightSide,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
CHEBYSHEVUPO,PosHalf  ,A088138,[0 -8 -16 0 64 128 0 -512 -1024 0 4096 8192 0 -32768 -65536 0 262144]
CHEBYSHEVUPO,NegHalf  ,A088138,[0 -8 -16 0 64 128 0 -512 -1024 0 4096 8192 0 -32768 -65536 0 262144]
CHEBYSHEVUPO,BinConV  ,A.....?,[3 -4 -55 -258 -777 -1160 3393 34970 158763 459252 544505 -3070858]
CHEBYSHEVUPO,IBinConV ,A.....?,[3 -4 -55 -258 -777 -1160 3393 34970 158763 459252 544505 -3070858]
CHEBYSHEVUPO,TransNat0,A007290,[8 20 40 70 112 168 240 330 440 572 728 910 1120 1360 1632 1938 2280]
CHEBYSHEVUPO,TransNat1,A006527,[11 24 45 76 119 176 249 340 451 584 741 924 1135 1376 1649 1956 2299]
CHEBYSHEVUPO,DiagRow0 ,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
CHEBYSHEVUPO,DiagRow1 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CHEBYSHEVUPO,DiagRow2 ,A001787,[-12 -32 -80 -192 -448 -1024 -2304 -5120 -11264 -24576 -53248 -114688]
CHEBYSHEVUPO,DiagRow3 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
CHEBYSHEVUPO,DiagCol0 ,A000035,[-1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0 1 0 -1 0]
CHEBYSHEVUPO,DiagCol1 ,A237420,[-4 0 6 0 -8 0 10 0 -12 0 14 0 -16 0 18 0 -20 0 22 0 -24 0 26 0 -28 0]
