Triangle,Trait,ANumber,Sequence
CHRISMASTREE,Triangle ,A106465,[1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1]
CHRISMASTREE,Reverse  ,A106465,[1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1]
CHRISMASTREE,Inverse  ,A106467,[1 -1 0 1 1 -1 -1 1 0 0 -1 0 1 0 0 1 -1 -1 1 0 0 0 0 -1 0 1 0 0 0 0 1]
CHRISMASTREE,RevInv   ,A.....?,[-1 1 0 -1 1 -1 -1 1 1 0 -1 0 0 1 -1 -1 1 0 0 1 0 -1 0 0 0 0 1 -1 -1]
CHRISMASTREE,InvRev   ,A106467,[1 -1 0 1 1 -1 -1 1 0 0 -1 0 1 0 0 1 -1 -1 1 0 0 0 0 -1 0 1 0 0 0 0 1]
CHRISMASTREE,Sum      ,A029578,[2 4 3 6 4 8 5 10 6 12 7 14 8 16 9 18 10 20]
CHRISMASTREE,EvenSum  ,A001057,[2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10]
CHRISMASTREE,OddSum   ,A027656,[0 2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10]
CHRISMASTREE,AltSum   ,A027656,[2 0 3 0 4 0 5 0 6 0 7 0 8 0 9 0 10 0]
CHRISMASTREE,AccSum   ,A.....?,[4 10 9 21 16 36 25 55 36 78 49 105 64 136 81 171 100 210]
CHRISMASTREE,AccRevSum,A.....?,[4 10 9 21 16 36 25 55 36 78 49 105 64 136 81 171 100 210]
CHRISMASTREE,RevAccSum,A.....?,[4 10 9 21 16 36 25 55 36 78 49 105 64 136 81 171 100 210]
CHRISMASTREE,DiagSum  ,A106466,[2 1 3 2 4 2 5 3 6 3 7 4 8 4 9 5 10]
CHRISMASTREE,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHRISMASTREE,RowMax   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHRISMASTREE,Middle   ,A011728,[0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1]
CHRISMASTREE,Central  ,A000035,[1 0 1 0 1 0 1 0]
CHRISMASTREE,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHRISMASTREE,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHRISMASTREE,PosHalf  ,A.....?,[5 15 21 63 85 255 341 1023 1365 4095 5461 16383 21845 65535 87381]
CHRISMASTREE,NegHalf  ,A052992,[5 -5 21 -21 85 -85 341 -341 1365 -1365 5461 -5461 21845 -21845 87381]
CHRISMASTREE,BinConV  ,A158302,[2 8 8 32 32 128 128 512 512 2048 2048 8192 8192 32768 32768 131072]
CHRISMASTREE,IBinConV ,A103424,[2 0 8 0 32 0 128 0 512 0 2048 0 8192 0 32768 0 131072 0 524288 0]
CHRISMASTREE,TransNat0,A056136,[2 6 6 15 12 28 20 45 30 66 42 91 56 120 72 153 90 190 110 231 132]
CHRISMASTREE,TransNat1,A.....?,[4 10 9 21 16 36 25 55 36 78 49 105 64 136 81 171 100 210 121 253 144]
CHRISMASTREE,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHRISMASTREE,DiagRow1 ,A000035,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
CHRISMASTREE,DiagRow2 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHRISMASTREE,DiagRow3 ,A000035,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
CHRISMASTREE,DiagCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
CHRISMASTREE,DiagCol1 ,A000035,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
