Triangle,Trait,ANumber,Sequence
EULERSECANTO,Triangle ,A119879,[1 -1 0 1 0 -3 0 1 5 0 -6 0 1 0 25 0 -10 0 1 -61 0 75 0 -15 0 1 0]
EULERSECANTO,Reverse  ,A.....?,[0 1 0 -1 1 0 -3 0 1 0 -6 0 5 1 0 -10 0 25 0 1 0 -15 0 75 0 -61 1 0]
EULERSECANTO,Inverse  ,A119467,[1 1 0 1 0 3 0 1 1 0 6 0 1 0 5 0 10 0 1 1 0 15 0 15 0 1 0 7 0 35 0 21]
EULERSECANTO,RevInv   ,A141665,[0 1 0 1 1 0 3 0 1 0 6 0 1 1 0 10 0 5 0 1 0 15 0 15 0 1 1 0 21 0 35 0]
EULERSECANTO,Sum      ,A009006,[0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0]
EULERSECANTO,EvenSum  ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERSECANTO,OddSum   ,A009006,[0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0]
EULERSECANTO,AltSum   ,A009006,[0 2 0 -16 0 272 0 -7936 0 353792 0 -22368256 0 1903757312 0]
EULERSECANTO,AccSum   ,A.....?,[-2 -8 8 96 -96 -2176 2176 79360 -79360 -4245504 4245504 313155584]
EULERSECANTO,AccRevSum,A.....?,[-2 -8 8 96 -96 -2176 2176 79360 -79360 -4245504 4245504 313155584]
EULERSECANTO,RevAccSum,A009725,[2 -2 -8 16 96 -272 -2176 7936 79360 -353792 -4245504 22368256]
EULERSECANTO,DiagSum  ,A.....?,[0 0 3 0 -41 0 1024 0 -39603 0 2204565 0 -167343104 0 16633258447 0]
EULERSECANTO,RowGcd   ,A155457,[1 -3 1 5 1 7 1 3 1 11 1 13 1 1 1 17 1 19]
EULERSECANTO,RowMax   ,A.....?,[1 1 5 25 75 175 1385 12465 62325 228525 2702765 35135945 245951615]
EULERSECANTO,Middle   ,A.....?,[0 -3 -6 0 0 175 350 0 0 -28182 -56364 0 0 8912475 17824950 0 0]
EULERSECANTO,Central  ,A.....?,[-6 0 350 0 -56364 0 17824950 0]
EULERSECANTO,LeftSide ,A122045,[-1 0 5 0 -61 0 1385 0 -50521 0 2702765 0 -199360981 0 19391512145 0]
EULERSECANTO,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERSECANTO,PosHalf  ,A001586,[-3 -11 57 361 -2763 -24611 250737 2873041 -36581523 -512343611]
EULERSECANTO,NegHalf  ,A001586,[-3 -11 57 361 -2763 -24611 250737 2873041 -36581523 -512343611]
EULERSECANTO,BinConV  ,A.....?,[0 -8 -30 26 840 2696 -22722 -240146 282480 19114976 71133348]
EULERSECANTO,IBinConV ,A.....?,[0 -8 -30 26 840 2696 -22722 -240146 282480 19114976 71133348]
EULERSECANTO,TransNat0,A109573,[2 0 -8 0 96 0 -2176 0 79360 0 -4245504 0 313155584 0 -30460116992 0]
EULERSECANTO,TransNat1,A009725,[2 -2 -8 16 96 -272 -2176 7936 79360 -353792 -4245504 22368256]
EULERSECANTO,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERSECANTO,DiagRow1 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERSECANTO,DiagRow2 ,A000217,[-6 -10 -15 -21 -28 -36 -45 -55 -66 -78 -91 -105 -120 -136 -153 -171]
EULERSECANTO,DiagRow3 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERSECANTO,DiagCol0 ,A122045,[-1 0 5 0 -61 0 1385 0 -50521 0 2702765 0 -199360981 0 19391512145 0]
EULERSECANTO,DiagCol1 ,A.....?,[-3 0 25 0 -427 0 12465 0 -555731 0 35135945 0 -2990414715 0]
EULERSECANTO,DiagCol2 ,A.....?,[-6 0 75 0 -1708 0 62325 0 -3334386 0 245951615 0 -23923317720 0]
EULERSECANTO,DiagCol3 ,A.....?,[-10 0 175 0 -5124 0 228525 0 -14449006 0 1229758075 0 -135565467080]
EULERSECANTO,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERSECANTO,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
EULERSECANTO,PolyRow2 ,A005563,[3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 440]
EULERSECANTO,PolyRow3 ,A058794,[2 18 52 110 198 322 488 702 970 1298 1692 2158 2702 3330 4048 4862]
