Triangle,Trait,ANumber,Sequence
EULERTANGENT,Triangle ,A162660,[0 0 2 0 -2 0 3 0 0 -8 0 4 0 16 0 -20 0 5 0 0 96 0 -40 0 6 0 -272 0]
EULERTANGENT,Reverse  ,A.....?,[1 0 2 0 0 3 0 -2 0 4 0 -8 0 0 5 0 -20 0 16 0 6 0 -40 0 96 0 0 7 0]
EULERTANGENT,Sum      ,A009832,[2 1 -4 1 62 1 -1384 1 50522 1 -2702764 1 199360982 1 -19391512144 1]
EULERTANGENT,EvenSum  ,A000035,[0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1]
EULERTANGENT,OddSum   ,A.....?,[2 0 -4 0 62 0 -1384 0 50522 0 -2702764 0 199360982 0 -19391512144 0]
EULERTANGENT,AltSum   ,A009832,[-2 1 4 1 -62 1 1384 1 -50522 1 2702764 1 -199360982 1 19391512144 1]
EULERTANGENT,AccSum   ,A.....?,[4 -2 -24 26 428 -426 -12464 12466 555732 -555730 -35135944 35135946]
EULERTANGENT,AccRevSum,A.....?,[4 -2 -24 26 428 -426 -12464 12466 555732 -555730 -35135944 35135946]
EULERTANGENT,RevAccSum,A.....?,[4 7 0 -19 68 435 -1376 -12455 50532 555743 -2702752 -35135931]
EULERTANGENT,DiagSum  ,A.....?,[0 0 0 11 0 -192 0 6061 0 -283392 0 18528503 0 -1616537472 0]
EULERTANGENT,RowGcd   ,A006519,[2 1 4 1 2 1 8 1 2 1 4 1 2 1 16 1 2 1]
EULERTANGENT,RowMax   ,A.....?,[2 3 4 16 96 336 896 7936 79360 436480 1745920 22368256 313155584]
EULERTANGENT,Middle   ,A.....?,[2 0 0 -20 -40 0 0 2016 4032 0 0 -466752 -933504 0 0 192924160]
EULERTANGENT,Central  ,A214447,[0 -40 0 4032 0 -933504 0 385848320]
EULERTANGENT,LeftSide ,A009006,[0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0]
EULERTANGENT,RightSide,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERTANGENT,PosHalf  ,A326325,[4 -10 -56 362 2764 -24610 -250736 2873042 36581524 -512343610]
EULERTANGENT,NegHalf  ,A326325,[-4 10 56 -362 -2764 24610 250736 -2873042 -36581524 512343610]
EULERTANGENT,BinConV  ,A.....?,[4 7 -16 -159 -188 4383 26560 -104591 -2135836 -2607417 172480112]
EULERTANGENT,IBinConV ,A.....?,[-4 -7 16 159 188 -4383 -26560 104591 2135836 2607417 -172480112]
EULERTANGENT,TransNat0,A.....?,[2 6 4 -20 6 434 8 -12456 10 555742 12 -35135932 14 2990414730 16]
EULERTANGENT,TransNat1,A.....?,[4 7 0 -19 68 435 -1376 -12455 50532 555743 -2702752 -35135931]
EULERTANGENT,DiagRow0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERTANGENT,DiagRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
EULERTANGENT,DiagRow2 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERTANGENT,DiagRow3 ,A007290,[-20 -40 -70 -112 -168 -240 -330 -440 -572 -728 -910 -1120 -1360]
EULERTANGENT,DiagCol0 ,A009006,[0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0]
EULERTANGENT,DiagCol1 ,A109573,[0 -8 0 96 0 -2176 0 79360 0 -4245504 0 313155584 0 -30460116992 0]
EULERTANGENT,DiagCol2 ,A.....?,[0 -20 0 336 0 -9792 0 436480 0 -27595776 0 2348666880 0]
EULERTANGENT,DiagCol3 ,A.....?,[0 -40 0 896 0 -32640 0 1745920 0 -128780288 0 12526223360 0]
EULERTANGENT,PolyRow0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERTANGENT,PolyRow1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERTANGENT,PolyRow2 ,A004271,[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50]
EULERTANGENT,PolyRow3 ,A100536,[10 25 46 73 106 145 190 241 298 361 430 505 586 673 766 865 970 1081]
EULERTANGENT,PolyCol0 ,A009006,[0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0]
EULERTANGENT,PolyCol1 ,A009832,[2 1 -4 1 62 1 -1384 1 50522 1 -2702764 1 199360982 1 -19391512144 1]
EULERTANGENT,PolyCol2 ,A.....?,[4 10 16 16 64 400 256 -7424 1024 355840 4096 -22360064 16384]
EULERTANGENT,PolyCol3 ,A.....?,[6 25 84 241 666 2185 7944 19681 8526 177145 3234204 1594321]
EULERTANGENT,PolyDiag ,A302587,[4 25 224 2641 38592 671665 13548544 310580161 7971353600]
euler_tan, 39 traits, 23 A-numbers, 58%
