Triangle,Trait,ANumber,Sequence
EULERIANORD2,Triangle ,A201637,[1 0 1 2 0 1 8 6 0 1 22 58 24 0 1 52 328 444 120 0 1 114 1452 4400]
EULERIANORD2,Reverse  ,A163936,[0 2 1 0 6 8 1 0 24 58 22 1 0 120 444 328 52 1 0 720 3708 4400 1452]
EULERIANORD2,Sum      ,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
EULERIANORD2,EvenSum  ,A.....?,[2 8 46 496 5234 66344 1021918 17237488 326501282 6884152712]
EULERIANORD2,OddSum   ,A.....?,[1 7 59 449 5161 68791 1005107 17221937 328227793 6865157863]
EULERIANORD2,AltSum   ,A001662,[1 1 -13 47 73 -2447 16811 15551 -1726511 18994849 -10979677]
EULERIANORD2,AccSum   ,A261898,[4 25 210 2205 27720 405405 6756750 126351225 2618916300 59580345825]
EULERIANORD2,AccRevSum,A261898,[4 25 210 2205 27720 405405 6756750 126351225 2618916300 59580345825]
EULERIANORD2,RevAccSum,A.....?,[8 50 420 4410 55440 810810 13513500 252702450 5237832600]
EULERIANORD2,DiagSum  ,A.....?,[1 1 3 9 29 111 467 2137 10625 56783 323947 1963425 12585209 84977087]
EULERIANORD2,RowGcd   ,A.....?,[2 2 2 4 2 2 2 4 2 2 2 4 2 2 2 4 2 2]
EULERIANORD2,RowMax   ,A007347,[2 8 58 444 4400 58140 785304 12440064 238904904 4642163952]
EULERIANORD2,Middle   ,A.....?,[1 1 22 52 1452 5610 195800 1062500 44765000 314369720 15548960784]
EULERIANORD2,Central  ,A.....?,[22 1452 195800 44765000 15548960784 7634832149392 5036317938475648]
EULERIANORD2,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERIANORD2,RightSide,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
EULERIANORD2,PosHalf  ,A000311,[4 26 236 2752 39208 660032 12818912 282137824 6939897856]
EULERIANORD2,NegHalf  ,A341106,[0 -6 -12 144 1080 -5184 -127008 -95904 19077120 154929024]
EULERIANORD2,BinConV  ,A.....?,[4 33 392 6145 119724 2789465 75660080 2341894185 81464695900]
EULERIANORD2,IBinConV ,A.....?,[0 -15 -80 665 17136 55209 -4162752 -83069415 626654600 62101020553]
EULERIANORD2,TransNat0,A051577,[5 35 315 3465 45045 675675 11486475 218243025 4583103525]
EULERIANORD2,TransNat1,A.....?,[8 50 420 4410 55440 810810 13513500 252702450 5237832600]
EULERIANORD2,DiagRow0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
EULERIANORD2,DiagRow1 ,A002538,[8 58 444 3708 33984 341136 3733920 44339040 568356480 7827719040]
EULERIANORD2,DiagRow2 ,A002539,[22 328 4400 58140 785304 11026296 162186912 2507481216 40788301824]
EULERIANORD2,DiagRow3 ,A112008,[52 1452 32120 644020 12440064 238904904 4642163952 92199790224]
EULERIANORD2,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERIANORD2,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERIANORD2,DiagCol2 ,A005803,[22 52 114 240 494 1004 2026 4072 8166 16356 32738 65504 131038]
EULERIANORD2,DiagCol3 ,A004301,[328 1452 5610 19950 67260 218848 695038 2170626 6699696 20507988]
EULERIANORD2,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERIANORD2,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
EULERIANORD2,PolyRow2 ,A014105,[10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 741]
EULERIANORD2,PolyRow3 ,A.....?,[82 237 516 955 1590 2457 3592 5031 6810 8965 11532 14547 18046 22065]
EULERIANORD2,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
EULERIANORD2,PolyCol1 ,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
EULERIANORD2,PolyCol2 ,A032034,[10 82 938 13778 247210 5240338 128149802 3551246162 109979486890]
EULERIANORD2,PolyCol3 ,A.....?,[21 237 3711 74451 1822557 52680189 1755990327 66313036227]
EULERIANORD2,PolyDiag ,A.....?,[10 237 10212 694805 68445870 9205055433 1619649615752]
eulerian2, 39 traits, 26 A-numbers, 66%
