Triangle,Trait,ANumber,Sequence
EULERIANTYPB,Triangle ,A060187,[1 1 6 1 1 23 23 1 1 76 230 76 1 1 237 1682 1682 237 1 1 722 10543]
EULERIANTYPB,Reverse  ,A060187,[1 1 6 1 1 23 23 1 1 76 230 76 1 1 237 1682 1682 237 1 1 722 10543]
EULERIANTYPB,Inverse  ,A171273,[1 5 -6 1 -93 115 -23 1 5993 -7436 1518 -76 1 -1272089 1578757]
EULERIANTYPB,RevInv   ,A.....?,[-1 1 -6 5 1 -23 115 -93 1 -76 1518 -7436 5993 1 -237 16330 -322762]
EULERIANTYPB,InvRev   ,A171273,[1 5 -6 1 -93 115 -23 1 5993 -7436 1518 -76 1 -1272089 1578757]
EULERIANTYPB,Sum      ,A000165,[8 48 384 3840 46080 645120 10321920 185794560 3715891200 81749606400]
EULERIANTYPB,EvenSum  ,A.....?,[2 24 232 1920 21088 322560 5338240 92897280 1832078848 40874803200]
EULERIANTYPB,OddSum   ,A.....?,[6 24 152 1920 24992 322560 4983680 92897280 1883812352 40874803200]
EULERIANTYPB,AltSum   ,A.....?,[-4 0 80 0 -3904 0 354560 0 -51733504 0 11070525440 0 -3266330312704]
EULERIANTYPB,AccSum   ,A187735,[16 120 1152 13440 184320 2903040 51609600 1021870080 22295347200]
EULERIANTYPB,AccRevSum,A187735,[16 120 1152 13440 184320 2903040 51609600 1021870080 22295347200]
EULERIANTYPB,RevAccSum,A187735,[16 120 1152 13440 184320 2903040 51609600 1021870080 22295347200]
EULERIANTYPB,DiagSum  ,A178118,[2 7 25 100 469 2481 14406 90995 621553 4561112 35736921 297435521]
EULERIANTYPB,RowGcd   ,A.....?,[6 23 2 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1]
EULERIANTYPB,RowMax   ,A154420,[6 23 230 1682 23548 259723 4675014 69413294 1527092468 28588019814]
EULERIANTYPB,Middle   ,A154420,[6 23 230 1682 23548 259723 4675014 69413294 1527092468 28588019814]
EULERIANTYPB,Central  ,A177043,[230 23548 4675014 1527092468 743288515164 504541774904760]
EULERIANTYPB,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERIANTYPB,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERIANTYPB,PosHalf  ,A080253,[17 147 1697 24483 423857 8560947 197613377 5131725123 148070287697]
EULERIANTYPB,NegHalf  ,A.....?,[-7 39 177 -3441 -2007 514359 -2913183 -107756001 1777832793]
EULERIANTYPB,BinConV  ,A.....?,[14 140 1990 36012 795916 20758712 624278342 21265899980 809348930788]
EULERIANTYPB,IBinConV ,A.....?,[-10 0 774 0 -163332 0 67364166 0 -45892468524 0 46687337311900 0]
EULERIANTYPB,TransNat0,A014479,[8 72 768 9600 138240 2257920 41287680 836075520 18579456000]
EULERIANTYPB,TransNat1,A187735,[16 120 1152 13440 184320 2903040 51609600 1021870080 22295347200]
EULERIANTYPB,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERIANTYPB,DiagRow1 ,A060188,[23 76 237 722 2179 6552 19673 59038 177135 531428 1594309 4782954]
EULERIANTYPB,DiagRow2 ,A060189,[230 1682 10543 60657 331612 1756340 9116141 46702427 237231970]
EULERIANTYPB,DiagRow3 ,A060190,[1682 23548 259723 2485288 21707972 178300904 1403080725 10708911188]
EULERIANTYPB,DiagCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERIANTYPB,DiagCol1 ,A060188,[23 76 237 722 2179 6552 19673 59038 177135 531428 1594309 4782954]
EULERIANTYPB,DiagCol2 ,A060189,[230 1682 10543 60657 331612 1756340 9116141 46702427 237231970]
EULERIANTYPB,DiagCol3 ,A060190,[1682 23548 259723 2485288 21707972 178300904 1403080725 10708911188]
EULERIANTYPB,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERIANTYPB,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
EULERIANTYPB,PolyRow2 ,A028884,[17 28 41 56 73 92 113 136 161 188 217 248 281 316 353 392 433 476]
EULERIANTYPB,PolyRow3 ,A.....?,[147 304 525 816 1183 1632 2169 2800 3531 4368 5317 6384 7575 8896]
EULERIANTYPB,PolyCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
EULERIANTYPB,PolyCol1 ,A000165,[8 48 384 3840 46080 645120 10321920 185794560 3715891200 81749606400]
EULERIANTYPB,PolyCol2 ,A080253,[17 147 1697 24483 423857 8560947 197613377 5131725123 148070287697]
EULERIANTYPB,PolyCol3 ,A.....?,[28 304 4432 80704 1763008 44932864 1308788992 42887209984]
EULERIANTYPB,PolyDiag ,A.....?,[17 304 9105 404736 24794905 1992310272 202567930817 25354445455360]
eulerianB, 42 traits, 31 A-numbers, 73%
