Triangle,Trait,ANumber,Sequence
FALFACTORIAL,Triangle ,A008279,[1 1 2 2 1 3 6 6 1 4 12 24 24 1 5 20 60 120 120 1 6 30 120 360 720]
FALFACTORIAL,Reverse  ,A094587,[1 2 2 1 6 6 3 1 24 24 12 4 1 120 120 60 20 5 1 720 720 360 120 30 6]
FALFACTORIAL,InvRev   ,A128229,[1 0 -2 1 0 0 -3 1 0 0 0 -4 1 0 0 0 0 -5 1 0 0 0 0 0 -6 1 0 0 0 0 0 0]
FALFACTORIAL,Sum      ,A000522,[5 16 65 326 1957 13700 109601 986410 9864101 108505112 1302061345]
FALFACTORIAL,EvenSum  ,A087208,[3 7 37 141 1111 5923 62217 426457 5599531 46910271 739138093]
FALFACTORIAL,OddSum   ,A002747,[2 9 28 185 846 7777 47384 559953 4264570 61594841 562923252]
FALFACTORIAL,AltSum   ,A000166,[1 -2 9 -44 265 -1854 14833 -133496 1334961 -14684570 176214841]
FALFACTORIAL,AccSum   ,A111063,[9 31 129 651 3913 27399 219201 1972819 19728201 217010223 2604122689]
FALFACTORIAL,AccRevSum,A111063,[9 31 129 651 3913 27399 219201 1972819 19728201 217010223 2604122689]
FALFACTORIAL,RevAccSum,A001339,[11 49 261 1631 11743 95901 876809 8877691 98641011 1193556233]
FALFACTORIAL,DiagSum  ,A072374,[2 3 6 11 24 51 122 291 756 1979 5526 15627 46496 140451 442194]
FALFACTORIAL,RowGcd   ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19]
FALFACTORIAL,RowMax   ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
FALFACTORIAL,Middle   ,A205825,[2 3 12 20 120 210 1680 3024 30240 55440 665280 1235520 17297280]
FALFACTORIAL,Central  ,A001813,[12 120 1680 30240 665280 17297280 518918400 17643225600]
FALFACTORIAL,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
FALFACTORIAL,RightSide,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
FALFACTORIAL,PosHalf  ,A010842,[10 38 168 872 5296 37200 297856 2681216 26813184 294947072]
FALFACTORIAL,NegHalf  ,A000023,[2 -2 8 8 112 656 5504 49024 491264 5401856 64826368 842734592]
FALFACTORIAL,BinConV  ,A002720,[7 34 209 1546 13327 130922 1441729 17572114 234662231 3405357682]
FALFACTORIAL,IBinConV ,A009940,[-1 -4 -15 -56 -185 -204 6209 112400 1520271 19165420 237686449]
FALFACTORIAL,TransNat0,A093964,[6 33 196 1305 9786 82201 767208 7891281 88776910 1085051121]
FALFACTORIAL,TransNat1,A001339,[11 49 261 1631 11743 95901 876809 8877691 98641011 1193556233]
FALFACTORIAL,DiagRow0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
FALFACTORIAL,DiagRow1 ,A000142,[6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800]
FALFACTORIAL,DiagRow2 ,A001710,[12 60 360 2520 20160 181440 1814400 19958400 239500800 3113510400]
FALFACTORIAL,DiagRow3 ,A001715,[20 120 840 6720 60480 604800 6652800 79833600 1037836800 14529715200]
FALFACTORIAL,DiagCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
FALFACTORIAL,DiagCol1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
FALFACTORIAL,DiagCol2 ,A002378,[12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420 462]
FALFACTORIAL,DiagCol3 ,A007531,[60 120 210 336 504 720 990 1320 1716 2184 2730 3360 4080 4896 5814]
FALFACTORIAL,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
FALFACTORIAL,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
FALFACTORIAL,PolyRow2 ,A001844,[13 25 41 61 85 113 145 181 221 265 313 365 421 481 545 613 685 761]
FALFACTORIAL,PolyRow3 ,A.....?,[79 226 493 916 1531 2374 3481 4888 6631 8746 11269 14236 17683 21646]
FALFACTORIAL,PolyCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
FALFACTORIAL,PolyCol1 ,A000522,[5 16 65 326 1957 13700 109601 986410 9864101 108505112 1302061345]
FALFACTORIAL,PolyCol2 ,A010844,[13 79 633 6331 75973 1063623 17017969 306323443 6126468861]
FALFACTORIAL,PolyCol3 ,A010845,[25 226 2713 40696 732529 15383110 369194641 9968255308 299047659241]
FALFACTORIAL,PolyDiag ,A277452,[13 226 7889 458026 39684637 4788052298 766526598721 157108817646514]
falling_factorial, 40 traits, 39 A-numbers, 97%
