Triangle,Trait,ANumber,Sequence
GAUSSQ2COEFF,Triangle ,A022166,[1 1 3 1 1 7 7 1 1 15 35 15 1 1 31 155 155 31 1 1 63 651 1395 651 63]
GAUSSQ2COEFF,Reverse  ,A022166,[1 1 3 1 1 7 7 1 1 15 35 15 1 1 31 155 155 31 1 1 63 651 1395 651 63]
GAUSSQ2COEFF,Inverse  ,A135950,[1 2 -3 1 -8 14 -7 1 64 -120 70 -15 1 -1024 1984 -1240 310 -31 1]
GAUSSQ2COEFF,RevInv   ,A158474,[-1 1 -3 2 1 -7 14 -8 1 -15 70 -120 64 1 -31 310 -1240 1984 -1024 1]
GAUSSQ2COEFF,InvRev   ,A135950,[1 2 -3 1 -8 14 -7 1 64 -120 70 -15 1 -1024 1984 -1240 310 -31 1]
GAUSSQ2COEFF,Sum      ,A006116,[5 16 67 374 2825 29212 417199 8283458 229755605 8933488744]
GAUSSQ2COEFF,EvenSum  ,A289541,[2 8 37 187 1304 14606 222379 4141729 107836478 4466744372]
GAUSSQ2COEFF,OddSum   ,A.....?,[3 8 30 187 1521 14606 194820 4141729 121919127 4466744372]
GAUSSQ2COEFF,AltSum   ,A.....?,[-1 0 7 0 -217 0 27559 0 -14082649 0 28827182503 0 -236123451882073 0]
GAUSSQ2COEFF,AccSum   ,A.....?,[10 40 201 1309 11300 131454 2085995 45559019 1378533630 58067676836]
GAUSSQ2COEFF,AccRevSum,A.....?,[10 40 201 1309 11300 131454 2085995 45559019 1378533630 58067676836]
GAUSSQ2COEFF,RevAccSum,A.....?,[10 40 201 1309 11300 131454 2085995 45559019 1378533630 58067676836]
GAUSSQ2COEFF,DiagSum  ,A.....?,[2 4 9 23 68 234 935 4349 23770 153488 1167789 10456867 110822848]
GAUSSQ2COEFF,RowGcd   ,A019320,[3 7 5 31 3 127 17 73 11 2047 13 8191 43 151 257 131071 57 524287]
GAUSSQ2COEFF,RowMax   ,A006099,[3 7 35 155 1395 11811 200787 3309747 109221651 3548836819]
GAUSSQ2COEFF,Middle   ,A006099,[3 7 35 155 1395 11811 200787 3309747 109221651 3548836819]
GAUSSQ2COEFF,Central  ,A006098,[35 1395 200787 109221651 230674393235 1919209135381395]
GAUSSQ2COEFF,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
GAUSSQ2COEFF,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
GAUSSQ2COEFF,PosHalf  ,A182176,[11 51 307 2451 26387 387987 7866259 221472147 8703733139]
GAUSSQ2COEFF,NegHalf  ,A.....?,[-1 7 7 -217 -217 27559 27559 -14082649 -14082649 28827182503]
GAUSSQ2COEFF,BinConV  ,A.....?,[8 44 332 3412 48188 940564 25545052 969582644 51635485244]
GAUSSQ2COEFF,IBinConV ,A.....?,[-4 0 92 0 -9124 0 3774172 0 -6459170980 0 45480123143132 0]
GAUSSQ2COEFF,TransNat0,A.....?,[5 24 134 935 8475 102242 1668796 37275561 1148778025 49134188092]
GAUSSQ2COEFF,TransNat1,A.....?,[10 40 201 1309 11300 131454 2085995 45559019 1378533630 58067676836]
GAUSSQ2COEFF,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
GAUSSQ2COEFF,DiagRow1 ,A000225,[7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 131071]
GAUSSQ2COEFF,DiagRow2 ,A006095,[35 155 651 2667 10795 43435 174251 698027 2794155 11180715 44731051]
GAUSSQ2COEFF,DiagRow3 ,A006096,[155 1395 11811 97155 788035 6347715 50955971 408345795 3269560515]
GAUSSQ2COEFF,DiagCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
GAUSSQ2COEFF,DiagCol1 ,A000225,[7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 131071]
GAUSSQ2COEFF,DiagCol2 ,A006095,[35 155 651 2667 10795 43435 174251 698027 2794155 11180715 44731051]
GAUSSQ2COEFF,DiagCol3 ,A006096,[155 1395 11811 97155 788035 6347715 50955971 408345795 3269560515]
GAUSSQ2COEFF,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
GAUSSQ2COEFF,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
GAUSSQ2COEFF,PolyRow2 ,A028387,[11 19 29 41 55 71 89 109 131 155 181 209 239 271 305 341 379 419 461]
GAUSSQ2COEFF,PolyRow3 ,A.....?,[51 112 205 336 511 736 1017 1360 1771 2256 2821 3472 4215 5056 6001]
GAUSSQ2COEFF,PolyCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
GAUSSQ2COEFF,PolyCol1 ,A006116,[5 16 67 374 2825 29212 417199 8283458 229755605 8933488744]
GAUSSQ2COEFF,PolyCol2 ,A182176,[11 51 307 2451 26387 387987 7866259 221472147 8703733139]
GAUSSQ2COEFF,PolyCol3 ,A.....?,[19 112 847 8428 112483 2042824 51027319 1766869636 85292358571]
GAUSSQ2COEFF,PolyDiag ,A.....?,[11 112 1837 45906 1705375 93130192 7437830329 866657162890]
gaussq2, 42 traits, 28 A-numbers, 66%
