Triangle,Trait,ANumber,Sequence
GENOCCHITRIA,Triangle ,A297703,[1 2 3 3 8 14 17 17 56 104 138 155 155 608 1160 1608 1918 2073 2073]
GENOCCHITRIA,Reverse  ,A.....?,[1 3 3 2 17 17 14 8 155 155 138 104 56 2073 2073 1918 1608 1160 608]
GENOCCHITRIA,Sum      ,A005439,[8 56 608 9440 198272 5410688 186043904 7867739648 401293838336]
GENOCCHITRIA,EvenSum  ,A.....?,[5 25 349 4289 109765 2500393 100852205 3681669649 214553157013]
GENOCCHITRIA,OddSum   ,A.....?,[3 31 259 5151 88507 2910295 85191699 4186069999 186740681323]
GENOCCHITRIA,AltSum   ,A.....?,[2 -6 90 -862 21258 -409902 15660506 -504400350 27812475690]
GENOCCHITRIA,AccSum   ,A.....?,[15 125 1575 27853 656607 19875573 750786135 34601854397]
GENOCCHITRIA,AccRevSum,A.....?,[15 125 1575 27853 656607 19875573 750786135 34601854397]
GENOCCHITRIA,RevAccSum,A001469,[17 155 2073 38227 929569 28820619 1109652905 51943281731]
GENOCCHITRIA,DiagSum  ,A.....?,[3 11 73 729 10755 218307 5825809 197258753 8250605691 417400530139]
GENOCCHITRIA,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
GENOCCHITRIA,RowMax   ,A001469,[3 17 155 2073 38227 929569 28820619 1109652905 51943281731]
GENOCCHITRIA,Middle   ,A.....?,[3 14 138 1608 32008 702280 23281432 826094560 40990855776]
GENOCCHITRIA,Central  ,A.....?,[138 32008 23281432 40990855776 148530446419808 990793141677516416]
GENOCCHITRIA,LeftSide ,A005439,[2 8 56 608 9440 198272 5410688 186043904 7867739648 401293838336]
GENOCCHITRIA,RightSide,A001469,[3 17 155 2073 38227 929569 28820619 1109652905 51943281731]
GENOCCHITRIA,PosHalf  ,A.....?,[17 171 2745 64771 2119329 92108379 5143290377 359335100979]
GENOCCHITRIA,NegHalf  ,A.....?,[5 -25 461 -8161 284885 -11096233 630154589 -42245508337]
GENOCCHITRIA,BinConV  ,A.....?,[11 118 2075 54106 1958291 93874558 5754873035 439059245986]
GENOCCHITRIA,IBinConV ,A036968,[-1 0 3 0 -17 0 155 0 -2073 0 38227 0 -929569 0 28820619 0]
GENOCCHITRIA,TransNat0,A.....?,[9 99 1465 28787 731297 23409931 923609001 44075542083 2503857204145]
GENOCCHITRIA,TransNat1,A001469,[17 155 2073 38227 929569 28820619 1109652905 51943281731]
GENOCCHITRIA,DiagRow0 ,A001469,[3 17 155 2073 38227 929569 28820619 1109652905 51943281731]
GENOCCHITRIA,DiagRow1 ,A001469,[17 155 2073 38227 929569 28820619 1109652905 51943281731]
GENOCCHITRIA,DiagRow2 ,A.....?,[138 1918 36154 891342 27891050 1080832286 50833628826 2853207760750]
GENOCCHITRIA,DiagRow3 ,A.....?,[1608 32008 814888 26031912 1023191048 48614323016 2749321197288]
GENOCCHITRIA,DiagCol0 ,A005439,[2 8 56 608 9440 198272 5410688 186043904 7867739648 401293838336]
GENOCCHITRIA,DiagCol1 ,A.....?,[14 104 1160 18272 387104 10623104 366677120 15549435392 794719937024]
GENOCCHITRIA,DiagCol2 ,A.....?,[138 1608 25944 557664 15448416 536687232 22864454016 1172596600320]
GENOCCHITRIA,DiagCol3 ,A.....?,[1918 32008 702280 19716064 691248928 29642785408 1527608809600]
GENOCCHITRIA,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
GENOCCHITRIA,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
GENOCCHITRIA,PolyRow2 ,A077588,[20 38 62 92 128 170 218 272 332 398 470 548 632 722 818 920 1028]
GENOCCHITRIA,PolyRow3 ,A.....?,[240 662 1424 2628 4376 6770 9912 13904 18848 24846 32000 40412 50184]
GENOCCHITRIA,PolyCol0 ,A005439,[2 8 56 608 9440 198272 5410688 186043904 7867739648 401293838336]
GENOCCHITRIA,PolyCol1 ,A005439,[8 56 608 9440 198272 5410688 186043904 7867739648 401293838336]
GENOCCHITRIA,PolyCol2 ,A.....?,[20 240 4536 124208 4654080 228859776 14303848064 1107862922496]
GENOCCHITRIA,PolyCol3 ,A.....?,[38 662 18350 741998 41247086 3018565358 281375550542 32550962041742]
GENOCCHITRIA,PolyDiag ,A.....?,[20 662 52280 8060108 2135594432 892111352906 552241988561792]
genocchi, 39 traits, 17 A-numbers, 43%
