Triangle,Trait,ANumber,Sequence
HARMONICPOLY,Triangle ,A358694,[1 0 2 1 0 6 4 1 0 24 18 7 1 0 120 96 46 11 1 0 720 600 326 101 16 1]
HARMONICPOLY,Reverse  ,A.....?,[0 1 2 0 1 4 6 0 1 7 18 24 0 1 11 46 96 120 0 1 16 101 326 600 720 0]
HARMONICPOLY,Inverse  ,A227341,[1 0 -2 1 0 2 -4 1 0 -2 10 -7 1 0 2 -22 31 -11 1 0 -2 46 -115 75 -16]
HARMONICPOLY,RevInv   ,A.....?,[0 1 -2 0 1 -4 2 0 1 -7 10 -2 0 1 -11 31 -22 2 0 1 -16 75 -115 46 -2]
HARMONICPOLY,Sum      ,A000254,[3 11 50 274 1764 13068 109584 1026576 10628640 120543840 1486442880]
HARMONICPOLY,EvenSum  ,A182541,[1 4 19 107 702 5274 44712 422568 4407120 50292720 623471040]
HARMONICPOLY,OddSum   ,A.....?,[2 7 31 167 1062 7794 64872 604008 6221520 70251120 862971840]
HARMONICPOLY,AltSum   ,A001710,[-1 -3 -12 -60 -360 -2520 -20160 -181440 -1814400 -19958400]
HARMONICPOLY,AccSum   ,A.....?,[5 27 165 1145 8960 78344 758548 8066484 93532824 1175064264]
HARMONICPOLY,AccRevSum,A.....?,[5 27 165 1145 8960 78344 758548 8066484 93532824 1175064264]
HARMONICPOLY,RevAccSum,A.....?,[7 28 135 773 5152 39268 337292 3225852 34010856 392005656 4904445312]
HARMONICPOLY,DiagSum  ,A.....?,[1 2 7 28 139 823 5687 44977 400818 3974520 43404974 517626129]
HARMONICPOLY,RowGcd   ,A023977,[2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
HARMONICPOLY,RowMax   ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
HARMONICPOLY,Middle   ,A.....?,[2 6 18 96 326 2556 9080 94852 342964 4496284 16369178 258795044]
HARMONICPOLY,Central  ,A.....?,[18 326 9080 342964 16369178 944218666 63850536496 4951400140040]
HARMONICPOLY,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
HARMONICPOLY,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
HARMONICPOLY,PosHalf  ,A129890,[5 33 279 2895 35685 509985 8294895 151335135 3061162125 68000295825]
HARMONICPOLY,NegHalf  ,A192459,[-3 17 -133 1315 -15675 218505 -3485685 62607195 -1250116875]
HARMONICPOLY,BinConV  ,A.....?,[5 31 233 2076 21452 252372 3329349 48644302 779147639 13565379433]
HARMONICPOLY,IBinConV ,A.....?,[-3 7 -15 46 -420 5384 -62811 656620 -6213537 52114085 -354833336]
HARMONICPOLY,TransNat0,A081052,[4 17 85 499 3388 26200 227708 2199276 23382216 271461816 3418002432]
HARMONICPOLY,TransNat1,A.....?,[7 28 135 773 5152 39268 337292 3225852 34010856 392005656 4904445312]
HARMONICPOLY,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
HARMONICPOLY,DiagRow1 ,A000124,[4 7 11 16 22 29 37 46 56 67 79 92 106 121 137 154 172 191 211 232]
HARMONICPOLY,DiagRow2 ,A308305,[18 46 101 197 351 583 916 1376 1992 2796 3823 5111 6701 8637 10966]
HARMONICPOLY,DiagRow3 ,A.....?,[96 326 932 2311 5119 10366 19526 34662 58566 94914 148436 225101]
HARMONICPOLY,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
HARMONICPOLY,DiagCol1 ,A000142,[6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800]
HARMONICPOLY,DiagCol2 ,A001563,[18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200]
HARMONICPOLY,DiagCol3 ,A067318,[46 326 2556 22212 212976 2239344 25659360 318540960 4261576320]
HARMONICPOLY,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
HARMONICPOLY,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
HARMONICPOLY,PolyRow2 ,A005563,[8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 440]
HARMONICPOLY,PolyRow3 ,A.....?,[36 81 152 255 396 581 816 1107 1460 1881 2376 2951 3612 4365 5216]
HARMONICPOLY,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
HARMONICPOLY,PolyCol1 ,A000254,[3 11 50 274 1764 13068 109584 1026576 10628640 120543840 1486442880]
HARMONICPOLY,PolyCol2 ,A052582,[8 36 192 1200 8640 70560 645120 6531840 72576000 878169600]
HARMONICPOLY,PolyCol3 ,A.....?,[15 81 504 3600 29160 264600 2661120 29393280 353808000 4610390400]
HARMONICPOLY,PolyDiag ,A.....?,[8 81 1088 18750 398304 10084200 296478720 9923906160 372464064000]
harmonic, 41 traits, 25 A-numbers, 60%
