Triangle,Trait,ANumber,Sequence
LEHMERCOMTET,Triangle ,A354794,[1 0 1 1 0 4 3 1 0 27 19 6 1 0 256 175 55 10 1 0 3125 2101 660 125 15]
LEHMERCOMTET,Reverse  ,A.....?,[0 1 1 0 1 3 4 0 1 6 19 27 0 1 10 55 175 256 0 1 15 125 660 2101 3125]
LEHMERCOMTET,Inverse  ,A354795,[1 0 -1 1 0 -1 -3 1 0 -2 -1 -6 1 0 -6 0 5 -10 1 0 -24 4 15 25 -15 1 0]
LEHMERCOMTET,RevInv   ,A.....?,[0 1 -1 0 1 -3 -1 0 1 -6 -1 -2 0 1 -10 5 0 -6 0 1 -15 25 15 4 -24 0 1]
LEHMERCOMTET,Sum      ,A195979,[2 8 53 497 6027 89595 1576682 32047986 738772383 19042778713]
LEHMERCOMTET,EvenSum  ,A.....?,[1 3 20 185 2227 32942 577663 11710659 269400564 6932743719]
LEHMERCOMTET,OddSum   ,A.....?,[1 5 33 312 3800 56653 999019 20337327 469371819 12110034994]
LEHMERCOMTET,AltSum   ,A290219,[0 -2 -13 -127 -1573 -23711 -421356 -8626668 -199971255 -5177291275]
LEHMERCOMTET,AccSum   ,A.....?,[3 19 178 2166 32301 569871 11606645 267990533 6916941980]
LEHMERCOMTET,AccRevSum,A.....?,[3 19 178 2166 32301 569871 11606645 267990533 6916941980]
LEHMERCOMTET,RevAccSum,A.....?,[5 21 140 1313 15915 236484 4160175 84537313 1948326616 50211394159]
LEHMERCOMTET,DiagSum  ,A.....?,[1 1 5 30 276 3306 48813 855244 17330700 398605707 10256700243]
LEHMERCOMTET,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LEHMERCOMTET,RowMax   ,A000312,[1 4 27 256 3125 46656 823543 16777216 387420489 10000000000]
LEHMERCOMTET,Middle   ,A.....?,[1 4 19 175 660 9751 33621 688506 2263065 59411605 189556312]
LEHMERCOMTET,Central  ,A.....?,[19 660 33621 2263065 189556312 19004025040 2219237925333]
LEHMERCOMTET,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
LEHMERCOMTET,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LEHMERCOMTET,PosHalf  ,A.....?,[3 23 305 5737 139427 4151135 146249217 5949873009 274474594467]
LEHMERCOMTET,NegHalf  ,A.....?,[-1 11 -151 2897 -71193 2134827 -75588175 3086475009 -142784470929]
LEHMERCOMTET,BinConV  ,A.....?,[3 22 247 3631 65431 1390971 34000275 938046703 28802563636]
LEHMERCOMTET,IBinConV ,A.....?,[-1 4 -17 31 1351 -44925 1172963 -29981273 788395396 -21624745614]
LEHMERCOMTET,TransNat0,A.....?,[3 13 87 816 9888 146889 2583493 52489327 1209554233 31168615446]
LEHMERCOMTET,TransNat1,A.....?,[5 21 140 1313 15915 236484 4160175 84537313 1948326616 50211394159]
LEHMERCOMTET,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LEHMERCOMTET,DiagRow1 ,A000217,[3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231]
LEHMERCOMTET,DiagRow2 ,A215862,[19 55 125 245 434 714 1110 1650 2365 3289 4459 5915 7700 9860 12444]
LEHMERCOMTET,DiagRow3 ,A.....?,[175 660 1890 4550 9702 18900 34320 58905 96525 152152 232050 343980]
LEHMERCOMTET,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
LEHMERCOMTET,DiagCol1 ,A000312,[4 27 256 3125 46656 823543 16777216 387420489 10000000000]
LEHMERCOMTET,DiagCol2 ,A045531,[19 175 2101 31031 543607 11012415 253202761 6513215599 185311670611]
LEHMERCOMTET,DiagCol3 ,A281596,[55 660 9751 170898 3463615 79669320 2050086511 58346365110]
LEHMERCOMTET,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LEHMERCOMTET,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
LEHMERCOMTET,PolyRow2 ,A002378,[6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420]
LEHMERCOMTET,PolyRow3 ,A.....?,[28 66 128 220 348 518 736 1008 1340 1738 2208 2756 3388 4110 4928]
LEHMERCOMTET,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
LEHMERCOMTET,PolyCol1 ,A195979,[2 8 53 497 6027 89595 1576682 32047986 738772383 19042778713]
LEHMERCOMTET,PolyCol2 ,A.....?,[6 28 194 1844 22478 334996 5903850 120116148 2770736934 71453347508]
LEHMERCOMTET,PolyCol3 ,A.....?,[12 66 495 4881 60603 912645 16190472 330894912 7657986573]
LEHMERCOMTET,PolyDiag ,A.....?,[6 66 1052 21905 562242 17141481 604952952 24249218922 1088041350990]
lehmer, 41 traits, 20 A-numbers, 48%
