Triangle,Trait,ANumber,Sequence
LEIBNIZTRIAN,Triangle ,A003506,[2 3 6 3 4 12 12 4 5 20 30 20 5 6 30 60 60 30 6 7 42 105 140 105 42 7]
LEIBNIZTRIAN,Reverse  ,A003506,[2 3 6 3 4 12 12 4 5 20 30 20 5 6 30 60 60 30 6 7 42 105 140 105 42 7]
LEIBNIZTRIAN,Sum      ,A001787,[12 32 80 192 448 1024 2304 5120 11264 24576 53248 114688 245760]
LEIBNIZTRIAN,EvenSum  ,A057711,[6 16 40 96 224 512 1152 2560 5632 12288 26624 57344 122880 262144]
LEIBNIZTRIAN,OddSum   ,A057711,[6 16 40 96 224 512 1152 2560 5632 12288 26624 57344 122880 262144]
LEIBNIZTRIAN,AltSum   ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
LEIBNIZTRIAN,AccSum   ,A001788,[24 80 240 672 1792 4608 11520 28160 67584 159744 372736 860160]
LEIBNIZTRIAN,AccRevSum,A001788,[24 80 240 672 1792 4608 11520 28160 67584 159744 372736 860160]
LEIBNIZTRIAN,RevAccSum,A001788,[24 80 240 672 1792 4608 11520 28160 67584 159744 372736 860160]
LEIBNIZTRIAN,DiagSum  ,A001629,[5 10 20 38 71 130 235 420 744 1308 2285 3970 6865 11822 20284 34690]
LEIBNIZTRIAN,RowGcd   ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20]
LEIBNIZTRIAN,RowMax   ,A100071,[6 12 30 60 140 280 630 1260 2772 5544 12012 24024 51480 102960]
LEIBNIZTRIAN,Middle   ,A100071,[6 12 30 60 140 280 630 1260 2772 5544 12012 24024 51480 102960]
LEIBNIZTRIAN,Central  ,A002457,[30 140 630 2772 12012 51480 218790 923780]
LEIBNIZTRIAN,LeftSide ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20]
LEIBNIZTRIAN,RightSide,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20]
LEIBNIZTRIAN,PosHalf  ,A027471,[27 108 405 1458 5103 17496 59049 196830 649539 2125764 6908733]
LEIBNIZTRIAN,NegHalf  ,A000027,[3 -4 5 -6 7 -8 9 -10 11 -12 13 -14 15 -16 17 -18 19 -20]
LEIBNIZTRIAN,BinConV  ,A037965,[18 80 350 1512 6468 27456 115830 486200 2032316 8465184 35154028]
LEIBNIZTRIAN,IBinConV ,A.....?,[-6 0 30 0 -140 0 630 0 -2772 0 12012 0 -51480 0 218790 0 -923780 0]
LEIBNIZTRIAN,TransNat0,A001815,[12 48 160 480 1344 3584 9216 23040 56320 135168 319488 745472]
LEIBNIZTRIAN,TransNat1,A001788,[24 80 240 672 1792 4608 11520 28160 67584 159744 372736 860160]
LEIBNIZTRIAN,DiagRow0 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
LEIBNIZTRIAN,DiagRow1 ,A002378,[12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420 462]
LEIBNIZTRIAN,DiagRow2 ,A027480,[30 60 105 168 252 360 495 660 858 1092 1365 1680 2040 2448 2907 3420]
LEIBNIZTRIAN,DiagRow3 ,A033488,[60 140 280 504 840 1320 1980 2860 4004 5460 7280 9520 12240 15504]
LEIBNIZTRIAN,DiagCol0 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
LEIBNIZTRIAN,DiagCol1 ,A002378,[12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420 462]
LEIBNIZTRIAN,DiagCol2 ,A027480,[30 60 105 168 252 360 495 660 858 1092 1365 1680 2040 2448 2907 3420]
LEIBNIZTRIAN,DiagCol3 ,A033488,[60 140 280 504 840 1320 1980 2860 4004 5460 7280 9520 12240 15504]
LEIBNIZTRIAN,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LEIBNIZTRIAN,PolyRow1 ,A004271,[6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50]
LEIBNIZTRIAN,PolyRow2 ,A033428,[27 48 75 108 147 192 243 300 363 432 507 588 675 768 867 972 1083]
LEIBNIZTRIAN,PolyRow3 ,A033430,[108 256 500 864 1372 2048 2916 4000 5324 6912 8788 10976 13500 16384]
LEIBNIZTRIAN,PolyCol0 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
LEIBNIZTRIAN,PolyCol1 ,A001787,[12 32 80 192 448 1024 2304 5120 11264 24576 53248 114688 245760]
LEIBNIZTRIAN,PolyCol2 ,A027471,[27 108 405 1458 5103 17496 59049 196830 649539 2125764 6908733]
LEIBNIZTRIAN,PolyCol3 ,A002697,[48 256 1280 6144 28672 131072 589824 2621440 11534336 50331648]
LEIBNIZTRIAN,PolyDiag ,A000312,[27 256 3125 46656 823543 16777216 387420489 10000000000 285311670611]
leibniz, 39 traits, 38 A-numbers, 97%
