Triangle,Trait,ANumber,Sequence
LEVINSTRIANG,Triangle ,A356546,[2 6 12 6 20 60 60 20 70 280 420 280 70 252 1260 2520 2520 1260 252]
LEVINSTRIANG,Reverse  ,A356546,[2 6 12 6 20 60 60 20 70 280 420 280 70 252 1260 2520 2520 1260 252]
LEVINSTRIANG,Sum      ,A059304,[24 160 1120 8064 59136 439296 3294720 24893440 189190144 1444724736]
LEVINSTRIANG,EvenSum  ,A069723,[12 80 560 4032 29568 219648 1647360 12446720 94595072 722362368]
LEVINSTRIANG,OddSum   ,A069723,[12 80 560 4032 29568 219648 1647360 12446720 94595072 722362368]
LEVINSTRIANG,AltSum   ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
LEVINSTRIANG,AccSum   ,A.....?,[48 400 3360 28224 236544 1976832 16473600 136913920 1135140864]
LEVINSTRIANG,AccRevSum,A.....?,[48 400 3360 28224 236544 1976832 16473600 136913920 1135140864]
LEVINSTRIANG,RevAccSum,A.....?,[48 400 3360 28224 236544 1976832 16473600 136913920 1135140864]
LEVINSTRIANG,DiagSum  ,A006139,[8 32 136 592 2624 11776 53344 243392 1116928 5149696 23835904]
LEVINSTRIANG,RowGcd   ,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
LEVINSTRIANG,RowMax   ,A.....?,[12 60 420 2520 18480 120120 900900 6126120 46558512 325909584]
LEVINSTRIANG,Middle   ,A.....?,[12 60 420 2520 18480 120120 900900 6126120 46558512 325909584]
LEVINSTRIANG,Central  ,A000897,[420 18480 900900 46558512 2498640144 137680171200 7735904619300]
LEVINSTRIANG,LeftSide ,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
LEVINSTRIANG,RightSide,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
LEVINSTRIANG,PosHalf  ,A098658,[54 540 5670 61236 673596 7505784 84440070 956987460 10909657044]
LEVINSTRIANG,NegHalf  ,A000984,[6 -20 70 -252 924 -3432 12870 -48620 184756 -705432 2704156]
LEVINSTRIANG,BinConV  ,A002894,[36 400 4900 63504 853776 11778624 165636900 2363904400 34134779536]
LEVINSTRIANG,IBinConV ,A.....?,[-12 0 420 0 -18480 0 900900 0 -46558512 0 2498640144 0 -137680171200]
LEVINSTRIANG,TransNat0,A.....?,[24 240 2240 20160 177408 1537536 13178880 112020480 945950720]
LEVINSTRIANG,TransNat1,A.....?,[48 400 3360 28224 236544 1976832 16473600 136913920 1135140864]
LEVINSTRIANG,DiagRow0 ,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
LEVINSTRIANG,DiagRow1 ,A005430,[60 280 1260 5544 24024 102960 437580 1847560 7759752 32449872]
LEVINSTRIANG,DiagRow2 ,A000911,[420 2520 13860 72072 360360 1750320 8314020 38798760 178474296]
LEVINSTRIANG,DiagRow3 ,A.....?,[2520 18480 120120 720720 4084080 22170720 116396280 594914320]
LEVINSTRIANG,DiagCol0 ,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
LEVINSTRIANG,DiagCol1 ,A005430,[60 280 1260 5544 24024 102960 437580 1847560 7759752 32449872]
LEVINSTRIANG,DiagCol2 ,A000911,[420 2520 13860 72072 360360 1750320 8314020 38798760 178474296]
LEVINSTRIANG,DiagCol3 ,A.....?,[2520 18480 120120 720720 4084080 22170720 116396280 594914320]
LEVINSTRIANG,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LEVINSTRIANG,PolyRow1 ,A004271,[6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50]
LEVINSTRIANG,PolyRow2 ,A033581,[54 96 150 216 294 384 486 600 726 864 1014 1176 1350 1536 1734 1944]
LEVINSTRIANG,PolyRow3 ,A.....?,[540 1280 2500 4320 6860 10240 14580 20000 26620 34560 43940 54880]
LEVINSTRIANG,PolyCol0 ,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
LEVINSTRIANG,PolyCol1 ,A059304,[24 160 1120 8064 59136 439296 3294720 24893440 189190144 1444724736]
LEVINSTRIANG,PolyCol2 ,A098658,[54 540 5670 61236 673596 7505784 84440070 956987460 10909657044]
LEVINSTRIANG,PolyCol3 ,A098430,[96 1280 17920 258048 3784704 56229888 843448320 12745441280]
LEVINSTRIANG,PolyDiag ,A.....?,[54 1280 43750 1959552 108707676 7197425664 554011299270]
levin, 39 traits, 27 A-numbers, 69%
