Triangle,Trait,ANumber,Sequence
LOZANICTRIAN,Triangle ,A034851,[1 1 1 1 1 2 2 1 1 2 4 2 1 1 3 6 6 3 1 1 3 9 10 9 3 1 1 4 12 19 19 12]
LOZANICTRIAN,Reverse  ,A034851,[1 1 1 1 1 2 2 1 1 2 4 2 1 1 3 6 6 3 1 1 3 9 10 9 3 1 1 4 12 19 19 12]
LOZANICTRIAN,Inverse  ,A055138,[1 0 -1 1 1 0 -2 1 -1 2 0 -2 1 -1 -3 6 0 -3 1 4 -3 -7 8 0 -3 1 -1 18]
LOZANICTRIAN,RevInv   ,A.....?,[-1 1 -1 0 1 -2 0 1 1 -2 0 2 -1 1 -3 0 6 -3 -1 1 -3 0 8 -7 -3 4 1 -4]
LOZANICTRIAN,InvRev   ,A055138,[1 0 -1 1 1 0 -2 1 -1 2 0 -2 1 -1 -3 6 0 -3 1 4 -3 -7 8 0 -3 1 -1 18]
LOZANICTRIAN,Sum      ,A005418,[3 6 10 20 36 72 136 272 528 1056 2080 4160 8256 16512 32896 65792]
LOZANICTRIAN,EvenSum  ,A005418,[2 3 6 10 20 36 72 136 272 528 1056 2080 4160 8256 16512 32896 65792]
LOZANICTRIAN,OddSum   ,A051437,[1 3 4 10 16 36 64 136 256 528 1024 2080 4096 8256 16384 32896 65536]
LOZANICTRIAN,AltSum   ,A077957,[1 0 2 0 4 0 8 0 16 0 32 0 64 0 128 0 256 0]
LOZANICTRIAN,AccSum   ,A.....?,[6 15 30 70 144 324 680 1496 3168 6864 14560 31200 66048 140352]
LOZANICTRIAN,AccRevSum,A.....?,[6 15 30 70 144 324 680 1496 3168 6864 14560 31200 66048 140352]
LOZANICTRIAN,RevAccSum,A.....?,[6 15 30 70 144 324 680 1496 3168 6864 14560 31200 66048 140352]
LOZANICTRIAN,DiagSum  ,A001224,[2 2 4 5 9 12 21 30 51 76 127 195 322 504 826 1309 2135]
LOZANICTRIAN,RowGcd   ,A.....?,[1 2 2 3 1 1 2 1 1 1 1 1 1 1 2 1 1 1]
LOZANICTRIAN,RowMax   ,A034872,[1 2 4 6 10 19 38 66 126 236 472 868 1716 3235 6470 12190 24310 46252]
LOZANICTRIAN,Middle   ,A034872,[1 2 4 6 10 19 38 66 126 236 472 868 1716 3235 6470 12190 24310 46252]
LOZANICTRIAN,Central  ,A032123,[4 10 38 126 472 1716 6470 24310]
LOZANICTRIAN,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LOZANICTRIAN,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LOZANICTRIAN,PosHalf  ,A.....?,[7 21 53 159 427 1281 3593 10779 31087 93261 273533 820599 2430547]
LOZANICTRIAN,NegHalf  ,A.....?,[3 -3 13 -13 63 -63 313 -313 1563 -1563 7813 -7813 39063 -39063]
LOZANICTRIAN,BinConV  ,A.....?,[4 14 42 152 508 1892 6758 25556 94704 361748 1369140 5266848]
LOZANICTRIAN,IBinConV ,A.....?,[0 0 10 0 36 0 358 0 2200 0 17524 0 125048 0 957254 0 7160112 0]
LOZANICTRIAN,TransNat0,A.....?,[3 9 20 50 108 252 544 1224 2640 5808 12480 27040 57792 123840 263168]
LOZANICTRIAN,TransNat1,A.....?,[6 15 30 70 144 324 680 1496 3168 6864 14560 31200 66048 140352]
LOZANICTRIAN,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LOZANICTRIAN,DiagRow1 ,A001057,[2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 15]
LOZANICTRIAN,DiagRow2 ,A002620,[4 6 9 12 16 20 25 30 36 42 49 56 64 72 81 90 100 110 121 132 144 156]
LOZANICTRIAN,DiagRow3 ,A005993,[6 10 19 28 44 60 85 110 146 182 231 280 344 408 489 570 670 770 891]
LOZANICTRIAN,DiagCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LOZANICTRIAN,DiagCol1 ,A001057,[2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 15]
LOZANICTRIAN,DiagCol2 ,A002620,[4 6 9 12 16 20 25 30 36 42 49 56 64 72 81 90 100 110 121 132 144 156]
LOZANICTRIAN,DiagCol3 ,A005993,[6 10 19 28 44 60 85 110 146 182 231 280 344 408 489 570 670 770 891]
LOZANICTRIAN,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LOZANICTRIAN,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
LOZANICTRIAN,PolyRow2 ,A002061,[7 13 21 31 43 57 73 91 111 133 157 183 211 241 273 307 343 381 421]
LOZANICTRIAN,PolyRow3 ,A069778,[21 52 105 186 301 456 657 910 1221 1596 2041 2562 3165 3856 4641]
LOZANICTRIAN,PolyCol0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
LOZANICTRIAN,PolyCol1 ,A005418,[3 6 10 20 36 72 136 272 528 1056 2080 4160 8256 16512 32896 65792]
LOZANICTRIAN,PolyCol2 ,A.....?,[7 21 53 159 427 1281 3593 10779 31087 93261 273533 820599 2430547]
LOZANICTRIAN,PolyCol3 ,A.....?,[13 52 178 712 2548 10192 37768 151072 574288 2297152 8888608]
LOZANICTRIAN,PolyDiag ,A.....?,[7 52 457 5916 84151 1548576 30448673 726060880 18223762551]
lozanic, 42 traits, 28 A-numbers, 66%
