Triangle,Trait,ANumber,Sequence
NICOMACHUSTR,Triangle ,A036561,[3 4 6 9 8 12 18 27 16 24 36 54 81 32 48 72 108 162 243 64 96 144 216]
NICOMACHUSTR,Reverse  ,A175840,[2 9 6 4 27 18 12 8 81 54 36 24 16 243 162 108 72 48 32 729 486 324]
NICOMACHUSTR,Sum      ,A001047,[19 65 211 665 2059 6305 19171 58025 175099 527345 1586131 4766585]
NICOMACHUSTR,EvenSum  ,A.....?,[13 26 133 266 1261 2522 11605 23210 105469 210938 953317 1906634]
NICOMACHUSTR,OddSum   ,A.....?,[6 39 78 399 798 3783 7566 34815 69630 316407 632814 2859951 5719902]
NICOMACHUSTR,AltSum   ,A015441,[7 -13 55 -133 463 -1261 4039 -11605 35839 -105469 320503 -953317]
NICOMACHUSTR,AccSum   ,A066810,[33 131 473 1611 5281 16867 52905 163835 502769 1532883 4651897]
NICOMACHUSTR,AccRevSum,A066810,[33 131 473 1611 5281 16867 52905 163835 502769 1532883 4651897]
NICOMACHUSTR,RevAccSum,A.....?,[43 194 793 3044 11191 39878 138805 474440 1598419 5322602 17553937]
NICOMACHUSTR,DiagSum  ,A167762,[7 14 37 74 175 350 781 1562 3367 6734 14197 28394 58975 117950]
NICOMACHUSTR,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
NICOMACHUSTR,RowMax   ,A000244,[9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 4782969]
NICOMACHUSTR,Middle   ,A026549,[6 12 36 72 216 432 1296 2592 7776 15552 46656 93312 279936 559872]
NICOMACHUSTR,Central  ,A000400,[36 216 1296 7776 46656 279936 1679616 10077696]
NICOMACHUSTR,LeftSide ,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
NICOMACHUSTR,RightSide,A000244,[9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 4782969]
NICOMACHUSTR,PosHalf  ,A005061,[37 175 781 3367 14197 58975 242461 989527 4017157 16245775 65514541]
NICOMACHUSTR,NegHalf  ,A053404,[13 -25 181 -481 2653 -8425 40261 -141361 624493 -2320825 9814741]
NICOMACHUSTR,BinConV  ,A000351,[25 125 625 3125 15625 78125 390625 1953125 9765625 48828125]
NICOMACHUSTR,IBinConV ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
NICOMACHUSTR,TransNat0,A.....?,[24 129 582 2379 9132 33573 119634 416415 1423320 4795257 15967806]
NICOMACHUSTR,TransNat1,A.....?,[43 194 793 3044 11191 39878 138805 474440 1598419 5322602 17553937]
NICOMACHUSTR,DiagRow0 ,A000244,[9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 4782969]
NICOMACHUSTR,DiagRow1 ,A008776,[18 54 162 486 1458 4374 13122 39366 118098 354294 1062882 3188646]
NICOMACHUSTR,DiagRow2 ,A003946,[36 108 324 972 2916 8748 26244 78732 236196 708588 2125764 6377292]
NICOMACHUSTR,DiagRow3 ,A005051,[72 216 648 1944 5832 17496 52488 157464 472392 1417176 4251528]
NICOMACHUSTR,DiagCol0 ,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
NICOMACHUSTR,DiagCol1 ,A003945,[12 24 48 96 192 384 768 1536 3072 6144 12288 24576 49152 98304]
NICOMACHUSTR,DiagCol2 ,A005010,[36 72 144 288 576 1152 2304 4608 9216 18432 36864 73728 147456]
NICOMACHUSTR,DiagCol3 ,A175806,[108 216 432 864 1728 3456 6912 13824 27648 55296 110592 221184]
NICOMACHUSTR,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
NICOMACHUSTR,PolyRow1 ,A016789,[8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59 62 65 68 71 74]
NICOMACHUSTR,PolyRow2 ,A.....?,[52 103 172 259 364 487 628 787 964 1159 1372 1603 1852 2119 2404]
NICOMACHUSTR,PolyRow3 ,A.....?,[320 935 2072 3893 6560 10235 15080 21257 28928 38255 49400 62525]
NICOMACHUSTR,PolyCol0 ,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
NICOMACHUSTR,PolyCol1 ,A001047,[19 65 211 665 2059 6305 19171 58025 175099 527345 1586131 4766585]
NICOMACHUSTR,PolyCol2 ,A016129,[52 320 1936 11648 69952 419840 2519296 15116288 90698752 544194560]
NICOMACHUSTR,PolyCol3 ,A016133,[103 935 8431 75911 683263 6149495 55345711 498111911 4483008223]
NICOMACHUSTR,PolyDiag ,A.....?,[52 935 24880 876197 38263744 1990676795 120082160896 8235645283745]
nicomachus, 39 traits, 31 A-numbers, 79%
