Triangle,Trait,ANumber,Sequence
ONEPERTUTTIS,Triangle ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ONEPERTUTTIS,Reverse  ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ONEPERTUTTIS,Inverse  ,A059778,[1 0 -1 1 0 0 -1 1 0 0 0 -1 1 0 0 0 0 -1 1 0 0 0 0 0 -1 1 0 0 0 0 0 0]
ONEPERTUTTIS,RevInv   ,A059778,[-1 1 -1 0 1 -1 0 0 1 -1 0 0 0 1 -1 0 0 0 0 1 -1 0 0 0 0 0 1 -1 0 0 0]
ONEPERTUTTIS,InvRev   ,A059778,[1 0 -1 1 0 0 -1 1 0 0 0 -1 1 0 0 0 0 -1 1 0 0 0 0 0 -1 1 0 0 0 0 0 0]
ONEPERTUTTIS,Sum      ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20]
ONEPERTUTTIS,EvenSum  ,A001057,[2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10]
ONEPERTUTTIS,OddSum   ,A001057,[1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10]
ONEPERTUTTIS,AltSum   ,A000035,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
ONEPERTUTTIS,AccSum   ,A000217,[6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210]
ONEPERTUTTIS,AccRevSum,A000217,[6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210]
ONEPERTUTTIS,RevAccSum,A000217,[6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210]
ONEPERTUTTIS,DiagSum  ,A001057,[2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10]
ONEPERTUTTIS,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ONEPERTUTTIS,RowMax   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ONEPERTUTTIS,Middle   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ONEPERTUTTIS,Central  ,A000012,[1 1 1 1 1 1 1 1]
ONEPERTUTTIS,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ONEPERTUTTIS,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ONEPERTUTTIS,PosHalf  ,A000225,[7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 131071]
ONEPERTUTTIS,NegHalf  ,A001045,[3 -5 11 -21 43 -85 171 -341 683 -1365 2731 -5461 10923 -21845 43691]
ONEPERTUTTIS,BinConV  ,A000079,[4 8 16 32 64 128 256 512 1024 2048 4096 8192 16384 32768 65536]
ONEPERTUTTIS,IBinConV ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ONEPERTUTTIS,TransNat0,A000217,[3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231]
ONEPERTUTTIS,TransNat1,A000217,[6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231 253]
ONEPERTUTTIS,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ONEPERTUTTIS,DiagRow1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
