Triangle,Trait,ANumber,Sequence
ORDEREDCYCLE,Triangle ,A225479,[1 0 1 2 0 2 6 6 0 6 22 36 24 0 24 100 210 240 120 0 120 548 1350]
ORDEREDCYCLE,Reverse  ,A.....?,[0 2 1 0 6 6 2 0 24 36 22 6 0 120 240 210 100 24 0 720 1800 2040 1350]
ORDEREDCYCLE,Sum      ,A007840,[3 14 88 694 6578 72792 920904 13109088 207360912 3608233056]
ORDEREDCYCLE,EvenSum  ,A052811,[2 6 46 340 3308 36288 460752 6551424 103685232 1803956880]
ORDEREDCYCLE,OddSum   ,A.....?,[1 8 42 354 3270 36504 460152 6557664 103675680 1804276176]
ORDEREDCYCLE,AltSum   ,A006252,[1 -2 4 -14 38 -216 600 -6240 9552 -319296 -519312 -28108560]
ORDEREDCYCLE,AccSum   ,A.....?,[4 24 186 1750 19300 243768 3467184 54820848 953707008 18102106704]
ORDEREDCYCLE,AccRevSum,A.....?,[4 24 186 1750 19300 243768 3467184 54820848 953707008 18102106704]
ORDEREDCYCLE,RevAccSum,A052801,[8 46 342 3108 33324 411360 5741856 89379120 1534623936 28804923024]
ORDEREDCYCLE,DiagSum  ,A129841,[1 1 4 12 52 256 1502 10158 78360 680280 6574872 70075416 816909816]
ORDEREDCYCLE,RowGcd   ,A.....?,[2 2 2 2 2 24 24 24 24 48 48 48 48 384 1152 1152 1152 2304]
ORDEREDCYCLE,RowMax   ,A058583,[2 6 36 240 2040 21000 235200 3265920 47628000 795175920 14411295360]
ORDEREDCYCLE,Middle   ,A344498,[1 2 22 100 1350 9744 162456 1614816 32319000 410031600 9604465200]
ORDEREDCYCLE,Central  ,A.....?,[22 1350 162456 32319000 9604465200 3986353491120 2202727143576960]
ORDEREDCYCLE,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ORDEREDCYCLE,RightSide,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
ORDEREDCYCLE,PosHalf  ,A227917,[4 26 232 2624 35888 575280 10569984 218911872 5044346112]
ORDEREDCYCLE,NegHalf  ,A354237,[0 2 -8 64 -592 6768 -90624 1395840 -24292608 471453696 -10094066688]
ORDEREDCYCLE,BinConV  ,A277759,[4 30 324 4540 78060 1589448 37388400 997513200 29759790240]
ORDEREDCYCLE,IBinConV ,A308565,[0 -6 -12 140 1020 -5208 -117264 -2448 17756640 117905040 -3177424800]
ORDEREDCYCLE,TransNat0,A215916,[5 32 254 2414 26746 338568 4820952 76270032 1327263024 25196689968]
ORDEREDCYCLE,TransNat1,A052801,[8 46 342 3108 33324 411360 5741856 89379120 1534623936 28804923024]
ORDEREDCYCLE,DiagRow0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
ORDEREDCYCLE,DiagRow1 ,A001286,[6 36 240 1800 15120 141120 1451520 16329600 199584000 2634508800]
ORDEREDCYCLE,DiagRow2 ,A.....?,[22 210 2040 21000 231840 2751840 35078400 479001600 6985440000]
ORDEREDCYCLE,DiagRow3 ,A.....?,[100 1350 17640 235200 3265920 47628000 731808000 11855289600]
ORDEREDCYCLE,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ORDEREDCYCLE,DiagCol1 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
ORDEREDCYCLE,DiagCol2 ,A052517,[22 100 548 3528 26136 219168 2053152 21257280 241087680 2972885760]
ORDEREDCYCLE,DiagCol3 ,A052748,[210 1350 9744 78792 708744 7036200 76521456 905507856 11589357312]
ORDEREDCYCLE,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ORDEREDCYCLE,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
ORDEREDCYCLE,PolyRow2 ,A014105,[10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 741]
ORDEREDCYCLE,PolyRow3 ,A.....?,[76 222 488 910 1524 2366 3472 4878 6620 8734 11256 14222 17668 21630]
ORDEREDCYCLE,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ORDEREDCYCLE,PolyCol1 ,A007840,[3 14 88 694 6578 72792 920904 13109088 207360912 3608233056]
ORDEREDCYCLE,PolyCol2 ,A088500,[10 76 772 9808 149552 2660544 54093696 1237306560 31446049728]
ORDEREDCYCLE,PolyCol3 ,A354263,[21 222 3132 55242 1169262 28873800 814870584 25871762016]
ORDEREDCYCLE,PolyDiag ,A317171,[10 222 8824 553870 50545008 6328330344 1041597412224 218138133235680]
ordered_cycle, 39 traits, 30 A-numbers, 76%
