Triangle,Trait,ANumber,Sequence
ORDINALNUMBR,Triangle ,A002262,[1 0 1 2 0 1 2 3 0 1 2 3 4 0 1 2 3 4 5 0 1 2 3 4 5 6 0 1 2 3 4 5 6 7]
ORDINALNUMBR,Reverse  ,A025581,[0 2 1 0 3 2 1 0 4 3 2 1 0 5 4 3 2 1 0 6 5 4 3 2 1 0 7 6 5 4 3 2 1 0]
ORDINALNUMBR,Sum      ,A000217,[3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190]
ORDINALNUMBR,EvenSum  ,A110660,[2 2 6 6 12 12 20 20 30 30 42 42 56 56 72 72 90 90]
ORDINALNUMBR,OddSum   ,A008794,[1 4 4 9 9 16 16 25 25 36 36 49 49 64 64 81 81 100]
ORDINALNUMBR,AltSum   ,A001057,[1 -2 2 -3 3 -4 4 -5 5 -6 6 -7 7 -8 8 -9 9 -10]
ORDINALNUMBR,AccSum   ,A000292,[4 10 20 35 56 84 120 165 220 286 364 455 560 680 816 969 1140 1330]
ORDINALNUMBR,AccRevSum,A000292,[4 10 20 35 56 84 120 165 220 286 364 455 560 680 816 969 1140 1330]
ORDINALNUMBR,RevAccSum,A007290,[8 20 40 70 112 168 240 330 440 572 728 910 1120 1360 1632 1938 2280]
ORDINALNUMBR,DiagSum  ,A008805,[1 1 3 3 6 6 10 10 15 15 21 21 28 28 36 36 45]
ORDINALNUMBR,RowGcd   ,A000319,[2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ORDINALNUMBR,RowMax   ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19]
ORDINALNUMBR,Middle   ,A001057,[1 1 2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9]
ORDINALNUMBR,Central  ,A000027,[2 3 4 5 6 7 8 9]
ORDINALNUMBR,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ORDINALNUMBR,RightSide,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19]
ORDINALNUMBR,PosHalf  ,A000295,[4 11 26 57 120 247 502 1013 2036 4083 8178 16369 32752 65519 131054]
ORDINALNUMBR,NegHalf  ,A053088,[0 3 -2 9 -12 31 -54 117 -224 459 -906 1825 -3636 7287 -14558 29133]
ORDINALNUMBR,BinConV  ,A001787,[4 12 32 80 192 448 1024 2304 5120 11264 24576 53248 114688 245760]
ORDINALNUMBR,IBinConV ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ORDINALNUMBR,TransNat0,A000330,[5 14 30 55 91 140 204 285 385 506 650 819 1015 1240 1496 1785 2109]
ORDINALNUMBR,TransNat1,A007290,[8 20 40 70 112 168 240 330 440 572 728 910 1120 1360 1632 1938 2280]
ORDINALNUMBR,DiagRow0 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
ORDINALNUMBR,DiagRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
ORDINALNUMBR,DiagRow2 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
ORDINALNUMBR,DiagRow3 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
ORDINALNUMBR,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ORDINALNUMBR,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
ORDINALNUMBR,DiagCol2 ,A000520,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
ORDINALNUMBR,DiagCol3 ,A001069,[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
ORDINALNUMBR,PolyRow0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ORDINALNUMBR,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
ORDINALNUMBR,PolyRow2 ,A014105,[10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 741]
ORDINALNUMBR,PolyRow3 ,A067389,[34 102 228 430 726 1134 1672 2358 3210 4246 5484 6942 8638 10590]
ORDINALNUMBR,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
ORDINALNUMBR,PolyCol1 ,A000217,[3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231]
ORDINALNUMBR,PolyCol2 ,A036799,[10 34 98 258 642 1538 3586 8194 18434 40962 90114 196610 425986]
ORDINALNUMBR,PolyCol3 ,A289399,[21 102 426 1641 6015 21324 73812 250959 841449 2790066 9167358]
ORDINALNUMBR,PolyDiag ,A062806,[10 102 1252 18555 324726 6565468 150652552 3868151445 109876543210]
ordinals, 39 traits, 39 A-numbers, 100%
