Triangle,Trait,ANumber,Sequence
PARTITIONMAX,Triangle ,A.....?,[1 0 1 2 0 1 2 3 0 1 3 4 5 0 1 3 5 6 7 0 1 4 7 9 10 11 0 1 4 8 11 13]
PARTITIONMAX,Reverse  ,A.....?,[0 2 1 0 3 2 1 0 5 4 3 1 0 7 6 5 3 1 0 11 10 9 7 4 1 0 15 14 13 11 8]
PARTITIONMAX,Sum      ,A058397,[3 6 13 22 42 66 112 172 270 397 602 858 1245 1748 2464 3381 4671]
PARTITIONMAX,EvenSum  ,A.....?,[2 2 8 9 24 29 62 78 146 184 321 403 657 829 1291 1615 2433 3027]
PARTITIONMAX,OddSum   ,A.....?,[1 4 5 13 18 37 50 94 124 213 281 455 588 919 1173 1766 2238 3275]
PARTITIONMAX,AltSum   ,A046682,[1 -2 3 -4 6 -8 12 -16 22 -29 40 -52 69 -90 118 -151 195 -248]
PARTITIONMAX,AccSum   ,A.....?,[4 10 26 51 112 197 374 632 1088 1735 2853 4363 6789 10161 15237]
PARTITIONMAX,AccRevSum,A.....?,[4 10 26 51 112 197 374 632 1088 1735 2853 4363 6789 10161 15237]
PARTITIONMAX,RevAccSum,A.....?,[8 20 52 103 224 397 746 1260 2152 3426 5575 8507 13131 19555 29115]
PARTITIONMAX,DiagSum  ,A110618,[1 1 3 3 7 8 15 18 30 37 58 71 105 131 186 230 318]
PARTITIONMAX,RowGcd   ,A000319,[2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
PARTITIONMAX,RowMax   ,A000041,[2 3 5 7 11 15 22 30 42 56 77 101 135 176 231 297 385 490]
PARTITIONMAX,Middle   ,A110618,[1 1 3 3 7 8 15 18 30 37 58 71 105 131 186 230 318 393]
PARTITIONMAX,Central  ,A209816,[3 7 15 30 58 105 186 318]
PARTITIONMAX,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PARTITIONMAX,RightSide,A000041,[2 3 5 7 11 15 22 30 42 56 77 101 135 176 231 297 385 490]
PARTITIONMAX,PosHalf  ,A.....?,[4 11 33 79 219 503 1296 3016 7420 17006 41689 94657 225951 518262]
PARTITIONMAX,NegHalf  ,A.....?,[0 3 1 7 3 15 28 52 120 82 473 225 2199 2042 10423 5325 29589 23480]
PARTITIONMAX,BinConV  ,A.....?,[4 12 43 122 412 1142 3516 9846 28512 77694 220429 588975 1611815]
PARTITIONMAX,IBinConV ,A.....?,[0 0 3 2 0 8 28 60 72 188 693 1271 1703 4466 12579 23502 39916 96212]
PARTITIONMAX,TransNat0,A.....?,[5 14 39 81 182 331 634 1088 1882 3029 4973 7649 11886 17807 26651]
PARTITIONMAX,TransNat1,A.....?,[8 20 52 103 224 397 746 1260 2152 3426 5575 8507 13131 19555 29115]
PARTITIONMAX,DiagRow0 ,A000041,[2 3 5 7 11 15 22 30 42 56 77 101 135 176 231 297 385 490 627 792]
PARTITIONMAX,DiagRow1 ,A000065,[2 4 6 10 14 21 29 41 55 76 100 134 175 230 296 384 489 626 791 1001]
PARTITIONMAX,DiagRow2 ,A007042,[3 5 9 13 20 28 40 54 75 99 133 174 229 295 383 488 625 790 1000 1253]
PARTITIONMAX,DiagRow3 ,A335323,[3 7 11 18 26 38 52 73 97 131 172 227 293 381 486 623 788 998 1251]
PARTITIONMAX,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PARTITIONMAX,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
PARTITIONMAX,DiagCol2 ,A001057,[3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 15 16]
PARTITIONMAX,DiagCol3 ,A001399,[5 7 8 10 12 14 16 19 21 24 27 30 33 37 40 44 48 52 56 61 65 70 75 80]
PARTITIONMAX,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
PARTITIONMAX,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
PARTITIONMAX,PolyRow2 ,A014105,[10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 741]
PARTITIONMAX,PolyRow3 ,A067389,[34 102 228 430 726 1134 1672 2358 3210 4246 5484 6942 8638 10590]
PARTITIONMAX,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PARTITIONMAX,PolyCol1 ,A058397,[3 6 13 22 42 66 112 172 270 397 602 858 1245 1748 2464 3381 4671]
PARTITIONMAX,PolyCol2 ,A.....?,[10 34 126 374 1242 3490 10518 29174 82810 222826 617398 1627670]
PARTITIONMAX,PolyCol3 ,A.....?,[21 102 543 2352 11406 47316 210756 868368 3667710 14722887 60908124]
PARTITIONMAX,PolyDiag ,A.....?,[10 102 1588 26330 604302 14248080 419038536 13020195564 465418244610]
partnum_atmost, 39 traits, 23 A-numbers, 58%
