Triangle,Trait,ANumber,Sequence
PARTITIONNUM,Triangle ,A072233,[1 0 1 1 0 1 1 1 0 1 2 1 1 0 1 2 2 1 1 0 1 3 3 2 1 1 0 1 3 4 3 2 1 1]
PARTITIONNUM,Reverse  ,A.....?,[0 1 1 0 1 1 1 0 1 1 2 1 0 1 1 2 2 1 0 1 1 2 3 3 1 0 1 1 2 3 4 3 1 0]
PARTITIONNUM,Inverse  ,A.....?,[1 0 -1 1 0 0 -1 1 0 1 -1 -1 1 0 0 1 -1 -1 1 0 0 1 0 -1 -1 1 0 -1 1 1]
PARTITIONNUM,RevInv   ,A.....?,[0 1 -1 0 1 -1 0 0 1 -1 -1 1 0 1 -1 -1 1 0 0 1 -1 -1 0 1 0 0 1 -1 -1]
PARTITIONNUM,Sum      ,A000041,[2 3 5 7 11 15 22 30 42 56 77 101 135 176 231 297 385 490]
PARTITIONNUM,EvenSum  ,A027187,[1 1 3 3 6 7 12 14 22 27 40 49 69 86 118 146 195 242]
PARTITIONNUM,OddSum   ,A027193,[1 2 2 4 5 8 10 16 20 29 37 52 66 90 113 151 190 248]
PARTITIONNUM,AltSum   ,A000700,[0 -1 1 -1 1 -1 2 -2 2 -2 3 -3 3 -4 5 -5 5 -6]
PARTITIONNUM,AccSum   ,A058397,[3 6 13 22 42 66 112 172 270 397 602 858 1245 1748 2464 3381 4671]
PARTITIONNUM,AccRevSum,A058397,[3 6 13 22 42 66 112 172 270 397 602 858 1245 1748 2464 3381 4671]
PARTITIONNUM,RevAccSum,A093694,[5 9 17 27 46 69 108 158 234 331 476 657 915 1244 1694 2262 3029 3988]
PARTITIONNUM,DiagSum  ,A002865,[1 1 2 2 4 4 7 8 12 14 21 24 34 41 55 66 88]
PARTITIONNUM,RowGcd   ,A030409,[1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
PARTITIONNUM,RowMax   ,A002569,[1 1 2 2 3 4 5 7 9 11 15 18 23 30 37 47 58 71]
PARTITIONNUM,Middle   ,A066639,[1 1 2 2 3 4 5 6 7 10 11 14 15 21 22 29 30 41]
PARTITIONNUM,Central  ,A000041,[2 3 5 7 11 15 22 30]
PARTITIONNUM,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PARTITIONNUM,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
PARTITIONNUM,PosHalf  ,A075900,[3 7 19 43 115 259 659 1523 3731 8531 20883 47379 113043 259219]
PARTITIONNUM,NegHalf  ,A352402,[-1 3 -1 7 -1 15 31 63 159 95 671 287 3231 2975 15519 7839 44191]
PARTITIONNUM,BinConV  ,A098545,[3 7 21 51 148 365 983 2461 6360 15687 39757 97033 240425 582622]
PARTITIONNUM,IBinConV ,A.....?,[-1 1 5 1 4 15 55 139 152 397 1429 2549 3457 9330 26105 48791 86512]
PARTITIONNUM,TransNat0,A006128,[3 6 12 20 35 54 86 128 192 275 399 556 780 1068 1463 1965 2644 3498]
PARTITIONNUM,TransNat1,A093694,[5 9 17 27 46 69 108 158 234 331 476 657 915 1244 1694 2262 3029 3988]
PARTITIONNUM,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
PARTITIONNUM,DiagRow1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
PARTITIONNUM,DiagRow2 ,A000520,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
PARTITIONNUM,DiagRow3 ,A001069,[2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
PARTITIONNUM,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PARTITIONNUM,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
PARTITIONNUM,DiagCol2 ,A001057,[2 2 3 3 4 4 5 5 6 6 7 7 8 8 9 9 10 10 11 11 12 12 13 13 14 14 15 15]
PARTITIONNUM,DiagCol3 ,A001399,[2 3 4 5 7 8 10 12 14 16 19 21 24 27 30 33 37 40 44 48 52 56 61 65 70]
PARTITIONNUM,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
PARTITIONNUM,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
PARTITIONNUM,PolyRow2 ,A002378,[6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420]
PARTITIONNUM,PolyRow3 ,A027444,[14 39 84 155 258 399 584 819 1110 1463 1884 2379 2954 3615 4368 5219]
PARTITIONNUM,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PARTITIONNUM,PolyCol1 ,A000041,[2 3 5 7 11 15 22 30 42 56 77 101 135 176 231 297 385 490 627 792]
PARTITIONNUM,PolyCol2 ,A070933,[6 14 34 74 166 350 746 1546 3206 6550 13386 27114 54894 110630]
PARTITIONNUM,PolyCol3 ,A242587,[12 39 129 399 1245 3783 11514 34734 104754 314922 946623 2842077]
PARTITIONNUM,PolyDiag ,A124577,[6 39 356 4055 57786 983535 19520264 441967518 11235798510]
partnum_exact, 41 traits, 37 A-numbers, 90%
