Triangle,Trait,ANumber,Sequence
POLYGONALNUM,Triangle ,A139600,[1 0 1 2 0 1 3 3 0 1 4 6 4 0 1 5 9 10 5 0 1 6 12 16 15 6 0 1 7 15 22]
POLYGONALNUM,Reverse  ,A.....?,[0 2 1 0 3 3 1 0 4 6 4 1 0 5 10 9 5 1 0 6 15 16 12 6 1 0 7 21 25 22]
POLYGONALNUM,Sum      ,A055795,[3 7 15 30 56 98 162 255 385 561 793 1092 1470 1940 2516 3213 4047]
POLYGONALNUM,EvenSum  ,A.....?,[2 3 8 15 28 50 80 130 190 285 392 553 728 980 1248 1620 2010 2535]
POLYGONALNUM,OddSum   ,A.....?,[1 4 7 15 28 48 82 125 195 276 401 539 742 960 1268 1593 2037 2500]
POLYGONALNUM,AltSum   ,A.....?,[1 -1 1 0 0 2 -2 5 -5 9 -9 14 -14 20 -20 27 -27 35]
POLYGONALNUM,AccSum   ,A.....?,[4 12 32 77 168 336 624 1089 1804 2860 4368 6461 9296 13056 17952]
POLYGONALNUM,AccRevSum,A.....?,[4 12 32 77 168 336 624 1089 1804 2860 4368 6461 9296 13056 17952]
POLYGONALNUM,RevAccSum,A.....?,[8 23 58 133 280 546 996 1716 2816 4433 6734 9919 14224 19924 27336]
POLYGONALNUM,DiagSum  ,A.....?,[1 1 3 4 8 12 20 30 45 65 91 126 168 224 288 372 465]
POLYGONALNUM,RowGcd   ,A252939,[2 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
POLYGONALNUM,RowMax   ,A.....?,[2 3 6 10 16 25 36 51 70 92 120 153 190 235 286 342 408 481]
POLYGONALNUM,Middle   ,A.....?,[1 1 4 5 12 15 28 34 55 65 96 111 154 175 232 260 333 369]
POLYGONALNUM,Central  ,A006000,[4 12 28 55 96 154 232 333]
POLYGONALNUM,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
POLYGONALNUM,RightSide,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19]
POLYGONALNUM,PosHalf  ,A.....?,[4 13 40 117 324 853 2152 5245 12436 28845 65736 147685 327940 721189]
POLYGONALNUM,NegHalf  ,A.....?,[0 1 0 -3 8 -31 72 -195 448 -1071 2416 -5475 12120 -26719 58232]
POLYGONALNUM,BinConV  ,A.....?,[4 15 56 200 672 2128 6400 18432 51200 137984 362496 931840 2351104]
POLYGONALNUM,IBinConV ,A083927,[0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
POLYGONALNUM,TransNat0,A.....?,[5 16 43 103 224 448 834 1461 2431 3872 5941 8827 12754 17984 24820]
POLYGONALNUM,TransNat1,A.....?,[8 23 58 133 280 546 996 1716 2816 4433 6734 9919 14224 19924 27336]
POLYGONALNUM,DiagRow0 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
POLYGONALNUM,DiagRow1 ,A000217,[3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231]
POLYGONALNUM,DiagRow2 ,A000290,[4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 400]
POLYGONALNUM,DiagRow3 ,A000326,[5 12 22 35 51 70 92 117 145 176 210 247 287 330 376 425 477 532 590]
POLYGONALNUM,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
POLYGONALNUM,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
POLYGONALNUM,DiagCol2 ,A000027,[4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28]
POLYGONALNUM,DiagCol3 ,A008486,[9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75]
POLYGONALNUM,PolyRow0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
POLYGONALNUM,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
POLYGONALNUM,PolyRow2 ,A014105,[10 21 36 55 78 105 136 171 210 253 300 351 406 465 528 595 666 741]
POLYGONALNUM,PolyRow3 ,A249354,[38 111 244 455 762 1183 1736 2439 3310 4367 5628 7111 8834 10815]
POLYGONALNUM,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
POLYGONALNUM,PolyCol1 ,A055795,[3 7 15 30 56 98 162 255 385 561 793 1092 1470 1940 2516 3213 4047]
POLYGONALNUM,PolyCol2 ,A.....?,[10 38 130 414 1242 3542 9682 25550 65482 163782 401346 966590]
POLYGONALNUM,PolyCol3 ,A.....?,[21 111 525 2316 9696 38946 151302 572025 2114679 7672665 27402411]
POLYGONALNUM,PolyDiag ,A.....?,[10 111 1476 23130 420126 8713922 203646472 5300831655 152171925010]
polygonal, 39 traits, 21 A-numbers, 53%
