Triangle,Trait,ANumber,Sequence
POWERSLAGUER,Triangle ,A021012,[1 2 4 2 6 18 18 6 24 96 144 96 24 120 600 1200 1200 600 120 720 4320]
POWERSLAGUER,Reverse  ,A021012,[1 2 4 2 6 18 18 6 24 96 144 96 24 120 600 1200 1200 600 120 720 4320]
POWERSLAGUER,Sum      ,A000165,[8 48 384 3840 46080 645120 10321920 185794560 3715891200 81749606400]
POWERSLAGUER,EvenSum  ,A002866,[4 24 192 1920 23040 322560 5160960 92897280 1857945600 40874803200]
POWERSLAGUER,OddSum   ,A002866,[4 24 192 1920 23040 322560 5160960 92897280 1857945600 40874803200]
POWERSLAGUER,AltSum   ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
POWERSLAGUER,AccSum   ,A187735,[16 120 1152 13440 184320 2903040 51609600 1021870080 22295347200]
POWERSLAGUER,AccRevSum,A187735,[16 120 1152 13440 184320 2903040 51609600 1021870080 22295347200]
POWERSLAGUER,RevAccSum,A187735,[16 120 1152 13440 184320 2903040 51609600 1021870080 22295347200]
POWERSLAGUER,DiagSum  ,A240172,[3 10 44 234 1470 10656 87624 806280 8211000 91707120 1114793280]
POWERSLAGUER,RowGcd   ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
POWERSLAGUER,RowMax   ,A059837,[4 18 144 1200 14400 176400 2822400 45722880 914457600 18441561600]
POWERSLAGUER,Middle   ,A059837,[4 18 144 1200 14400 176400 2822400 45722880 914457600 18441561600]
POWERSLAGUER,Central  ,A122747,[144 14400 2822400 914457600 442597478400 299195895398400]
POWERSLAGUER,LeftSide ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
POWERSLAGUER,RightSide,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
POWERSLAGUER,PosHalf  ,A032031,[18 162 1944 29160 524880 11022480 264539520 7142567040 214277011200]
POWERSLAGUER,NegHalf  ,A000142,[2 -6 24 -120 720 -5040 40320 -362880 3628800 -39916800 479001600]
POWERSLAGUER,BinConV  ,A001813,[12 120 1680 30240 665280 17297280 518918400 17643225600 670442572800]
POWERSLAGUER,IBinConV ,A.....?,[-4 0 144 0 -14400 0 2822400 0 -914457600 0 442597478400 0]
POWERSLAGUER,TransNat0,A014479,[8 72 768 9600 138240 2257920 41287680 836075520 18579456000]
POWERSLAGUER,TransNat1,A187735,[16 120 1152 13440 184320 2903040 51609600 1021870080 22295347200]
POWERSLAGUER,DiagRow0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
POWERSLAGUER,DiagRow1 ,A001563,[18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200]
POWERSLAGUER,DiagRow2 ,A001804,[144 1200 10800 105840 1128960 13063680 163296000 2195424000]
POWERSLAGUER,DiagRow3 ,A001805,[1200 14400 176400 2257920 30481920 435456000 6586272000 105380352000]
POWERSLAGUER,DiagCol0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
POWERSLAGUER,DiagCol1 ,A001563,[18 96 600 4320 35280 322560 3265920 36288000 439084800 5748019200]
POWERSLAGUER,DiagCol2 ,A001804,[144 1200 10800 105840 1128960 13063680 163296000 2195424000]
POWERSLAGUER,DiagCol3 ,A001805,[1200 14400 176400 2257920 30481920 435456000 6586272000 105380352000]
POWERSLAGUER,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
POWERSLAGUER,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
POWERSLAGUER,PolyRow2 ,A001105,[18 32 50 72 98 128 162 200 242 288 338 392 450 512 578 648 722 800]
POWERSLAGUER,PolyRow3 ,A244726,[162 384 750 1296 2058 3072 4374 6000 7986 10368 13182 16464 20250]
POWERSLAGUER,PolyCol0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
POWERSLAGUER,PolyCol1 ,A000165,[8 48 384 3840 46080 645120 10321920 185794560 3715891200 81749606400]
POWERSLAGUER,PolyCol2 ,A032031,[18 162 1944 29160 524880 11022480 264539520 7142567040 214277011200]
POWERSLAGUER,PolyCol3 ,A047053,[32 384 6144 122880 2949120 82575360 2642411520 95126814720]
POWERSLAGUER,PolyDiag ,A152684,[18 384 15000 933120 84707280 10569646080 1735643790720]
powlag, 39 traits, 38 A-numbers, 97%
