Triangle,Trait,ANumber,Sequence
RISFACTORIAL,Triangle ,A094587,[1 2 2 1 6 6 3 1 24 24 12 4 1 120 120 60 20 5 1 720 720 360 120 30 6]
RISFACTORIAL,Reverse  ,A008279,[1 1 2 2 1 3 6 6 1 4 12 24 24 1 5 20 60 120 120 1 6 30 120 360 720]
RISFACTORIAL,Inverse  ,A128229,[1 0 -2 1 0 0 -3 1 0 0 0 -4 1 0 0 0 0 -5 1 0 0 0 0 0 -6 1 0 0 0 0 0 0]
RISFACTORIAL,RevInv   ,A127701,[-1 1 -2 0 1 -3 0 0 1 -4 0 0 0 1 -5 0 0 0 0 1 -6 0 0 0 0 0 1 -7 0 0 0]
RISFACTORIAL,Sum      ,A000522,[5 16 65 326 1957 13700 109601 986410 9864101 108505112 1302061345]
RISFACTORIAL,EvenSum  ,A009179,[3 9 37 185 1111 7777 62217 559953 5599531 61594841 739138093]
RISFACTORIAL,OddSum   ,A009628,[2 7 28 141 846 5923 47384 426457 4264570 46910271 562923252]
RISFACTORIAL,AltSum   ,A000166,[1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 2290792932]
RISFACTORIAL,AccSum   ,A001339,[11 49 261 1631 11743 95901 876809 8877691 98641011 1193556233]
RISFACTORIAL,AccRevSum,A001339,[11 49 261 1631 11743 95901 876809 8877691 98641011 1193556233]
RISFACTORIAL,RevAccSum,A111063,[9 31 129 651 3913 27399 219201 1972819 19728201 217010223 2604122689]
RISFACTORIAL,DiagSum  ,A003470,[3 8 31 147 853 5824 45741 405845 4012711 43733976 520795003]
RISFACTORIAL,RowGcd   ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19]
RISFACTORIAL,RowMax   ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
RISFACTORIAL,Middle   ,A081125,[2 6 12 60 120 840 1680 15120 30240 332640 665280 8648640 17297280]
RISFACTORIAL,Central  ,A001813,[12 120 1680 30240 665280 17297280 518918400 17643225600]
RISFACTORIAL,LeftSide ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
RISFACTORIAL,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
RISFACTORIAL,PosHalf  ,A010844,[13 79 633 6331 75973 1063623 17017969 306323443 6126468861]
RISFACTORIAL,NegHalf  ,A000354,[5 -29 233 -2329 27949 -391285 6260561 -112690097 2253801941]
RISFACTORIAL,BinConV  ,A002720,[7 34 209 1546 13327 130922 1441729 17572114 234662231 3405357682]
RISFACTORIAL,IBinConV ,A009940,[-1 4 -15 56 -185 204 6209 -112400 1520271 -19165420 237686449]
RISFACTORIAL,TransNat0,A007526,[4 15 64 325 1956 13699 109600 986409 9864100 108505111 1302061344]
RISFACTORIAL,TransNat1,A111063,[9 31 129 651 3913 27399 219201 1972819 19728201 217010223 2604122689]
RISFACTORIAL,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
RISFACTORIAL,DiagRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
RISFACTORIAL,DiagRow2 ,A002378,[12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420 462]
RISFACTORIAL,DiagRow3 ,A007531,[60 120 210 336 504 720 990 1320 1716 2184 2730 3360 4080 4896 5814]
RISFACTORIAL,DiagCol0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
RISFACTORIAL,DiagCol1 ,A000142,[6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800]
RISFACTORIAL,DiagCol2 ,A001710,[12 60 360 2520 20160 181440 1814400 19958400 239500800 3113510400]
RISFACTORIAL,DiagCol3 ,A001715,[20 120 840 6720 60480 604800 6652800 79833600 1037836800 14529715200]
RISFACTORIAL,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
RISFACTORIAL,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
RISFACTORIAL,PolyRow2 ,A002522,[10 17 26 37 50 65 82 101 122 145 170 197 226 257 290 325 362 401 442]
RISFACTORIAL,PolyRow3 ,A.....?,[38 78 142 236 366 538 758 1032 1366 1766 2238 2788 3422 4146 4966]
RISFACTORIAL,PolyCol0 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
RISFACTORIAL,PolyCol1 ,A000522,[5 16 65 326 1957 13700 109601 986410 9864101 108505112 1302061345]
RISFACTORIAL,PolyCol2 ,A010842,[10 38 168 872 5296 37200 297856 2681216 26813184 294947072]
RISFACTORIAL,PolyCol3 ,A053486,[17 78 393 2208 13977 100026 806769 7280604 72865089 801693126]
RISFACTORIAL,PolyDiag ,A063170,[10 78 824 10970 176112 3309110 71219584 1727242866 46602156800]
rising_factorial, 41 traits, 40 A-numbers, 97%
