Triangle,Trait,ANumber,Sequence
SCHROEDERTRI,Triangle ,A122538,[1 0 2 1 0 6 4 1 0 22 16 6 1 0 90 68 30 8 1 0 394 304 146 48 10 1 0]
SCHROEDERTRI,Reverse  ,A106579,[0 1 2 0 1 4 6 0 1 6 16 22 0 1 8 30 68 90 0 1 10 48 146 304 394 0 1]
SCHROEDERTRI,Inverse  ,A122542,[1 0 -2 1 0 2 -4 1 0 -2 8 -6 1 0 2 -12 18 -8 1 0 -2 16 -38 32 -10 1 0]
SCHROEDERTRI,RevInv   ,A266213,[0 1 -2 0 1 -4 2 0 1 -6 8 -2 0 1 -8 18 -12 2 0 1 -10 32 -38 16 -2 0 1]
SCHROEDERTRI,Sum      ,A001003,[3 11 45 197 903 4279 20793 103049 518859 2646723 13648869 71039373]
SCHROEDERTRI,EvenSum  ,A239204,[1 4 17 76 353 1688 8257 41128 207905 1063932 5501073 28695252]
SCHROEDERTRI,OddSum   ,A010683,[2 7 28 121 550 2591 12536 61921 310954 1582791 8147796 42344121]
SCHROEDERTRI,AltSum   ,A001003,[-1 -3 -11 -45 -197 -903 -4279 -20793 -103049 -518859 -2646723]
SCHROEDERTRI,AccSum   ,A.....?,[5 27 149 829 4633 25975 146009 822585 4643517 26259603 148740045]
SCHROEDERTRI,AccRevSum,A.....?,[5 27 149 829 4633 25975 146009 822585 4643517 26259603 148740045]
SCHROEDERTRI,RevAccSum,A010683,[7 28 121 550 2591 12536 61921 310954 1582791 8147796 42344121]
SCHROEDERTRI,DiagSum  ,A006603,[1 2 7 26 107 468 2141 10124 49101 242934 1221427 6222838 32056215]
SCHROEDERTRI,RowGcd   ,A000520,[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
SCHROEDERTRI,RowMax   ,A006318,[2 6 22 90 394 1806 8558 41586 206098 1037718 5293446 27297738]
SCHROEDERTRI,Middle   ,A.....?,[2 6 16 68 146 714 1408 7432 14002 77550 142000 812940 1459810]
SCHROEDERTRI,Central  ,A103885,[16 146 1408 14002 142000 1459810 15158272 158611106]
SCHROEDERTRI,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
SCHROEDERTRI,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SCHROEDERTRI,PosHalf  ,A330802,[5 33 253 2121 18853 174609 1667021 16290969 162171445 1638732129]
SCHROEDERTRI,NegHalf  ,A330803,[-3 17 -123 1001 -8739 79969 -756939 7349657 -72798003 732681489]
SCHROEDERTRI,BinConV  ,A178792,[5 31 209 1471 10625 78079 580865 4361215 32978945 250806271]
SCHROEDERTRI,IBinConV ,A000225,[-3 7 -15 31 -63 127 -255 511 -1023 2047 -4095 8191 -16383 32767]
SCHROEDERTRI,TransNat0,A239204,[4 17 76 353 1688 8257 41128 207905 1063932 5501073 28695252]
SCHROEDERTRI,TransNat1,A010683,[7 28 121 550 2591 12536 61921 310954 1582791 8147796 42344121]
SCHROEDERTRI,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SCHROEDERTRI,DiagRow1 ,A004271,[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50]
SCHROEDERTRI,DiagRow2 ,A054000,[16 30 48 70 96 126 160 198 240 286 336 390 448 510 576 646 720 798]
SCHROEDERTRI,DiagRow3 ,A.....?,[68 146 264 430 652 938 1296 1734 2260 2882 3608 4446 5404 6490 7712]
SCHROEDERTRI,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
SCHROEDERTRI,DiagCol1 ,A006318,[6 22 90 394 1806 8558 41586 206098 1037718 5293446 27297738]
SCHROEDERTRI,DiagCol2 ,A006319,[16 68 304 1412 6752 33028 164512 831620 4255728 22004292 114781008]
SCHROEDERTRI,DiagCol3 ,A006320,[30 146 714 3534 17718 89898 461010 2386390 12455118 65478978]
SCHROEDERTRI,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SCHROEDERTRI,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
SCHROEDERTRI,PolyRow2 ,A005563,[8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 440]
SCHROEDERTRI,PolyRow3 ,A.....?,[36 81 152 255 396 581 816 1107 1460 1881 2376 2951 3612 4365 5216]
SCHROEDERTRI,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
SCHROEDERTRI,PolyCol1 ,A001003,[3 11 45 197 903 4279 20793 103049 518859 2646723 13648869 71039373]
SCHROEDERTRI,PolyCol2 ,A109980,[8 36 172 852 4324 22332 116876 618084 3296308 17702412 95627580]
SCHROEDERTRI,PolyCol3 ,A.....?,[15 81 453 2583 14907 86733 507561 2982987 17588775 103976073]
SCHROEDERTRI,PolyDiag ,A.....?,[8 81 984 14025 231468 4372417 93470576 2237080977 59360130180]
schroeder, 41 traits, 34 A-numbers, 82%
