Triangle,Trait,ANumber,Sequence
SCHROEDERPTH,Triangle ,A104684,[1 6 6 1 20 30 12 1 70 140 90 20 1 252 630 560 210 30 1 924 2772 3150]
SCHROEDERPTH,Reverse  ,A063007,[2 1 6 6 1 12 30 20 1 20 90 140 70 1 30 210 560 630 252 1 42 420 1680]
SCHROEDERPTH,Inverse  ,A.....?,[1 6 -6 1 -32 42 -12 1 310 -440 150 -20 1 -4932 7110 -2540 390 -30 1]
SCHROEDERPTH,RevInv   ,A.....?,[-2 1 -6 6 1 -12 42 -32 1 -20 150 -440 310 1 -30 390 -2540 7110 -4932]
SCHROEDERPTH,Sum      ,A001850,[13 63 321 1683 8989 48639 265729 1462563 8097453 45046719 251595969]
SCHROEDERPTH,EvenSum  ,A226994,[7 32 161 842 4495 24320 132865 731282 4048727 22523360 125797985]
SCHROEDERPTH,OddSum   ,A047665,[6 31 160 841 4494 24319 132864 731281 4048726 22523359 125797984]
SCHROEDERPTH,AltSum   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SCHROEDERPTH,AccSum   ,A.....?,[31 195 1221 7593 46915 288263 1762825 10736973 65171943 394414155]
SCHROEDERPTH,AccRevSum,A.....?,[31 195 1221 7593 46915 288263 1762825 10736973 65171943 394414155]
SCHROEDERPTH,RevAccSum,A.....?,[21 120 705 4188 24997 149488 894465 5351220 31997493 191193192]
SCHROEDERPTH,DiagSum  ,A349713,[7 26 101 404 1645 6784 28243 118442 499601 2117366 9008969 38458644]
SCHROEDERPTH,RowGcd   ,A.....?,[6 2 10 2 42 2 6 2 22 2 26 2 2 2 34 2 114 2]
SCHROEDERPTH,RowMax   ,A.....?,[6 30 140 630 3150 16632 84084 420420 2333760 12471030 64664600]
SCHROEDERPTH,Middle   ,A.....?,[6 30 90 560 1680 11550 34650 252252 756756 5717712 17153136]
SCHROEDERPTH,Central  ,A006480,[90 1680 34650 756756 17153136 399072960 9465511770 227873431500]
SCHROEDERPTH,LeftSide ,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
SCHROEDERPTH,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SCHROEDERPTH,PosHalf  ,A006442,[37 305 2641 23525 213445 1961825 18205345 170195525 1600472677]
SCHROEDERPTH,NegHalf  ,A001850,[13 -63 321 -1683 8989 -48639 265729 -1462563 8097453 -45046719]
SCHROEDERPTH,BinConV  ,A005258,[19 147 1251 11253 104959 1004307 9793891 96918753 970336269]
SCHROEDERPTH,IBinConV ,A.....?,[-5 35 -29 -751 3991 4115 -137885 495269 2114245 -25786795 50109775]
SCHROEDERPTH,TransNat0,A108666,[8 57 384 2505 16008 100849 628736 3888657 23900040 146146473]
SCHROEDERPTH,TransNat1,A.....?,[21 120 705 4188 24997 149488 894465 5351220 31997493 191193192]
SCHROEDERPTH,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SCHROEDERPTH,DiagRow1 ,A002378,[12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420 462]
SCHROEDERPTH,DiagRow2 ,A033487,[90 210 420 756 1260 1980 2970 4290 6006 8190 10920 14280 18360 23256]
SCHROEDERPTH,DiagRow3 ,A105939,[560 1680 4200 9240 18480 34320 60060 100100 160160 247520 371280]
SCHROEDERPTH,DiagCol0 ,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
SCHROEDERPTH,DiagCol1 ,A002457,[30 140 630 2772 12012 51480 218790 923780 3879876 16224936 67603900]
SCHROEDERPTH,DiagCol2 ,A002544,[90 560 3150 16632 84084 411840 1969110 9237800 42678636 194699232]
SCHROEDERPTH,DiagCol3 ,A007744,[210 1680 11550 72072 420420 2333760 12471030 64664600 327202876]
SCHROEDERPTH,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SCHROEDERPTH,PolyRow1 ,A000027,[4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28]
SCHROEDERPTH,PolyRow2 ,A028872,[22 33 46 61 78 97 118 141 166 193 222 253 286 321 358 397 438 481]
SCHROEDERPTH,PolyRow3 ,A.....?,[136 245 396 595 848 1161 1540 1991 2520 3133 3836 4635 5536 6545]
SCHROEDERPTH,PolyCol0 ,A000984,[6 20 70 252 924 3432 12870 48620 184756 705432 2704156 10400600]
SCHROEDERPTH,PolyCol1 ,A001850,[13 63 321 1683 8989 48639 265729 1462563 8097453 45046719 251595969]
SCHROEDERPTH,PolyCol2 ,A069835,[22 136 886 5944 40636 281488 1968934 13875544 98365972 700701808]
SCHROEDERPTH,PolyCol3 ,A084771,[33 245 1921 15525 127905 1067925 9004545 76499525 653808673]
SCHROEDERPTH,PolyDiag ,A335309,[22 245 3606 65527 1411404 35066313 985483270 30869546411]
schroeder_paths, 41 traits, 30 A-numbers, 73%
