Triangle,Trait,ANumber,Sequence
SEIDELTRIANG,Triangle ,A008281,[1 0 1 1 0 1 2 2 0 2 4 5 5 0 5 10 14 16 16 0 16 32 46 56 61 61 0 61]
SEIDELTRIANG,Reverse  ,A.....?,[0 1 1 0 2 2 1 0 5 5 4 2 0 16 16 14 10 5 0 61 61 56 46 32 16 0 272]
SEIDELTRIANG,Sum      ,A000111,[2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELTRIANG,EvenSum  ,A.....?,[1 2 9 26 149 618 4277 23122 188457 1257154 11812705 93774138]
SEIDELTRIANG,OddSum   ,A.....?,[1 3 7 35 123 767 3659 27399 165335 1445611 10555551 105586843]
SEIDELTRIANG,AltSum   ,A.....?,[0 -1 2 -9 26 -149 618 -4277 23122 -188457 1257154 -11812705 93774138]
SEIDELTRIANG,AccSum   ,A034428,[3 9 35 155 791 4529 28839 201939 1542739 12767689 113794603]
SEIDELTRIANG,AccRevSum,A034428,[3 9 35 155 791 4529 28839 201939 1542739 12767689 113794603]
SEIDELTRIANG,RevAccSum,A000111,[5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELTRIANG,DiagSum  ,A.....?,[1 1 2 4 11 31 112 456 2179 11791 71828 485140 3599099 29069251]
SEIDELTRIANG,RowGcd   ,A000319,[1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SEIDELTRIANG,RowMax   ,A000111,[1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELTRIANG,Middle   ,A.....?,[1 1 4 10 46 178 1024 5296 36976 238816 1965664 15214480 144361456]
SEIDELTRIANG,Central  ,A000657,[4 46 1024 36976 1965664 144361456 13997185024 1731678144256]
SEIDELTRIANG,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
SEIDELTRIANG,RightSide,A000111,[1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELTRIANG,PosHalf  ,A.....?,[3 10 47 264 1799 14288 130683 1353152 15679675 201167616 2832842599]
SEIDELTRIANG,NegHalf  ,A.....?,[-1 2 -5 40 -205 1808 -14921 159424 -1782409 23039744 -320336237]
SEIDELTRIANG,BinConV  ,A001586,[3 11 57 361 2763 24611 250737 2873041 36581523 512343611 7828053417]
SEIDELTRIANG,IBinConV ,A000012,[-1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1]
SEIDELTRIANG,TransNat0,A.....?,[3 11 45 211 1113 6551 42585 303271 2348973 19665491 176992725]
SEIDELTRIANG,TransNat1,A000111,[5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELTRIANG,DiagRow0 ,A000111,[1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELTRIANG,DiagRow1 ,A000111,[2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELTRIANG,DiagRow2 ,A006212,[4 14 56 256 1324 7664 49136 345856 2652244 22014464 196658216]
SEIDELTRIANG,DiagRow3 ,A006213,[10 46 224 1202 7120 46366 329984 2551202 21306880 191252686]
SEIDELTRIANG,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
SEIDELTRIANG,DiagCol1 ,A000111,[1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELTRIANG,DiagCol2 ,A001250,[4 10 32 122 544 2770 15872 101042 707584 5405530 44736512 398721962]
SEIDELTRIANG,DiagCol3 ,A006216,[14 46 178 800 4094 23536 150178 1053440 8057774 66750976 595380178]
SEIDELTRIANG,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SEIDELTRIANG,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
SEIDELTRIANG,PolyRow2 ,A002378,[6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420]
SEIDELTRIANG,PolyRow3 ,A048395,[26 75 164 305 510 791 1160 1629 2210 2915 3756 4745 5894 7215 8720]
SEIDELTRIANG,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
SEIDELTRIANG,PolyCol1 ,A000111,[2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELTRIANG,PolyCol2 ,A.....?,[6 26 140 930 7280 66034 680544 7865098 100760704 1417772682]
SEIDELTRIANG,PolyCol3 ,A.....?,[12 75 582 5667 65406 879591 13483518 232328391 4444489830]
SEIDELTRIANG,PolyDiag ,A.....?,[6 75 1672 62025 3404112 260912099 26532106368 3457039470993]
seidel, 39 traits, 27 A-numbers, 69%
