Triangle,Trait,ANumber,Sequence
SEIDELBOUSTO,Triangle ,A008280,[1 1 1 0 0 1 2 2 5 5 4 2 0 0 5 10 14 16 16 61 61 56 46 32 16 0 0 61]
SEIDELBOUSTO,Reverse  ,A108040,[0 0 1 1 2 2 1 0 0 2 4 5 5 16 16 14 10 5 0 0 16 32 46 56 61 61 272]
SEIDELBOUSTO,Sum      ,A000111,[2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELBOUSTO,EvenSum  ,A.....?,[1 2 9 26 149 618 4277 23122 188457 1257154 11812705 93774138]
SEIDELBOUSTO,OddSum   ,A.....?,[1 3 7 35 123 767 3659 27399 165335 1445611 10555551 105586843]
SEIDELBOUSTO,AltSum   ,A.....?,[0 -1 2 -9 26 -149 618 -4277 23122 -188457 1257154 -11812705 93774138]
SEIDELBOUSTO,AccSum   ,A.....?,[5 9 61 155 1385 4529 50521 201939 2702765 12767689 199360981]
SEIDELBOUSTO,AccRevSum,A.....?,[5 9 61 155 1385 4529 50521 201939 2702765 12767689 199360981]
SEIDELBOUSTO,RevAccSum,A.....?,[3 16 35 272 791 7936 28839 353792 1542739 22368256 113794603]
SEIDELBOUSTO,DiagSum  ,A.....?,[2 1 6 7 72 73 1516 1569 53456 54733 2807796 2856541 204915576]
SEIDELBOUSTO,RowGcd   ,A000319,[1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SEIDELBOUSTO,RowMax   ,A000111,[1 2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELBOUSTO,Middle   ,A.....?,[1 1 4 10 46 178 1024 5296 36976 238816 1965664 15214480 144361456]
SEIDELBOUSTO,Central  ,A000657,[4 46 1024 36976 1965664 144361456 13997185024 1731678144256]
SEIDELBOUSTO,LeftSide ,A122045,[1 0 5 0 61 0 1385 0 50521 0 2702765 0 199360981 0 19391512145 0]
SEIDELBOUSTO,RightSide,A009006,[0 2 0 16 0 272 0 7936 0 353792 0 22368256 0 1903757312 0]
SEIDELBOUSTO,PosHalf  ,A.....?,[6 10 140 264 7280 14288 680544 1353152 100760704 201167616]
SEIDELBOUSTO,NegHalf  ,A.....?,[2 2 52 40 2576 1808 235168 159424 34382720 23039744 7364990464]
SEIDELBOUSTO,BinConV  ,A001586,[3 11 57 361 2763 24611 250737 2873041 36581523 512343611 7828053417]
SEIDELBOUSTO,IBinConV ,A000012,[-1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1 1 -1 -1 1]
SEIDELBOUSTO,TransNat0,A.....?,[1 11 19 211 519 6551 20903 303271 1188947 19665491 91426347]
SEIDELBOUSTO,TransNat1,A.....?,[3 16 35 272 791 7936 28839 353792 1542739 22368256 113794603]
SEIDELBOUSTO,DiagRow0 ,A009006,[0 2 0 16 0 272 0 7936 0 353792 0 22368256 0 1903757312 0]
SEIDELBOUSTO,DiagRow1 ,A.....?,[2 2 16 16 272 272 7936 7936 353792 353792 22368256 22368256]
SEIDELBOUSTO,DiagRow2 ,A.....?,[4 14 32 256 544 7664 15872 345856 707584 22014464 44736512]
SEIDELBOUSTO,DiagRow3 ,A.....?,[10 46 224 800 7120 23536 329984 1053440 21306880 66750976 1836652544]
SEIDELBOUSTO,DiagCol0 ,A122045,[1 0 5 0 61 0 1385 0 50521 0 2702765 0 199360981 0 19391512145 0]
SEIDELBOUSTO,DiagCol1 ,A241209,[1 5 5 61 61 1385 1385 50521 50521 2702765 2702765 199360981]
SEIDELBOUSTO,DiagCol2 ,A.....?,[4 10 56 122 1324 2770 49136 101042 2652244 5405530 196658216]
SEIDELBOUSTO,DiagCol3 ,A.....?,[14 46 178 1202 4094 46366 150178 2551202 8057774 191252686 595380178]
SEIDELBOUSTO,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SEIDELBOUSTO,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
SEIDELBOUSTO,PolyRow2 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
SEIDELBOUSTO,PolyRow3 ,A048395,[26 75 164 305 510 791 1160 1629 2210 2915 3756 4745 5894 7215 8720]
SEIDELBOUSTO,PolyCol0 ,A122045,[1 0 5 0 61 0 1385 0 50521 0 2702765 0 199360981 0 19391512145 0]
SEIDELBOUSTO,PolyCol1 ,A000111,[2 5 16 61 272 1385 7936 50521 353792 2702765 22368256 199360981]
SEIDELBOUSTO,PolyCol2 ,A.....?,[3 26 47 930 1799 66034 130683 7865098 15679675 1417772682 2832842599]
SEIDELBOUSTO,PolyCol3 ,A.....?,[4 75 110 5667 8470 879591 1318694 232328391 348467326 93487086147]
SEIDELBOUSTO,PolyDiag ,A.....?,[3 75 217 62025 178267 260912099 744153009 3457039470993]
seidel_boust, 39 traits, 19 A-numbers, 48%
