Triangle,Trait,ANumber,Sequence
SIERPINSKITR,Triangle ,A047999,[1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1]
SIERPINSKITR,Reverse  ,A047999,[1 1 0 1 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1]
SIERPINSKITR,Inverse  ,A047999,[1 -1 0 1 1 -1 -1 1 -1 0 0 0 1 1 -1 0 0 -1 1 1 0 -1 0 -1 0 1 -1 1 1]
SIERPINSKITR,RevInv   ,A047999,[-1 1 0 -1 1 -1 -1 1 1 0 0 0 -1 1 -1 0 0 -1 1 1 0 -1 0 -1 0 1 1 -1 -1]
SIERPINSKITR,InvRev   ,A047999,[1 -1 0 1 1 -1 -1 1 -1 0 0 0 1 1 -1 0 0 -1 1 1 0 -1 0 -1 0 1 -1 1 1]
SIERPINSKITR,Sum      ,A001316,[2 4 2 4 4 8 2 4 4 8 4 8 8 16 2 4 4 8]
SIERPINSKITR,EvenSum  ,A060632,[2 2 2 2 4 4 2 2 4 4 4 4 8 8 2 2 4 4]
SIERPINSKITR,OddSum   ,A.....?,[0 2 0 2 0 4 0 2 0 4 0 4 0 8 0 2 0 4]
SIERPINSKITR,AltSum   ,A.....?,[2 0 2 0 4 0 2 0 4 0 4 0 8 0 2 0 4 0]
SIERPINSKITR,AccSum   ,A.....?,[4 10 6 14 16 36 10 22 24 52 28 60 64 136 18 38 40 84]
SIERPINSKITR,AccRevSum,A.....?,[4 10 6 14 16 36 10 22 24 52 28 60 64 136 18 38 40 84]
SIERPINSKITR,RevAccSum,A.....?,[4 10 6 14 16 36 10 22 24 52 28 60 64 136 18 38 40 84]
SIERPINSKITR,DiagSum  ,A002487,[2 1 3 2 3 1 4 3 5 2 5 3 4 1 5 4 7]
SIERPINSKITR,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SIERPINSKITR,RowMax   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SIERPINSKITR,Middle   ,A015857,[0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0]
SIERPINSKITR,Central  ,A000004,[0 0 0 0 0 0 0 0]
SIERPINSKITR,LeftSide ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SIERPINSKITR,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SIERPINSKITR,PosHalf  ,A001317,[5 15 17 51 85 255 257 771 1285 3855 4369 13107 21845 65535 65537]
SIERPINSKITR,NegHalf  ,A.....?,[5 -5 17 -17 85 -85 257 -257 1285 -1285 4369 -4369 21845 -21845 65537]
SIERPINSKITR,BinConV  ,A088560,[2 8 2 12 32 128 2 20 92 464 992 4032 8192 32768 2 36 308 2320 9692]
SIERPINSKITR,IBinConV ,A.....?,[2 0 2 0 32 0 2 0 92 0 992 0 8192 0 2 0 308 0 9692 0 164320 0 1470944]
SIERPINSKITR,TransNat0,A335063,[2 6 4 10 12 28 8 18 20 44 24 52 56 120 16 34 36 76 40 84 88 184 48]
SIERPINSKITR,TransNat1,A.....?,[4 10 6 14 16 36 10 22 24 52 28 60 64 136 18 38 40 84 44 92 96 200 52]
SIERPINSKITR,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
SIERPINSKITR,DiagRow1 ,A000035,[1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0]
SIERPINSKITR,DiagRow2 ,A021913,[0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0 0]
