Triangle,Trait,ANumber,Sequence
STIRLING1CYC,Triangle ,A048994,[1 0 1 1 0 2 3 1 0 6 11 6 1 0 24 50 35 10 1 0 120 274 225 85 15 1 0]
STIRLING1CYC,Reverse  ,A054654,[0 1 1 0 1 3 2 0 1 6 11 6 0 1 10 35 50 24 0 1 15 85 225 274 120 0 1]
STIRLING1CYC,Inverse  ,A048993,[1 0 -1 1 0 1 -3 1 0 -1 7 -6 1 0 1 -15 25 -10 1 0 -1 31 -90 65 -15 1]
STIRLING1CYC,RevInv   ,A106800,[0 1 -1 0 1 -3 1 0 1 -6 7 -1 0 1 -10 25 -15 1 0 1 -15 65 -90 31 -1 0]
STIRLING1CYC,Sum      ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
STIRLING1CYC,EvenSum  ,A001710,[1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800]
STIRLING1CYC,OddSum   ,A001710,[1 3 12 60 360 2520 20160 181440 1814400 19958400 239500800]
STIRLING1CYC,AltSum   ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLING1CYC,AccSum   ,A121586,[3 13 70 446 3276 27252 253296 2602224 29288160 358457760 4740577920]
STIRLING1CYC,AccRevSum,A121586,[3 13 70 446 3276 27252 253296 2602224 29288160 358457760 4740577920]
STIRLING1CYC,RevAccSum,A000774,[5 17 74 394 2484 18108 149904 1389456 14257440 160460640 1965444480]
STIRLING1CYC,DiagSum  ,A237653,[1 1 3 9 36 176 1030 7039 55098 486346 4780445 51787405 613045468]
STIRLING1CYC,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLING1CYC,RowMax   ,A065048,[1 3 11 50 274 1764 13132 118124 1172700 12753576 150917976]
STIRLING1CYC,Middle   ,A154415,[1 2 11 50 225 1624 6769 67284 269325 3416930 13339535 206070150]
STIRLING1CYC,Central  ,A187646,[11 225 6769 269325 13339535 790943153 54631129553 4308105301929]
STIRLING1CYC,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLING1CYC,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLING1CYC,PosHalf  ,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
STIRLING1CYC,NegHalf  ,A001147,[-1 3 -15 105 -945 10395 -135135 2027025 -34459425 654729075]
STIRLING1CYC,BinConV  ,A211210,[3 16 115 1021 10696 128472 1734447 25937683 424852351 7554471156]
STIRLING1CYC,IBinConV ,A317274,[-1 -2 19 -79 76 2640 -36945 329371 -1861949 -4438774 355714228]
STIRLING1CYC,TransNat0,A000254,[3 11 50 274 1764 13068 109584 1026576 10628640 120543840 1486442880]
STIRLING1CYC,TransNat1,A000774,[5 17 74 394 2484 18108 149904 1389456 14257440 160460640 1965444480]
STIRLING1CYC,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLING1CYC,DiagRow1 ,A000217,[3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231]
STIRLING1CYC,DiagRow2 ,A000914,[11 35 85 175 322 546 870 1320 1925 2717 3731 5005 6580 8500 10812]
STIRLING1CYC,DiagRow3 ,A001303,[50 225 735 1960 4536 9450 18150 32670 55770 91091 143325 218400]
STIRLING1CYC,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLING1CYC,DiagCol1 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
STIRLING1CYC,DiagCol2 ,A000254,[11 50 274 1764 13068 109584 1026576 10628640 120543840 1486442880]
STIRLING1CYC,DiagCol3 ,A000399,[35 225 1624 13132 118124 1172700 12753576 150917976 1931559552]
STIRLING1CYC,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLING1CYC,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
STIRLING1CYC,PolyRow2 ,A002378,[6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420]
STIRLING1CYC,PolyRow3 ,A007531,[24 60 120 210 336 504 720 990 1320 1716 2184 2730 3360 4080 4896]
STIRLING1CYC,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLING1CYC,PolyCol1 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
STIRLING1CYC,PolyCol2 ,A000142,[6 24 120 720 5040 40320 362880 3628800 39916800 479001600 6227020800]
STIRLING1CYC,PolyCol3 ,A001710,[12 60 360 2520 20160 181440 1814400 19958400 239500800 3113510400]
STIRLING1CYC,PolyDiag ,A000407,[6 60 840 15120 332640 8648640 259459200 8821612800 335221286400]
stirling_cycle, 41 traits, 41 A-numbers, 100%
