Triangle,Trait,ANumber,Sequence
STIRLCYCORD2,Triangle ,A358622,[0 0 1 0 0 2 0 0 0 6 3 0 0 0 24 20 0 0 0 0 120 130 15 0 0 0 0 720 924]
STIRLCYCORD2,Reverse  ,A.....?,[0 0 1 0 0 0 2 0 0 0 3 6 0 0 0 0 20 24 0 0 0 0 15 130 120 0 0 0 0 0]
STIRLCYCORD2,Sum      ,A000166,[1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 2290792932]
STIRLCYCORD2,EvenSum  ,A216778,[0 0 3 20 130 924 7413 66744 667476 7342280 88107415 1145396460]
STIRLCYCORD2,OddSum   ,A216779,[1 2 6 24 135 930 7420 66752 667485 7342290 88107426 1145396472]
STIRLCYCORD2,AltSum   ,A000027,[-1 -2 -3 -4 -5 -6 -7 -8 -9 -10 -11 -12 -13 -14 -15 -16 -17 -18]
STIRLCYCORD2,AccSum   ,A.....?,[2 6 33 200 1430 11634 106281 1076816 11982834 145281070 1906117785]
STIRLCYCORD2,AccRevSum,A.....?,[2 6 33 200 1430 11634 106281 1076816 11982834 145281070 1906117785]
STIRLCYCORD2,RevAccSum,A.....?,[2 4 21 108 690 5052 42049 391640 4036698 45618340 560889989]
STIRLCYCORD2,DiagSum  ,A.....?,[0 1 2 6 27 140 850 5979 47838 429484 4278713 46859940 559722780]
STIRLCYCORD2,RowGcd   ,A000027,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18]
STIRLCYCORD2,RowMax   ,A.....?,[1 2 6 24 130 924 7308 64224 623376 6636960 76998240 967524480]
STIRLCYCORD2,Middle   ,A.....?,[1 2 3 20 15 210 105 2520 945 34650 10395 540540 135135 9459450]
STIRLCYCORD2,Central  ,A001147,[3 15 105 945 10395 135135 2027025 34459425]
STIRLCYCORD2,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCORD2,RightSide,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCORD2,PosHalf  ,A053871,[2 8 60 544 6040 79008 1190672 20314880 387099936 8148296320]
STIRLCYCORD2,NegHalf  ,A055142,[-2 8 -36 224 -1880 19872 -251888 3712256 -62286624 1171487360]
STIRLCYCORD2,BinConV  ,A.....?,[2 6 42 320 2970 31794 385574 5212752 77619060 1260722100 22161819240]
STIRLCYCORD2,IBinConV ,A.....?,[-2 6 -6 -80 930 -7014 38374 -46416 -2993220 65145300 -991049400]
STIRLCYCORD2,TransNat0,A162973,[1 2 12 64 425 3198 27216 258144 2701737 30933770 384675148]
STIRLCYCORD2,TransNat1,A.....?,[2 4 21 108 690 5052 42049 391640 4036698 45618340 560889989]
STIRLCYCORD2,DiagRow0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCORD2,DiagRow1 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCORD2,DiagRow2 ,A083927,[3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCORD2,DiagRow3 ,A.....?,[20 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCORD2,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCORD2,DiagCol1 ,A000142,[2 6 24 120 720 5040 40320 362880 3628800 39916800 479001600]
STIRLCYCORD2,DiagCol2 ,A000276,[3 20 130 924 7308 64224 623376 6636960 76998240 967524480]
STIRLCYCORD2,DiagCol3 ,A.....?,[0 15 210 2380 26432 303660 3678840 47324376 647536032 9418945536]
STIRLCYCORD2,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLCYCORD2,PolyRow1 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCORD2,PolyRow2 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
STIRLCYCORD2,PolyRow3 ,A004271,[4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50]
STIRLCYCORD2,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCORD2,PolyCol1 ,A000166,[1 2 9 44 265 1854 14833 133496 1334961 14684570 176214841 2290792932]
STIRLCYCORD2,PolyCol2 ,A087981,[2 4 24 128 880 6816 60032 589312 6384384 75630080 972387328]
STIRLCYCORD2,PolyCol3 ,A137775,[3 6 45 252 1935 16146 153657 1616760 18699579 235498590 3207570597]
STIRLCYCORD2,PolyDiag ,A295182,[2 6 72 620 8640 122346 2156672 41367672 905126400 21646532270]
stirling_cycle2, 39 traits, 27 A-numbers, 69%
