Triangle,Trait,ANumber,Sequence
STIRLCYCANAB,Triangle ,A028338,[1 3 4 1 15 23 9 1 105 176 86 16 1 945 1689 950 230 25 1 10395 19524]
STIRLCYCANAB,Reverse  ,A039758,[1 1 4 3 1 9 23 15 1 16 86 176 105 1 25 230 950 1689 945 1 36 505]
STIRLCYCANAB,Inverse  ,A039755,[1 1 -4 1 -1 13 -9 1 1 -40 58 -16 1 -1 121 -330 170 -25 1 1 -364 1771]
STIRLCYCANAB,RevInv   ,A039756,[-1 1 -4 1 1 -9 13 -1 1 -16 58 -40 1 1 -25 170 -330 121 -1 1 -36 395]
STIRLCYCANAB,Sum      ,A000165,[8 48 384 3840 46080 645120 10321920 185794560 3715891200 81749606400]
STIRLCYCANAB,EvenSum  ,A002866,[4 24 192 1920 23040 322560 5160960 92897280 1857945600 40874803200]
STIRLCYCANAB,OddSum   ,A002866,[4 24 192 1920 23040 322560 5160960 92897280 1857945600 40874803200]
STIRLCYCANAB,AltSum   ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLCYCANAB,AccSum   ,A.....?,[18 148 1520 18656 266112 4324608 78870528 1595142144 35432939520]
STIRLCYCANAB,AccRevSum,A.....?,[18 148 1520 18656 266112 4324608 78870528 1595142144 35432939520]
STIRLCYCANAB,RevAccSum,A.....?,[14 92 784 8224 102528 1481472 24348672 448598016 9157754880]
STIRLCYCANAB,DiagSum  ,A.....?,[4 19 129 1130 12171 155625 2303602 38738501 729408237 15200872256]
STIRLCYCANAB,RowGcd   ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLCYCANAB,RowMax   ,A004041,[4 23 176 1689 19524 264207 4098240 71697105 1396704420 29985521895]
STIRLCYCANAB,Middle   ,A.....?,[4 23 86 950 3480 57379 208054 4574934 16486680 453714470 1628301884]
STIRLCYCANAB,Central  ,A293318,[86 3480 208054 16486680 1628301884 192666441968 26569595376038]
STIRLCYCANAB,LeftSide ,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
STIRLCYCANAB,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLCYCANAB,PosHalf  ,A008545,[21 231 3465 65835 1514205 40883535 1267389585 44358635475]
STIRLCYCANAB,NegHalf  ,A007696,[5 -45 585 -9945 208845 -5221125 151412625 -4996616625 184874815125]
STIRLCYCANAB,BinConV  ,A.....?,[12 112 1390 21316 387016 8089152 190810614 5004826108 144299948936]
STIRLCYCANAB,IBinConV ,A.....?,[-4 28 -146 176 13096 -332856 6220278 -100254944 1315515816]
STIRLCYCANAB,TransNat0,A203159,[6 44 400 4384 56448 836352 14026752 262803456 5441863680]
STIRLCYCANAB,TransNat1,A.....?,[14 92 784 8224 102528 1481472 24348672 448598016 9157754880]
STIRLCYCANAB,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLCYCANAB,DiagRow1 ,A000290,[9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 400 441]
STIRLCYCANAB,DiagRow2 ,A024196,[86 230 505 973 1708 2796 4335 6435 9218 12818 17381 23065 30040]
STIRLCYCANAB,DiagRow3 ,A024197,[950 3480 10045 24640 53676 106800 197835 345840 576290 922376]
STIRLCYCANAB,DiagCol0 ,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
STIRLCYCANAB,DiagCol1 ,A004041,[23 176 1689 19524 264207 4098240 71697105 1396704420 29985521895]
STIRLCYCANAB,DiagCol2 ,A028339,[86 950 12139 177331 2924172 53809164 1094071221 24372200061]
STIRLCYCANAB,DiagCol3 ,A028340,[230 3480 57379 1038016 20570444 444647600 10431670821 264300628944]
STIRLCYCANAB,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLCYCANAB,PolyRow1 ,A000027,[3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27]
STIRLCYCANAB,PolyRow2 ,A005563,[15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 360 399 440 483]
STIRLCYCANAB,PolyRow3 ,A.....?,[105 192 315 480 693 960 1287 1680 2145 2688 3315 4032 4845 5760 6783]
STIRLCYCANAB,PolyCol0 ,A001147,[3 15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
STIRLCYCANAB,PolyCol1 ,A000165,[8 48 384 3840 46080 645120 10321920 185794560 3715891200 81749606400]
STIRLCYCANAB,PolyCol2 ,A001147,[15 105 945 10395 135135 2027025 34459425 654729075 13749310575]
STIRLCYCANAB,PolyCol3 ,A002866,[24 192 1920 23040 322560 5160960 92897280 1857945600 40874803200]
STIRLCYCANAB,PolyDiag ,A.....?,[15 192 3465 80640 2297295 77414400 3011753745 132843110400]
stirling_cycleB, 41 traits, 31 A-numbers, 75%
