Triangle,Trait,ANumber,Sequence
STIRLING2SET,Triangle ,A048993,[1 0 1 1 0 1 3 1 0 1 7 6 1 0 1 15 25 10 1 0 1 31 90 65 15 1 0 1 63]
STIRLING2SET,Reverse  ,A106800,[0 1 1 0 1 3 1 0 1 6 7 1 0 1 10 25 15 1 0 1 15 65 90 31 1 0 1 21 140]
STIRLING2SET,Inverse  ,A048994,[1 0 -1 1 0 2 -3 1 0 -6 11 -6 1 0 24 -50 35 -10 1 0 -120 274 -225 85]
STIRLING2SET,RevInv   ,A054654,[0 1 -1 0 1 -3 2 0 1 -6 11 -6 0 1 -10 35 -50 24 0 1 -15 85 -225 274]
STIRLING2SET,Sum      ,A000110,[2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437]
STIRLING2SET,EvenSum  ,A024430,[1 3 8 25 97 434 2095 10707 58194 338195 2097933 13796952 95504749]
STIRLING2SET,OddSum   ,A024429,[1 2 7 27 106 443 2045 10440 57781 340375 2115664 13847485 95394573]
STIRLING2SET,AltSum   ,A000587,[0 1 1 -2 -9 -9 50 267 413 -2180 -17731 -50533 110176 1966797 9938669]
STIRLING2SET,AccSum   ,A.....?,[3 10 38 161 747 3753 20253 116642 713130 4607813 31345921 223767233]
STIRLING2SET,AccRevSum,A.....?,[3 10 38 161 747 3753 20253 116642 713130 4607813 31345921 223767233]
STIRLING2SET,RevAccSum,A000110,[5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 190899322]
STIRLING2SET,DiagSum  ,A024427,[1 1 2 4 9 22 58 164 495 1587 5379 19195 71872 281571 1151338 4902687]
STIRLING2SET,RowGcd   ,A090585,[1 3 1 5 1 7 1 1 1 11 1 13 1 1 1 17 1 19]
STIRLING2SET,RowMax   ,A002870,[1 3 7 25 90 350 1701 7770 42525 246730 1379400 9321312 63436373]
STIRLING2SET,Middle   ,A343279,[1 1 7 15 90 301 1701 7770 42525 246730 1323652 9321312 49329280]
STIRLING2SET,Central  ,A007820,[7 90 1701 42525 1323652 49329280 2141764053 106175395755]
STIRLING2SET,LeftSide ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLING2SET,RightSide,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLING2SET,PosHalf  ,A004211,[3 11 49 257 1539 10299 75905 609441 5284451 49134923 487026929]
STIRLING2SET,NegHalf  ,A009235,[-1 -1 9 -23 -25 583 -3087 4401 79087 -902097 4783801 2361049]
STIRLING2SET,BinConV  ,A122455,[3 13 71 456 3337 27203 243203 2357356 24554426 272908736 3218032897]
STIRLING2SET,IBinConV ,A343841,[-1 -5 15 56 -455 -237 16947 -64220 -529494 6833608 -8606015]
STIRLING2SET,TransNat0,A005493,[3 10 37 151 674 3263 17007 94828 562595 3535027 23430840 163254885]
STIRLING2SET,TransNat1,A000110,[5 15 52 203 877 4140 21147 115975 678570 4213597 27644437 190899322]
STIRLING2SET,DiagRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLING2SET,DiagRow1 ,A000217,[3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 231]
STIRLING2SET,DiagRow2 ,A001296,[7 25 65 140 266 462 750 1155 1705 2431 3367 4550 6020 7820 9996]
STIRLING2SET,DiagRow3 ,A001297,[15 90 350 1050 2646 5880 11880 22275 39325 66066 106470 165620]
STIRLING2SET,DiagCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLING2SET,DiagCol1 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLING2SET,DiagCol2 ,A000225,[7 15 31 63 127 255 511 1023 2047 4095 8191 16383 32767 65535 131071]
STIRLING2SET,DiagCol3 ,A000392,[25 90 301 966 3025 9330 28501 86526 261625 788970 2375101 7141686]
STIRLING2SET,PolyRow0 ,A000012,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
STIRLING2SET,PolyRow1 ,A000027,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26]
STIRLING2SET,PolyRow2 ,A002378,[6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 420]
STIRLING2SET,PolyRow3 ,A033445,[22 57 116 205 330 497 712 981 1310 1705 2172 2717 3346 4065 4880]
STIRLING2SET,PolyCol0 ,A000004,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
STIRLING2SET,PolyCol1 ,A000110,[2 5 15 52 203 877 4140 21147 115975 678570 4213597 27644437]
STIRLING2SET,PolyCol2 ,A001861,[6 22 94 454 2430 14214 89918 610182 4412798 33827974 273646526]
STIRLING2SET,PolyCol3 ,A027710,[12 57 309 1866 12351 88563 681870 5597643 48718569 447428856]
STIRLING2SET,PolyDiag ,A242817,[6 57 756 12880 268098 6593839 187104200 6016681467 216229931110]
stirling_set, 41 traits, 39 A-numbers, 95%
